
[00:00:00.000 --> 00:00:02.000]  大家好,我是Daniel
[00:00:02.000 --> 00:00:08.080]  今日繼續跟大家分享一本跟保羅書信或神學有關的書
[00:00:08.080 --> 00:00:14.520]  書名是《加拉太書導讀,猶太背景,新系經》
[00:00:14.520 --> 00:00:23.060]  英文名是The Holy Epistle to the Galatians, Messianic Jewish Sermons
[00:00:23.060 --> 00:00:27.060]  作者是D. Thomas Lancaster
[00:00:27.060 --> 00:00:31.060]  這本書由夏達華翻譯為中文
[00:00:31.060 --> 00:00:36.060]  作者亦是Messianic Jews的老師
[00:00:36.060 --> 00:00:40.060]  所以我們或多或少都可以有一個期望
[00:00:40.060 --> 00:00:46.060]  作者嘗試從一種猶太的角度去讀《加拉太書》
[00:00:46.060 --> 00:00:50.060]  這本書最特別的地方在哪裏呢?
[00:00:50.060 --> 00:00:55.060]  其實就是作者提出了一個Messianic Jewish Perspective
[00:00:55.060 --> 00:01:00.060]  即是利塞亞猶太觀點去看聖經
[00:01:00.060 --> 00:01:05.060]  究竟他如何用這個觀點去看《加拉太書》呢?
[00:01:05.060 --> 00:01:08.060]  但甚麼是Messianic Jews?
[00:01:08.060 --> 00:01:11.060]  Messianic Jewish Perspective是甚麼來的呢?
[00:01:11.060 --> 00:01:12.060]  其實很簡單
[00:01:12.060 --> 00:01:16.060]  Messianic Jews是一群相信耶穌基督是利塞亞
[00:01:16.060 --> 00:01:21.060]  但同時承認自己仍然是猶太人的一群人
[00:01:21.060 --> 00:01:24.060]  所以他們很重視猶太傳統
[00:01:24.060 --> 00:01:26.060]  很重視猶太節日
[00:01:26.060 --> 00:01:33.060]  亦很嘗試用猶太的脈絡去理解新約
[00:01:33.060 --> 00:01:34.060]  對他們來說
[00:01:34.060 --> 00:01:37.060]  信耶穌並不是要離開猶太的身份
[00:01:37.060 --> 00:01:43.060]  而是耶穌不是創立了一個新的宗教
[00:01:43.060 --> 00:01:46.060]  而是耶穌正正是他們以色列人
[00:01:46.060 --> 00:01:48.060]  是他們猶太人的盼望
[00:01:48.060 --> 00:01:50.060]  所以讀到寶萊的時候
[00:01:50.060 --> 00:01:55.060]  不會予以設為現在基督教已經取代了猶太教
[00:01:55.060 --> 00:01:59.060]  而是會問一個問題
[00:01:59.060 --> 00:02:04.060]  如果保羅作為一位猶太人的使徒的時候
[00:02:04.060 --> 00:02:09.060]  或者作為一位猶太人向外邦宣教的使徒的話
[00:02:09.060 --> 00:02:12.060]  究竟他是如何向列國
[00:02:12.060 --> 00:02:19.060]  向普世宣告他們那位以色列的上帝呢?
[00:02:19.060 --> 00:02:21.060]  所以我們會問一個問題
[00:02:21.060 --> 00:02:26.060]  他們這些人究竟是怎樣的呢?
[00:02:26.060 --> 00:02:30.060]  對比傳統的讀法究竟有什麼分別呢?
[00:02:30.060 --> 00:02:35.060]  通常我們認為傳統理解保羅書信
[00:02:35.060 --> 00:02:36.060]  特別是加拉太書
[00:02:36.060 --> 00:02:40.060]  會覺得保羅離開了猶太教
[00:02:40.060 --> 00:02:42.060]  因為他很反對律法
[00:02:42.060 --> 00:02:45.060]  所以他就建立了一個新的宗教
[00:02:45.060 --> 00:02:47.060]  所以就成為了基督教
[00:02:47.060 --> 00:02:50.060]  但是作者Lancaster就認為
[00:02:50.060 --> 00:02:54.060]  其實保羅從來沒有停止做過猶太人
[00:02:54.060 --> 00:02:56.060]  他一直都是猶太人
[00:02:56.060 --> 00:02:59.060]  他是化利塞人背景出身
[00:02:59.060 --> 00:03:01.060]  他很熟悉律法
[00:03:01.060 --> 00:03:04.060]  他很熟悉拉比式的辯論
[00:03:04.060 --> 00:03:07.060]  很熟悉猶太的色經方法等等
[00:03:07.060 --> 00:03:15.060]  所以作者認為保羅根本不是由猶太人變成所謂的基督徒
[00:03:15.060 --> 00:03:20.060]  而是他由始至終都是一位
[00:03:20.060 --> 00:03:24.060]  相信耶穌基督就是利塞亞的猶太人
[00:03:24.060 --> 00:03:26.060]  的一位使徒
[00:03:26.060 --> 00:03:29.060]  所以這個觀點很重要
[00:03:29.060 --> 00:03:33.060]  因為如果保羅仍然認為自己是猶太人的話
[00:03:33.060 --> 00:03:39.060]  加拉太書就不會是一個反猶太教的宣言
[00:03:39.060 --> 00:03:42.060]  難道他反自己?反什麼呢?
[00:03:42.060 --> 00:03:47.060]  所以作者提出其實加拉太書真正的問題
[00:03:47.060 --> 00:03:50.060]  不是保羅正在反對猶太人
[00:03:50.060 --> 00:03:52.060]  而是他問一件事
[00:03:52.060 --> 00:03:57.060]  外邦人究竟是否需要變成猶太人呢?
[00:03:57.060 --> 00:04:01.060]  所以加拉太書對他們來說
[00:04:01.060 --> 00:04:05.060]  真正爭論的不是恩典對砍律法
[00:04:05.060 --> 00:04:10.060]  而是如果外邦人要成為上帝的選民的話
[00:04:10.060 --> 00:04:14.060]  他們是否需要透過國禮去成為猶太人呢?
[00:04:14.060 --> 00:04:20.060]  他們是否需要重新接受猶太人的律法呢?
[00:04:20.060 --> 00:04:24.060]  他們的身份要進入甚至變成猶太人呢?
[00:04:24.060 --> 00:04:27.060]  保羅正正反對的就是這件事
[00:04:27.060 --> 00:04:30.060]  所以保羅其實不是討厭律法
[00:04:30.060 --> 00:04:34.060]  而是他認為現在上帝的國度
[00:04:34.060 --> 00:04:42.060]  其實是在普世外邦萬國施展他的恩典
[00:04:42.060 --> 00:04:46.060]  所以外邦人不需要變成猶太人
[00:04:46.060 --> 00:04:49.060]  外邦人仍然可以以外邦人的身份
[00:04:49.060 --> 00:04:57.060]  進入上帝的恩典、文藥、群體
[00:04:57.060 --> 00:05:02.060]  所以這對保羅來說才是福音最革命性的一件事
[00:05:02.060 --> 00:05:07.060]  例如在加拉太書中最有名的一句說話就是
[00:05:07.060 --> 00:05:10.060]  人稱義不是靠行律法
[00:05:10.060 --> 00:05:12.060]  對於Messianic Jews
