
[00:00:00.000 --> 00:00:02.760]  大家會留意到在我們今天星期開始
[00:00:02.760 --> 00:00:06.000]  我們崇拜的講道會開始一個新的季題
[00:00:06.000 --> 00:00:09.000]  我們會一起思想聖經的希伯來書
[00:00:09.000 --> 00:00:15.000]  這段聖經裏面很清楚給我們一個很重要的訊息
[00:00:15.000 --> 00:00:19.000]  就是我們堅定我們信靠主的心
[00:00:19.000 --> 00:00:22.000]  是信主到底
[00:00:22.000 --> 00:00:25.000]  而你發覺在我們所身處的環境
[00:00:25.000 --> 00:00:29.000]  有很多不同的挑戰或者不同的壓力
[00:00:29.000 --> 00:00:32.000]  會打擊我們的信心
[00:00:32.000 --> 00:00:34.000]  甚至一些我們中間的弟兄姊妹
[00:00:34.000 --> 00:00:37.000]  曾經都經歷過在信主之後
[00:00:37.000 --> 00:00:41.000]  是被衝擊以至放棄了信仰
[00:00:41.000 --> 00:00:45.000]  可能大家都有機會聽到在近期
[00:00:45.000 --> 00:00:47.000]  有很多不同的地方
[00:00:47.000 --> 00:00:48.000]  有一些的消息
[00:00:48.000 --> 00:00:50.000]  有一些信主的弟兄姊妹
[00:00:50.000 --> 00:00:54.000]  他們面對著不同的困難而放棄了信仰
[00:00:54.000 --> 00:00:57.000]  大家可能都會聽到中國內地的教會
[00:00:57.000 --> 00:01:00.000]  最近面對很多不同的壓力
[00:01:00.000 --> 00:01:07.000]  有教徒被要求公開地將一份聖明書寫上他的名字
[00:01:07.000 --> 00:01:10.000]  是表明他放棄了不再信仰
[00:01:10.000 --> 00:01:13.000]  不再信靠主耶穌
[00:01:13.000 --> 00:01:16.000]  很多事情我們都一路來鼓勵自己
[00:01:16.000 --> 00:01:20.000]  縱使有一天你要面對著不同的壓力
[00:01:20.000 --> 00:01:23.000]  但是聖經裏面不斷地鼓勵我們
[00:01:23.000 --> 00:01:26.000]  叫我們更多認識這位耶穌基督
[00:01:26.000 --> 00:01:30.000]  他是那位真實的永恆的上帝
[00:01:30.000 --> 00:01:32.000]  以至我們在任何情況之下
[00:01:32.000 --> 00:01:34.000]  持定我們信靠主的心
[00:01:34.000 --> 00:01:36.000]  不會隨流失去
[00:01:36.000 --> 00:01:41.000]  這正正是我們在這段時間思想希伯來書的重點
[00:01:41.000 --> 00:01:43.000]  保守著自己的信心
[00:01:43.000 --> 00:01:47.000]  以至不會失去神要給我們生命的恩典
[00:01:47.000 --> 00:01:50.000]  所以今天我們特別開始思想希伯來書的時候
[00:01:50.000 --> 00:01:53.000]  你會想到這位主耶穌基督
[00:01:53.000 --> 00:01:55.000]  他是超越一切的
[00:01:55.000 --> 00:01:58.000]  而正因為他是永恆的上帝
[00:01:58.000 --> 00:02:00.000]  值得我們一生的信靠他
[00:02:00.000 --> 00:02:03.000]  堅定自己來跟隨他
[00:02:03.000 --> 00:02:04.000]  我們一起打開聖經
[00:02:04.000 --> 00:02:09.000]  思想希伯來書第一章的經文
[00:02:09.000 --> 00:02:12.000]  聖經一開始的時候就提及到這位主
[00:02:12.000 --> 00:02:16.000]  他的確是超越一切一切的上帝
[00:02:16.000 --> 00:02:18.000]  在開始的時候就提過
