
[00:00:00.000 --> 00:00:03.080]  究竟我們的上帝是一位什麼樣的上帝呢?
[00:00:03.080 --> 00:00:05.320]  會不會像哲學家所說的
[00:00:05.320 --> 00:00:07.200]  是一個高高在上的
[00:00:07.200 --> 00:00:09.720]  永不動搖的絕對者呢?
[00:00:09.720 --> 00:00:12.440]  還是像希臘神話所說
[00:00:12.440 --> 00:00:15.080]  是會很情緒化的
[00:00:15.080 --> 00:00:17.000]  我們不知道他突然間的情緒
[00:00:17.000 --> 00:00:18.000]  又會突然間這樣
[00:00:18.000 --> 00:00:18.800]  突然間這樣
[00:00:18.800 --> 00:00:20.120]  我們完全好像
[00:00:20.120 --> 00:00:23.840]  了解不到他的神明呢?
[00:00:23.840 --> 00:00:26.160]  所以我們今天很有趣的
[00:00:26.160 --> 00:00:27.560]  就會看一本書
[00:00:27.560 --> 00:00:29.400]  是一本很經典的書
[00:00:29.400 --> 00:00:31.960]  就是Abraham Heschel
[00:00:31.960 --> 00:00:34.240]  他寫的《先知神學》
[00:00:34.240 --> 00:00:36.800]  他裡面提出了一個term
[00:00:36.800 --> 00:00:39.160]  叫做The Theology of Pathos
[00:00:39.160 --> 00:00:41.760]  中文翻譯為《悲悶神學》
[00:00:41.760 --> 00:00:44.440]  究竟這個《悲悶神學》是什麼意思呢?
[00:00:44.440 --> 00:00:47.120]  悲悶不是說我們平時
[00:00:47.120 --> 00:00:49.720]  理解的那種好像很悲傷的感覺
[00:00:49.720 --> 00:00:53.120]  而是說我們的上帝對世界
[00:00:53.120 --> 00:00:57.520]  其實是有一份關懷和情感的投入
[00:00:57.520 --> 00:01:02.000]  《先知》書裡面呈現出來的上帝
[00:01:02.000 --> 00:01:04.920]  就不是一個很抽象的理念
[00:01:04.920 --> 00:01:09.880]  而是那個真的會被人所觸動的上帝
[00:01:09.880 --> 00:01:11.360]  所以我們看《先知》書
[00:01:11.360 --> 00:01:13.560]  我們看到那群先知
[00:01:13.560 --> 00:01:15.960]  不是坐在書桌前面
[00:01:15.960 --> 00:01:17.960]  思想上帝是怎樣的
[00:01:17.960 --> 00:01:20.680]  去找一個神的概念的人
[00:01:20.680 --> 00:01:24.360]  他們是那群被上帝所呼召
[00:01:24.360 --> 00:01:27.440]  被他的話語所衝擊、震撼
[00:01:27.440 --> 00:01:31.360]  然後看到上帝在歷史裡面行動的一群人
[00:01:31.360 --> 00:01:36.000]  所以他們是用生命去告訴我們
[00:01:36.000 --> 00:01:38.440]  究竟上帝是怎樣的
[00:01:38.440 --> 00:01:41.480]  他告訴我們上帝不是那位很冷漠的上帝
[00:01:41.480 --> 00:01:46.840]  而是那位會和他的子民一同生活的上帝
[00:01:46.840 --> 00:01:50.600]  所以你看到對於這位上帝來說
[00:01:50.600 --> 00:01:53.680]  我們人的處境等等
[00:01:53.680 --> 00:01:56.200]  其實對上帝來說是有真正的意義的
[00:01:56.200 --> 00:01:59.480]  人的痛苦不只是單方面的事情
[00:01:59.480 --> 00:02:03.200]  我們的罪也不只是違反律法
[00:02:03.200 --> 00:02:04.400]  而是這些事情
[00:02:04.400 --> 00:02:06.600]  無論我們的處境、痛苦、罪
[00:02:06.600 --> 00:02:08.720]  是會觸動到上帝的心
[00:02:08.720 --> 00:02:11.600]  甚至會搞動到上帝
[00:02:11.600 --> 00:02:16.800]  所以Hazel其實想跟我們說的就是
[00:02:16.800 --> 00:02:21.240]  似乎人不是說上帝整個計劃裡面
[00:02:21.240 --> 00:02:24.160]  是一個很被動的物件
[00:02:24.160 --> 00:02:28.560]  而是我們成為上帝生命裡面的夥伴
[00:02:28.560 --> 00:02:31.240]  所以其實這一點是很重要的
[00:02:31.240 --> 00:02:32.640]  就好像我們祈禱一樣
[00:02:32.640 --> 00:02:36.840]  不只是單方面的跟上帝說話、喊叫
[00:02:36.840 --> 00:02:40.600]  而是我們真的跟祂祈禱的時候
[00:02:40.600 --> 00:02:43.640]  我們是在觸動上帝的心
[00:02:43.640 --> 00:02:48.080]  所以先知書呈現的上帝
[00:02:48.080 --> 00:02:51.360]  不是一個好像無法改變的上帝
[00:02:51.360 --> 00:02:55.200]  而是透過人跟我們建立的一種關係
[00:02:55.200 --> 00:02:58.560]  祂會因為人的迴轉而改變祂的態度
[00:02:58.560 --> 00:02:59.920]  這樣的一個上帝
[00:02:59.920 --> 00:03:03.640]  這個是Hazel想在整本書裡面提出的核心
[00:03:03.640 --> 00:03:05.480]  她提出的卑敏神學
[00:03:05.480 --> 00:03:11.320]  從卑敏的角度去認識、理解我們這位上帝
[00:03:11.320 --> 00:03:13.720]  所以其實很有趣的就是
[00:03:13.720 --> 00:03:17.920]  如果從這樣的角度去看上帝
[00:03:17.920 --> 00:03:18.840]  就很有趣了
[00:03:18.840 --> 00:03:21.680]  因為很多時候我們可能現代人
[00:03:21.680 --> 00:03:24.680]  甚至我們有時候受理性主義影響的人
[00:03:24.680 --> 00:03:26.160]  我們都會問
[00:03:26.160 --> 00:03:28.000]  我們會問的中經問題就是
[00:03:28.000 --> 00:03:29.920]  上帝存不存在
[00:03:29.920 --> 00:03:34.120]  似乎上帝存在就是解答了我們很多問題
[00:03:34.120 --> 00:03:35.560]  但其實可能不是
[00:03:35.560 --> 00:03:36.960]  對於很多人來說
[00:03:36.960 --> 00:03:40.640]  信仰生命最大的掙扎不是上帝存不存在
[00:03:40.640 --> 00:03:44.560]  而是究竟上帝還在乎我們嗎?
[00:03:44.560 --> 00:03:46.960]  但在先知書裡面所呈現的上帝
[00:03:46.960 --> 00:03:49.920]  似乎就是一位這樣的上帝
[00:03:49.920 --> 00:03:51.720]  就是因為上帝愛
[00:03:51.720 --> 00:03:53.120]  所以祂在乎我們
[00:03:53.120 --> 00:03:54.720]  就是因為祂在乎我們
[00:03:54.720 --> 00:03:56.640]  所以祂介入了歷史裡面
[00:03:56.640 --> 00:03:57.960]  祂介入歷史
[00:03:57.960 --> 00:04:00.000]  祂甚至拯救我們
[00:04:00.000 --> 00:04:02.040]  我們的上帝
[00:04:02.040 --> 00:04:04.840]  似乎是一位這樣的上帝
