
[00:00:00.000 --> 00:00:01.720]  我想和大家施上一個訊息
[00:00:01.720 --> 00:00:05.240]  就是要不斷地被聖靈充滿
[00:00:05.240 --> 00:00:10.600]  很多人以為聖靈充滿是屬於某一類的屬靈的教徒
[00:00:10.600 --> 00:00:12.520]  但聖經是清楚說
[00:00:12.520 --> 00:00:14.320]  當我們信耶穌之後
[00:00:14.320 --> 00:00:19.440]  神就將聖靈賜給我們每一個信主的人
[00:00:19.440 --> 00:00:21.600]  我聽過很多大英姐妹講述他們的經歷
[00:00:21.600 --> 00:00:23.920]  我自己聽的時候就知道
[00:00:23.920 --> 00:00:25.120]  按照聖經所說
[00:00:25.120 --> 00:00:27.280]  其實是聖靈幫助他們
[00:00:27.280 --> 00:00:30.640]  去做一些他們自己做不到的事情
[00:00:30.640 --> 00:00:33.680]  一位弟兄當他說到他自己是很害羞
[00:00:33.680 --> 00:00:35.240]  很內向的性格
[00:00:35.240 --> 00:00:37.840]  平時很不敢和別人說話
[00:00:37.840 --> 00:00:41.400]  但他自己就放膽去試試去派單張
[00:00:41.400 --> 00:00:43.120]  他想派單張不用怎麼說話
[00:00:43.120 --> 00:00:45.640]  給別人一張單張就可以
[00:00:45.640 --> 00:00:50.760]  但派單張差不多是一些戶外的報道活動
[00:00:50.760 --> 00:00:52.280]  想不到心中有一種感動
[00:00:52.280 --> 00:00:54.160]  很想和別人說一下
[00:00:54.160 --> 00:00:56.320]  當他開始嘗試說的時候
[00:00:56.320 --> 00:00:57.920]  發覺自己說得很清楚
[00:00:57.920 --> 00:00:59.880]  好像別人也很明白
[00:00:59.880 --> 00:01:02.600]  不單止一次、兩次、三次、四次
[00:01:02.600 --> 00:01:05.400]  好幾次出外派單張報道的時候
[00:01:05.400 --> 00:01:06.840]  不知道從哪裡來的勇氣
[00:01:06.840 --> 00:01:10.000]  就可以很清楚地講述到福音
[00:01:10.000 --> 00:01:13.240]  他說甚至我和熟的人說話
[00:01:13.240 --> 00:01:15.080]  都好像沒有那麼順利
[00:01:15.080 --> 00:01:17.040]  但反而在那些情況之下
[00:01:17.040 --> 00:01:20.200]  能夠有一種力量去講福音
[00:01:20.200 --> 00:01:21.440]  他覺得驚訝
[00:01:21.440 --> 00:01:22.880]  為什麼可以這樣做
[00:01:22.880 --> 00:01:23.640]  當我聽到的時候
