
[00:00:00.000 --> 00:00:10.000]  感謝主,在2023年最後一天,我們一同回到主的面前
[00:00:10.000 --> 00:00:15.000]  同心敬拜,數算主恩
[00:00:15.000 --> 00:00:25.000]  每一次回來希伯論堂,都真的有很多回憶,60年的印象
[00:00:25.000 --> 00:00:33.000]  剛才唱《我曾寫命為你》,這首宣導詩50首
[00:00:33.000 --> 00:00:38.000]  是我學詩琴練習的第一首詩
[00:00:38.000 --> 00:00:44.000]  因為如果你懂得彈琴,你會知道這首是詩大調的聖詩
[00:00:44.000 --> 00:00:50.000]  即是不用上sharp,不用上flat,不用彈那些黑字,只彈白色的字
[00:00:50.000 --> 00:00:55.000]  很小的時候,我應該是十歲左右,手都不夠大
[00:00:55.000 --> 00:01:02.000]  但這首詩歌是我學習詩琴的第一首聖詩
[00:01:02.000 --> 00:01:08.000]  當時還在想,死了,這麼大本詩歌,何時能彈完,懂得彈完
[00:01:08.000 --> 00:01:15.000]  你知道以前團契唱短詩,喜歡唱哪首就唱哪首
[00:01:15.000 --> 00:01:21.000]  哪有今天這麼兇,要早兩個星期就練習
[00:01:21.000 --> 00:01:28.000]  所以這真是很不同,現在民主了很多,感謝神
[00:01:28.000 --> 00:01:34.000]  解牧師告訴我,每第五個星期
[00:01:34.000 --> 00:01:45.000]  在今年希伯倫堂會一同講解宣導會的四重福音
[00:01:45.000 --> 00:01:52.000]  不是四個福音,不要搞錯,要理解什麼是四重福音
[00:01:52.000 --> 00:02:02.000]  Four-fold gospel,這個講法其實可以有不同的英文中文的表達
[00:02:02.000 --> 00:02:09.000]  例如,香港有一間四方福音會,有沒有印象
[00:02:09.000 --> 00:02:14.000]  Four-square gospel church,不是東南西北的意思
[00:02:14.000 --> 00:02:22.000]  就是宣導會四重福音的意思,很奇怪用了square這個字
[00:02:22.000 --> 00:02:31.000]  內容有些不同,但十九世紀當時五旬節運動的背景是相同的
[00:02:31.000 --> 00:02:41.000]  用今天我們容易明白的說法,福音是立體的,3D,不是平面的
[00:02:41.000 --> 00:02:47.000]  福音不是只講你信耶穌那一刻舉手決志的
[00:02:47.000 --> 00:02:59.000]  福音是你一生要經歷的,甚至是我們歷史從開始到終末
[00:02:59.000 --> 00:03:06.000]  這個很豐富的內容,所以四次第五個主日的講道
[00:03:06.000 --> 00:03:12.000]  今天我們來到最後的重點
[00:03:12.000 --> 00:03:22.000]  宣導會的會徽,如果你不認識,後面有在牆上的海報解釋給你聽
