
[00:00:00.000 --> 00:00:10.400]  這堂很快就將對於末世不同看法的神學理論否釋一下
[00:00:10.400 --> 00:00:14.480]  當然對於現在的評論者來說你都認識很多東西
[00:00:14.480 --> 00:00:19.960]  什麼毛千里連派 千里連前派 千里連後派
[00:00:19.960 --> 00:00:23.760]  災難中被提 災難前被提 都聽過一下名字
[00:00:23.760 --> 00:00:26.000]  我相信你大概都知道是什麼
[00:00:26.000 --> 00:00:32.680]  所以在我這個神學課程裏面我當然責任上要交代究竟是什麼
[00:00:32.680 --> 00:00:37.720]  清楚勾畫一個輪廓 然後我就會集中講
[00:00:37.720 --> 00:00:48.400]  我就覺得這些不同的看法不單單是表現他對將來的事情的觀點問題
[00:00:48.400 --> 00:00:55.360]  也影響了他怎樣看聖經 影響了他怎樣看歷史 影響了他怎樣看神學
[00:00:55.360 --> 00:00:59.240]  都很有關係 所以我就想將他這幾個不同的看法
[00:00:59.240 --> 00:01:04.920]  將他引申到成為一些較為神學性的反省
[00:01:04.920 --> 00:01:09.680]  我都是嘗試給大家一個正如我一直以來希望做的
[00:01:09.680 --> 00:01:13.240]  較為客觀的立場去看不同的白人
[00:01:13.240 --> 00:01:16.680]  這件事其實咳死了中國教育多久
[00:01:16.680 --> 00:01:19.720]  現在香港的教育可能已經沒那麼重視這件事
[00:01:19.720 --> 00:01:25.000]  沒那麼重視這個分別 在一些地方的華人教會當中看得很重
[00:01:25.000 --> 00:01:28.840]  怎樣看末世在哪一派判斷是不是比基督徒好
[00:01:28.840 --> 00:01:33.640]  甚至極端起上來認為你是異端還是不是異端
[00:01:33.640 --> 00:01:35.880]  信有純正還是不純正
[00:01:35.880 --> 00:01:40.680]  我希望這次打開一個風氣給大家比較客觀
[00:01:40.680 --> 00:01:43.680]  聽一下和你派系不同的看法
[00:01:43.680 --> 00:01:46.680]  每個人都有自己的立場
[00:01:46.680 --> 00:01:49.680]  我亦不隱瞞我的立場
[00:01:49.680 --> 00:01:53.880]  我是千里年前派的贊成災難中被提
[00:01:53.880 --> 00:01:55.560]  我的立場很清楚
[00:01:55.560 --> 00:02:01.560]  不過我不覺得除我以外每個人都是錯的看法
[00:02:01.560 --> 00:02:05.400]  所以這次就一連串給大家看看別人的看法
[00:02:05.400 --> 00:02:08.920]  你盡可以上二次堂之後完全不贊成我
[00:02:08.920 --> 00:02:11.360]  我那個立場去採取另外一個立場
[00:02:11.360 --> 00:02:13.360]  很多東西都是很好的
[00:02:13.360 --> 00:02:17.840]  開始之前有一個簡單的交代
[00:02:17.840 --> 00:02:19.840]  究竟將來發生什麼事
[00:02:19.840 --> 00:02:22.560]  不同的派系當然講不同的時序
[00:02:22.560 --> 00:02:24.560]  你總是要採取一種
[00:02:24.560 --> 00:02:26.560]  我站在這裡我有權
[00:02:26.560 --> 00:02:28.560]  你沒有聲音就坐在下面我站在上面
[00:02:28.560 --> 00:02:30.560]  當然講一講我看的那種
[00:02:30.560 --> 00:02:32.560]  先講一個梗概
[00:02:32.560 --> 00:02:36.560]  給大家一個觀念可以說是一個架構
