
[00:00:00.000 --> 00:00:02.800]  我們今天繼續的領受
[00:00:02.800 --> 00:00:04.100]  《聖經》裏面
[00:00:04.100 --> 00:00:08.300]  新約希伯來書的寶貴的信息
[00:00:08.300 --> 00:00:12.300]  這是希伯來書信息的第十講
[00:00:12.300 --> 00:00:14.200]  在這一講裏面
[00:00:14.200 --> 00:00:18.800]  要看耶穌基督在希伯來書裏面的名稱
[00:00:18.800 --> 00:00:21.700]  我們在上一講裏面已經看了
[00:00:21.700 --> 00:00:27.000]  希伯來書裏面耶穌基督的頭七個名稱
[00:00:27.000 --> 00:00:32.400]  幫助我們認識主耶穌基督更深刻、更完全
[00:00:32.400 --> 00:00:34.300]  在這一講裏面
[00:00:34.300 --> 00:00:37.500]  我們要看其餘的七個名稱
[00:00:37.500 --> 00:00:40.600]  合起來就是十四個名稱
[00:00:40.600 --> 00:00:45.800]  這一講我們要從第八個名稱開始看
[00:00:45.800 --> 00:00:49.600]  就是耶穌基督是大祭祀
[00:00:49.600 --> 00:00:53.400]  這是二章十七節所說的
[00:00:53.400 --> 00:00:58.200]  二章十七節我讀給大家聽
[00:00:58.200 --> 00:01:03.300]  所以他凡是該與他的弟兄相同
[00:01:03.300 --> 00:01:09.900]  爲要在神的事上成爲慈悲忠信的大祭祀
[00:01:09.900 --> 00:01:13.700]  爲百姓的罪獻上完毀祭
[00:01:13.700 --> 00:01:17.900]  他是慈悲忠信的大祭祀
[00:01:17.900 --> 00:01:20.800]  他又慈悲又忠信
[00:01:20.800 --> 00:01:24.400]  忠信就是信實可靠
[00:01:24.400 --> 00:01:26.100]  他是慈悲的
[00:01:26.100 --> 00:01:32.200]  他是信實可靠的永不改變的大祭祀
[00:01:32.200 --> 00:01:35.000]  那麼這一位寶貴的大祭祀
[00:01:35.000 --> 00:01:37.100]  有什麼特點呢?
[00:01:37.100 --> 00:01:42.000]  在希伯來書裏面至少提到他的五個特點
[00:01:42.000 --> 00:01:46.800]  第一個特點就是他不是像舊約的大祭祀
[00:01:46.800 --> 00:01:50.400]  獻上牛羊來贖人的罪
[00:01:50.400 --> 00:01:52.700]  這一位大祭祀主耶穌
[00:01:52.700 --> 00:01:56.000]  乃是把自己的血獻上
[00:01:56.000 --> 00:01:59.100]  爲我們做完毀祭
[00:01:59.100 --> 00:02:01.500]  洗盡我們一切的罪
[00:02:01.500 --> 00:02:02.900]  不是獻牛羊
[00:02:02.900 --> 00:02:04.900]  乃是獻上自己
[00:02:04.900 --> 00:02:10.100]  這是希伯來書第九章第十二節所說的
[00:02:10.100 --> 00:02:15.300]  九章十二節我讀出來給大家聽
[00:02:15.300 --> 00:02:18.700]  並且不用山羊和牛讀的血
[00:02:18.700 --> 00:02:20.700]  乃用自己的血
[00:02:20.700 --> 00:02:23.400]  只一次進入聖所
[00:02:23.400 --> 00:02:26.800]  成了永遠贖罪的事
[00:02:26.800 --> 00:02:28.600]  感謝讚美主
[00:02:28.600 --> 00:02:32.500]  耶穌基督所獻的不是牛羊的血
[00:02:32.500 --> 00:02:34.100]  牛讀的血
[00:02:34.100 --> 00:02:36.000]  如果是的話
[00:02:36.000 --> 00:02:39.100]  仍然不能贖我們的罪
[00:02:39.100 --> 00:02:41.800]  在舊約大祭祀所獻的血
[00:02:41.800 --> 00:02:43.200]  乃是玉表
[00:02:43.200 --> 00:02:44.800]  乃是嬴兒
[00:02:44.800 --> 00:02:49.000]  是玉表主耶穌基督獻上祂自己
[00:02:49.000 --> 00:02:52.600]  爲我們留出生命的寶血
[00:02:52.600 --> 00:02:55.800]  洗盡我們一切的罪
[00:02:55.800 --> 00:03:01.500]  這是我們的這位大祭祀主耶穌的第一個特點
[00:03:01.500 --> 00:03:03.100]  第二個特點
[00:03:03.100 --> 00:03:06.300]  就是這位大祭祀能夠了解
[00:03:06.300 --> 00:03:10.200]  提出我們一切的軟弱
[00:03:10.200 --> 00:03:12.400]  第四章十五節
[00:03:12.400 --> 00:03:15.700]  這樣清楚地告訴了我們
[00:03:15.700 --> 00:03:17.600]  我讀給大家聽
[00:03:17.600 --> 00:03:19.500]  四章十五節
[00:03:19.500 --> 00:03:21.600]  因我們的大祭祀
[00:03:21.600 --> 00:03:25.100]  並非不能提出我們的軟弱
[00:03:25.100 --> 00:03:28.100]  他也曾翻世受過試探
[00:03:28.100 --> 00:03:29.500]  與我們一樣
[00:03:29.500 --> 00:03:31.600]  只是他沒有犯罪
[00:03:31.600 --> 00:03:34.800]  所以我們只管坦然無懼地
[00:03:34.800 --> 00:03:37.500]  來到使恩的寶座前
[00:03:37.500 --> 00:03:39.600]  爲要得蓮酥
