
[00:00:00.000 --> 00:00:02.760]  感謝耶穌基督在祂的大愛裡面
[00:00:02.760 --> 00:00:05.560]  讓我們一切都會變成新的了
[00:00:05.560 --> 00:00:06.960]  成為新造的人
[00:00:06.960 --> 00:00:09.200]  我們再一次給熱烈的掌聲
[00:00:09.200 --> 00:00:11.200]  感謝今早有
[00:00:11.200 --> 00:00:12.240]  澤美操
[00:00:12.240 --> 00:00:14.200]  有青鳥全歌
[00:00:14.200 --> 00:00:18.200]  他們帶著感恩的心
[00:00:18.200 --> 00:00:20.600]  用身體、用舞蹈、用歌聲
[00:00:20.600 --> 00:00:23.560]  來帶領我們一起去敬拜
[00:00:23.560 --> 00:00:29.960]  為的就是我們開始主題演習的第一個訊息
[00:00:29.960 --> 00:00:30.960]  大家知不知道
[00:00:30.960 --> 00:00:35.440]  其實原來香港人的健康活力指數
[00:00:35.440 --> 00:00:37.840]  是全球戰底的
[00:00:37.840 --> 00:00:41.360]  就是說八成的香港人是壓力過大
[00:00:41.360 --> 00:00:43.160]  感到過勞的
[00:00:43.160 --> 00:00:47.160]  所以不知道這裡有很多人是壓力過大
[00:00:47.160 --> 00:00:48.640]  還有很疲勞
[00:00:48.640 --> 00:00:51.640]  但今早就是我們活動一下身體
[00:00:51.640 --> 00:00:53.640]  我們一起唱詩歌的時候
[00:00:53.640 --> 00:00:56.440]  其實是可以改變我們的情緒
[00:00:56.440 --> 00:00:57.640]  加力給我們的
[00:00:57.640 --> 00:00:59.040]  是不是啊各位
[00:00:59.040 --> 00:01:01.040]  是,真是的
[00:01:01.040 --> 00:01:03.040]  香港人壓力大在哪裡呢
[00:01:03.040 --> 00:01:04.440]  我們的工時很長
[00:01:04.440 --> 00:01:06.240]  所以我們缺乏休息
[00:01:06.240 --> 00:01:08.240]  還有環境也會影響
[00:01:08.240 --> 00:01:10.240]  還有人際關係等等
[00:01:10.240 --> 00:01:12.240]  也是受影響的
[00:01:12.240 --> 00:01:15.040]  原來早於1948年
[00:01:15.040 --> 00:01:18.440]  世衛是這樣定義健康的
[00:01:18.440 --> 00:01:21.840]  健康不只是我們沒有病
[00:01:21.840 --> 00:01:24.840]  或者身體虛弱的問題
[00:01:24.840 --> 00:01:28.240]  健康原來是指我們身體
[00:01:28.240 --> 00:01:29.640]  精神的健康
[00:01:29.640 --> 00:01:31.640]  就是包括我們的情緒
[00:01:31.640 --> 00:01:33.240]  還有社會的適應
[00:01:33.240 --> 00:01:36.240]  就是包括我們群體的關係
[00:01:36.240 --> 00:01:38.640]  一個完好的狀態
[00:01:38.640 --> 00:01:42.040]  所以簡單就是身心社
[00:01:42.040 --> 00:01:44.240]  不過我們基督徒更感恩
[00:01:44.240 --> 00:01:47.040]  我們還會有靈的部分
[00:01:47.040 --> 00:01:48.840]  身心社靈
[00:01:48.840 --> 00:01:50.040]  四方面
[00:01:50.040 --> 00:01:53.040]  今天不知道你健不健全呢
[00:01:53.040 --> 00:01:54.240]  原來基督的信仰
[00:01:54.240 --> 00:01:56.040]  耶穌基督給我們的
[00:01:56.040 --> 00:01:58.640]  是一個整個人生
