
[00:00:00.000 --> 00:00:02.960]  我們花一點時間說說
[00:00:02.960 --> 00:00:04.960]  對於兒女
[00:00:04.960 --> 00:00:06.320]  我們看到今天這裡
[00:00:06.320 --> 00:00:09.200]  我都預了在浸園應該多一點年紀
[00:00:09.200 --> 00:00:10.520]  就是成熟一點的人
[00:00:10.520 --> 00:00:11.520]  不要說老了
[00:00:11.520 --> 00:00:13.680]  成熟一點的人要參加
[00:00:13.680 --> 00:00:17.760]  所以說兒女也是一個適當的課題
[00:00:17.760 --> 00:00:24.200]  浸園裡面相當多教導兒女的經文
[00:00:24.200 --> 00:00:27.840]  今天我想跟大家分享一點
[00:00:27.840 --> 00:00:29.840]  也是我很有負擔想分享的
[00:00:29.840 --> 00:00:34.400]  首先什麼叫教育?
[00:00:34.400 --> 00:00:41.760]  當然如果你說浸園怎樣教導兒女的話
[00:00:41.760 --> 00:00:44.000]  莫過於最出名那句
[00:00:44.000 --> 00:00:46.560]  就是二十二章第六節
[00:00:46.560 --> 00:00:48.560]  教養孩童
[00:00:48.560 --> 00:00:51.360]  使他走當行的路
[00:00:51.360 --> 00:00:54.960]  就是道路他也不偏離
[00:00:54.960 --> 00:00:57.440]  這句我想是人都會背的
[00:00:57.440 --> 00:00:58.960]  是基督徒應該會背的
[00:00:58.960 --> 00:01:02.080]  事實上這句也是很重要的
[00:01:02.080 --> 00:01:05.120]  很出名,但是也是相當核心的
[00:01:05.120 --> 00:01:06.960]  難怪大家這麼熟
[00:01:06.960 --> 00:01:09.600]  教養孩童
[00:01:09.600 --> 00:01:11.440]  這個教養這個字
[00:01:11.440 --> 00:01:16.160]  在希伯來文有幾個可能的解釋
[00:01:16.160 --> 00:01:17.840]  因為這個字比較複雜
[00:01:17.840 --> 00:01:20.720]  我看過兩篇論文都是研究這個字
[00:01:20.720 --> 00:01:22.720]  究竟這個字應該怎樣解釋
[00:01:22.720 --> 00:01:25.280]  我綜合了不同的學者
[00:01:25.280 --> 00:01:28.240]  有三個可能的解釋
[00:01:28.240 --> 00:01:30.400]  而這三個可能的解釋其實
[00:01:30.400 --> 00:01:32.400]  不一定互相衝突的
[00:01:32.400 --> 00:01:34.720]  都有各個的好處
[00:01:34.720 --> 00:01:38.320]  還有獨特的意義在
[00:01:38.320 --> 00:01:40.800]  有學者認為
[00:01:40.800 --> 00:01:45.120]  教養這個字原來是訓練的意思
[00:01:45.120 --> 00:01:46.400]  是train
[00:01:46.400 --> 00:01:50.000]  就是說你要訓練你的子女
[00:01:50.000 --> 00:01:52.720]  訓練你的子女
[00:01:52.720 --> 00:01:56.400]  使他走當行的路
[00:01:56.400 --> 00:02:00.240]  就是道路也不偏離
[00:02:00.240 --> 00:02:03.360]  那時候就看重點在哪裡了
[00:02:03.360 --> 00:02:07.280]  如果你的重點是當行的路
[00:02:07.280 --> 00:02:12.400]  那就是說你的子女要走什麼路呢?
[00:02:12.400 --> 00:02:16.160]  所以我引述第四節第五節是這麼說的
[00:02:16.160 --> 00:02:17.280]  這裡就說了
[00:02:17.280 --> 00:02:20.960]  這條路裡面包括了敬畏耶和華
[00:02:20.960 --> 00:02:24.000]  然後第五節那裡相反來說
[00:02:24.000 --> 00:02:26.480]  不要做乖僻的人
[00:02:26.480 --> 00:02:30.560]  就是說走一條敬畏耶和華的路
[00:02:30.560 --> 00:02:33.760]  而不是乖僻人的路
[00:02:33.760 --> 00:02:37.200]  這兩條路就是說有一個方向在這裡
[00:02:37.200 --> 00:02:39.360]  這個小孩雖然是小
[00:02:39.360 --> 00:02:43.920]  但是你有些要求給他
[00:02:43.920 --> 00:02:45.520]  是你有要求給他
[00:02:45.520 --> 00:02:48.320]  按照你認為對他好的要求要給他
