
[00:00:00.000 --> 00:00:09.000]  十六章有很多文案,新約羅馬書只是保羅其中一封書信
[00:00:09.000 --> 00:00:13.000]  基本上保羅寫的書信都有一個格式
[00:00:13.000 --> 00:00:20.000]  開始文案講述寫信人保羅和修信人教會的關係
[00:00:20.000 --> 00:00:34.000]  當中很典型的用平安希伯來語平安和希臘文的恩典向大家問安
[00:00:34.000 --> 00:00:41.000]  因為很多收信的都是外邦教會,有猶太人也有外邦人
[00:00:41.000 --> 00:00:54.000]  講完寫信人和修信人之後,很大段落都是講教義神學和實踐、應用真理
[00:00:54.000 --> 00:01:00.000]  最後結束就是文案,就像今天的書信一樣
[00:01:00.000 --> 00:01:06.000]  不過羅馬書十六章是很特別的,因為是非常長的文案
[00:01:06.000 --> 00:01:09.000]  相對於其他的十二封書信
[00:01:09.000 --> 00:01:15.000]  這個文案的長度確實帶給我們很多反思
[00:01:15.000 --> 00:01:18.000]  向誰問安呢?
[00:01:18.000 --> 00:01:27.000]  從經文當中大家看到,保羅說是由第十六節基督的宗教會向羅馬教會問安
[00:01:27.000 --> 00:01:36.000]  其他教會猶太人和外邦人就向相同的羅馬教會問安
[00:01:36.000 --> 00:01:40.000]  不單止是宗教會向他們問安,還有什麼人向他們問安呢?
[00:01:40.000 --> 00:01:48.000]  21到23節就是在哥林多和保羅同宮的一群人向羅馬教會問安
[00:01:48.000 --> 00:01:52.000]  保羅當然在當中向大家問安
[00:01:52.000 --> 00:01:55.000]  所以我們知道誰向誰問安
[00:01:55.000 --> 00:02:01.000]  在當中這個名單上,大家或我最少看到六樣東西
[00:02:01.000 --> 00:02:05.000]  有關上帝的真理,也在羅馬書中重複出現
[00:02:05.000 --> 00:02:08.000]  第一個是什麼呢?
[00:02:08.000 --> 00:02:15.000]  第一,上帝很體重每一個人的關係
[00:02:15.000 --> 00:02:20.000]  經文當中,保羅向27個人向羅馬教會問安
[00:02:20.000 --> 00:02:23.000]  26個已經在羅馬教會
[00:02:23.000 --> 00:02:28.000]  有一個叫做菲比,將會去羅馬教會
[00:02:28.000 --> 00:02:33.000]  27個人當中,保羅如何形容這27個人呢?
[00:02:33.000 --> 00:02:37.000]  他會在第2和第15節用聖徒
[00:02:37.000 --> 00:02:41.000]  被分別出來的,被神所呼召的一群
[00:02:41.000 --> 00:02:49.000]  更加多時候會用在耶穌基督裡的,在基督裡的,在主裡的
[00:02:49.000 --> 00:02:52.000]  是代表著什麼呢?是代表著兩樣東西
[00:02:52.000 --> 00:02:57.000]  第一,這批人和上帝有很親密的關係
[00:02:57.000 --> 00:03:00.000]  在耶穌基督裡的這27個人名
[00:03:00.000 --> 00:03:03.000]  每一個都和上帝有一個好的關係
[00:03:03.000 --> 00:03:04.000]  第二是什麼呢?
[00:03:04.000 --> 00:03:07.000]  第二,正正是今天的目者心聲
[00:03:07.000 --> 00:03:09.000]  Candle傳道所寫的
[00:03:09.000 --> 00:03:10.000]  寫什麼呢?
[00:03:10.000 --> 00:03:13.000]  我們不單止承認耶穌基督是我們的救主
[00:03:13.000 --> 00:03:17.000]  並且祂是我們生命的主
[00:03:17.000 --> 00:03:20.000]  每一個,27個人名
[00:03:20.000 --> 00:03:24.000]  每一個都是聽從上帝的心意而活的
[00:03:24.000 --> 00:03:29.000]  他們不單止和上帝有關係,並且以上帝為中心
[00:03:29.000 --> 00:03:31.000]  活出上帝的心意
[00:03:31.000 --> 00:03:36.000]  這就是保羅很欣賞這27個人名
[00:03:36.000 --> 00:03:38.000]  每一個都是如此獨特
[00:03:38.000 --> 00:03:42.000]  好像仿如帶回我們到《羅馬書》第三章
[00:03:42.000 --> 00:03:45.000]  世人都犯了罪,規缺了神的榮耀
