
[00:00:00.000 --> 00:00:04.000]  聖經裏面講述到撒加尼亞先知
[00:00:04.000 --> 00:00:07.000]  他從神領受一個異象
[00:00:07.000 --> 00:00:08.000]  這個異象的出現
[00:00:08.000 --> 00:00:13.000]  我相信絕對不單單是當時的神的子民所領受
[00:00:13.000 --> 00:00:18.000]  亦都是神今天要賜給他的子民他的異象
[00:00:18.000 --> 00:00:20.000]  而異象給我們見到
[00:00:20.000 --> 00:00:24.000]  就是上帝能夠憑著他自己的聖靈
[00:00:24.000 --> 00:00:27.000]  叫我們可以跨性很多的困難
[00:00:27.000 --> 00:00:31.000]  好像聖經所講跨越大的山
[00:00:31.000 --> 00:00:34.000]  因此今天當我們看這個異象的時候
[00:00:34.000 --> 00:00:37.000]  我們求神都讓我們今天都看見
[00:00:37.000 --> 00:00:39.000]  我們心靈都可以看見
[00:00:39.000 --> 00:00:44.000]  而真是知道聖靈是我們生命當中的力量
[00:00:44.000 --> 00:00:46.000]  在開始的時候大家會見到
[00:00:46.000 --> 00:00:50.000]  聖經當時講述先知其實是一種很沉睡的狀況
[00:00:50.000 --> 00:00:53.000]  但正是因為在沉睡的狀況
[00:00:53.000 --> 00:01:00.000]  上帝的異象臨到就復甦了他和他的民族的心
[00:01:00.000 --> 00:01:02.000]  大家看第四章第一節
[00:01:02.000 --> 00:01:05.000]  那如我說話的天使回來喚醒我
[00:01:05.000 --> 00:01:10.000]  我好像人在睡眠中被人喚醒一樣
[00:01:10.000 --> 00:01:12.000]  他對我說:你看見了什麼?
[00:01:12.000 --> 00:01:16.000]  我回答:我看見一個金燈台
[00:01:16.000 --> 00:01:18.000]  整個是金的
[00:01:18.000 --> 00:01:20.000]  頂上有一個盤子
[00:01:20.000 --> 00:01:22.000]  並有七盞燈
[00:01:22.000 --> 00:01:25.000]  頂上的燈有七個燈咀
[00:01:25.000 --> 00:01:27.000]  盤子旁邊有兩顆橄欖樹
[00:01:27.000 --> 00:01:31.000]  一顆在右邊一顆在左邊
[00:01:31.000 --> 00:01:34.000]  在一個好像沉睡的狀況裏
[00:01:34.000 --> 00:01:38.000]  神的異象臨到撒加尼亞
[00:01:38.000 --> 00:01:42.000]  這個異象聖經講述是一個金燈台的異象
[00:01:42.000 --> 00:01:43.000]  如果大家看的時候
[00:01:43.000 --> 00:01:48.000]  你可以意會到金燈台上面有一個盤
[00:01:48.000 --> 00:01:51.000]  這個其實是一個柱柔的盤
[00:01:51.000 --> 00:01:56.000]  這個盤連接在七盞燈上面
[00:01:56.000 --> 00:01:58.000]  而你發覺聖經講到
[00:01:58.000 --> 00:02:01.000]  這盞燈旁邊有兩棵樹
[00:02:01.000 --> 00:02:03.000]  兩棵的橄欖樹
[00:02:03.000 --> 00:02:05.000]  而後來的經文你會留意
[00:02:05.000 --> 00:02:08.000]  聖經講到橄欖樹兩邊的橄欖樹
[00:02:08.000 --> 00:02:11.000]  分別有兩枝的金管子
[00:02:11.000 --> 00:02:18.000]  將橄欖油流到在燈台上面的燈盤
[00:02:18.000 --> 00:02:23.000]  因此燈盤直接從橄欖樹接受橄欖油
[00:02:23.000 --> 00:02:29.000]  而從燈盤再將油連接到這七盞燈
[00:02:29.000 --> 00:02:33.000]  讓燈可以由油的供應而發光亮
[00:02:33.000 --> 00:02:38.000]  大家明白嗎?
[00:02:38.000 --> 00:02:40.000]  我曾經想過
[00:02:40.000 --> 00:02:43.000]  可否將這些有關的圖片播出來
[00:02:43.000 --> 00:02:46.000]  大家看到可能會意會多一點
[00:02:46.000 --> 00:02:48.000]  但簡單來說
[00:02:48.000 --> 00:02:50.000]  你可以去思想
