
[00:00:00.000 --> 00:00:03.160]  在《馬太福音》第五章至第七章
[00:00:03.160 --> 00:00:06.200]  我們可以說這是登山補訓
[00:00:06.200 --> 00:00:08.520]  耶穌在山上去到一群門徒
[00:00:08.520 --> 00:00:12.760]  講了一個很重要的真理
[00:00:12.760 --> 00:00:14.600]  這個真理是關於什麼呢?
[00:00:14.600 --> 00:00:18.200]  就是耶穌去針對當時的一群
[00:00:18.200 --> 00:00:19.320]  無論是宗教領袖
[00:00:19.320 --> 00:00:20.440]  無論是一群平民
[00:00:20.440 --> 00:00:23.400]  那種跟從上帝的態度
[00:00:23.400 --> 00:00:24.520]  那種心態
[00:00:24.520 --> 00:00:26.520]  出現很嚴重的偏差
[00:00:26.520 --> 00:00:28.680]  不是一些小的問題
[00:00:28.680 --> 00:00:31.120]  而是整個方向上的錯誤
[00:00:31.120 --> 00:00:35.360]  所以耶穌其實糾正了他們的錯誤
[00:00:35.360 --> 00:00:37.760]  耶穌不是在說
[00:00:37.760 --> 00:00:41.200]  一群當時的宗教群體
[00:00:41.200 --> 00:00:43.720]  他們說什麼是公義的行為
[00:00:43.720 --> 00:00:44.560]  耶穌說不是
[00:00:44.560 --> 00:00:48.320]  你說一些加上另一些的行為
[00:00:48.320 --> 00:00:49.080]  那才是公義
[00:00:49.080 --> 00:00:50.960]  不是 耶穌不是這個角度
[00:00:50.960 --> 00:00:56.000]  耶穌說出了一個很重要的不同地方
[00:00:56.000 --> 00:00:57.600]  就是耶穌去針對的
[00:00:57.600 --> 00:01:00.960]  不是什麼公義的行為
[00:01:00.960 --> 00:01:02.520]  而是更重要的
[00:01:02.520 --> 00:01:05.760]  就是那個心態和那種態度
[00:01:05.760 --> 00:01:09.400]  這個更加更加的重要
[00:01:09.400 --> 00:01:13.640]  所以耶穌在這裡去藉著一些教導
[00:01:13.640 --> 00:01:17.840]  去帶出了一個跟從上帝的人的態度
[00:01:17.840 --> 00:01:20.760]  心態應該是怎麼樣
[00:01:20.760 --> 00:01:26.280]  耶穌用了三個當時一群宗教的領袖
[00:01:26.280 --> 00:01:29.240]  或者當時一群以色列人去認為
[00:01:29.240 --> 00:01:30.920]  什麼是上帝的公義
[00:01:30.920 --> 00:01:32.520]  做了這些行為
[00:01:32.520 --> 00:01:35.240]  就是等於去跟從上帝了
[00:01:35.240 --> 00:01:36.920]  這三個行為就是
