
[00:00:00.000 --> 00:00:04.000]  Hello,我是宣道會北角堂的莊明偉牧師
[00:00:04.000 --> 00:00:05.880]  今日想和大家分享
[00:00:05.880 --> 00:00:07.360]  有一對婦女
[00:00:07.360 --> 00:00:11.280]  她們看了宣道傳語台的一些節目
[00:00:11.280 --> 00:00:14.480]  以至於她們來了北宣參加崇拜
[00:00:14.480 --> 00:00:16.760]  事源在兩個月前
[00:00:16.760 --> 00:00:22.840]  這對婦女家中有大事故
[00:00:22.840 --> 00:00:26.120]  先生的太太因病離世
[00:00:26.120 --> 00:00:30.120]  她們一向是翻開天主教的彌撒
[00:00:30.120 --> 00:00:33.640]  但在天主教的信仰中
[00:00:33.640 --> 00:00:35.640]  她們得不到安慰
[00:00:35.640 --> 00:00:38.120]  於是她們上網
[00:00:38.120 --> 00:00:41.360]  找尋有沒有其他信仰資源
[00:00:41.360 --> 00:00:43.680]  可以幫助她們
[00:00:43.680 --> 00:00:46.120]  就是這樣她們找尋
[00:00:46.120 --> 00:00:48.120]  找到宣道傳語台
[00:00:48.120 --> 00:00:50.640]  她們透過宣道傳語台
[00:00:50.640 --> 00:00:53.880]  看到有不同的講道內容
[00:00:53.880 --> 00:00:57.880]  其中包括蕭秀華牧師的講道
[00:00:57.880 --> 00:01:00.400]  她們一邊看這些講道
[00:01:00.400 --> 00:01:03.120]  感到很大的安慰
[00:01:03.120 --> 00:01:05.720]  她們又問朋友
[00:01:05.720 --> 00:01:08.800]  在哪裏可以找到蕭秀華牧師?
[00:01:08.800 --> 00:01:11.360]  於是朋友告訴她們
[00:01:11.360 --> 00:01:16.000]  原來她們在北宣可以找到蕭秀華牧師
[00:01:16.000 --> 00:01:18.000]  可以聽到她們的講道
[00:01:18.000 --> 00:01:23.320]  她們就這樣來到宣道會北角堂
[00:01:23.320 --> 00:01:26.640]  這位爸爸參加了崇拜之後
[00:01:26.640 --> 00:01:32.000]  他下星期又帶了女兒參加崇拜
[00:01:32.000 --> 00:01:35.440]  之後我又打電話給她們
[00:01:35.440 --> 00:01:38.320]  她們都覺得在崇拜裏面
[00:01:38.320 --> 00:01:42.480]  講道的內容真的很能夠安慰她們
[00:01:42.480 --> 00:01:46.880]  亦都好像宣道傳語台的講道一樣
[00:01:46.880 --> 00:01:50.480]  原來基督教的聖經是很有內容
[00:01:50.480 --> 00:01:54.000]  很豐富的,能夠回應她們的需要
[00:01:54.000 --> 00:01:58.000]  我問她們是否願意參加團契小組
[00:01:58.000 --> 00:02:00.000]  她們都很樂意
[00:02:00.000 --> 00:02:03.120]  現在她們已經在參加團契
[00:02:03.120 --> 00:02:07.840]  這位女兒二十多歲亦都在參加青年團
[00:02:07.840 --> 00:02:09.560]  我又再問她們
[00:02:09.560 --> 00:02:12.440]  如果長時間參加崇拜團契
[00:02:12.440 --> 00:02:15.920]  會否考慮受洗加入教會?
[00:02:15.920 --> 00:02:18.280]  她們都很樂意
[00:02:18.280 --> 00:02:21.320]  她們現在一直在參加崇拜
[00:02:21.320 --> 00:02:24.680]  一直積極投入參與
[00:02:24.680 --> 00:02:27.160]  我發現原來宣道傳語台
[00:02:27.160 --> 00:02:30.680]  真的可以幫助到其他人認識信仰
[00:02:30.680 --> 00:02:32.680]  認識基督
[00:02:32.680 --> 00:02:35.480]  我都期望在宣道傳語台
[00:02:35.480 --> 00:02:38.280]  有更多青年人的內容
[00:02:38.280 --> 00:02:40.480]  譬如有些青年人
[00:02:40.480 --> 00:02:43.560]  可以分享他們的信仰生活
[00:02:43.560 --> 00:02:46.280]  他們有沒有生活遇到一些困難
[00:02:46.280 --> 00:02:49.480]  或者他們對一些時事議題
[00:02:49.480 --> 00:02:51.160]  或一些神學議題
[00:02:51.160 --> 00:02:53.560]  他們有什麼反省、有什麼想法
[00:02:53.560 --> 00:02:56.560]  我相信都會是一個很好的媒介
[00:02:56.560 --> 00:02:59.560]  亦都讓更多人認識信仰
[00:02:59.560 --> 00:03:03.040]  我今日想和大家分享的就這麼多
[00:03:03.040 --> 00:03:05.040]  多謝大家
[00:03:05.040 --> 00:03:07.040]  (字幕製作/時間軸:秋月AutumnMoon)
[00:03:07.040 --> 00:03:09.040]  (字幕製作:貝爾)

