
[00:00:00.000 --> 00:00:01.660]  各位靈性姐妹平安
[00:00:01.660 --> 00:00:02.920]  (平安)
[00:00:02.920 --> 00:00:04.220]  我們感謝神
[00:00:04.220 --> 00:00:07.180]  能夠在神的殿中一起敬拜
[00:00:07.180 --> 00:00:10.580]  今年我們特別感受深一點
[00:00:10.580 --> 00:00:14.680]  因為未試過一年有三次主日打風
[00:00:14.680 --> 00:00:16.680]  (笑)
[00:00:16.680 --> 00:00:17.880]  但是感謝神
[00:00:17.880 --> 00:00:21.260]  當我們今天再一次聚集一起敬拜的時候
[00:00:21.260 --> 00:00:24.940]  我們知道每一次都是神賜的恩
[00:00:24.940 --> 00:00:26.940]  我們都感謝神
[00:00:26.940 --> 00:00:28.680]  因為祂拯救我們
[00:00:28.680 --> 00:00:30.680]  當我們回到神的家中的時候
[00:00:30.680 --> 00:00:32.100]  我們思想聖經
[00:00:32.100 --> 00:00:34.480]  我們每一次每一次去思想
[00:00:34.480 --> 00:00:36.480]  神給我們的拯救
[00:00:36.480 --> 00:00:38.480]  今天成為何等樣的人
[00:00:38.480 --> 00:00:40.480]  是神的恩才成
[00:00:40.480 --> 00:00:42.480]  今天夢受了拯救
[00:00:42.480 --> 00:00:44.480]  是最大的喜訊
[00:00:44.480 --> 00:00:46.480]  而今天我們繼續思想聖經
[00:00:46.480 --> 00:00:48.480]  亦都思想到昭合記
[00:00:48.480 --> 00:00:50.980]  給我們不斷的提醒
[00:00:50.980 --> 00:00:54.980]  就是神是那位大能拯救的上帝
[00:00:54.980 --> 00:00:56.480]  我們大家再一起祈禱
[00:00:56.480 --> 00:00:58.480]  我們仰望著
[00:00:58.480 --> 00:01:00.480]  (喊)
[00:01:00.480 --> 00:01:02.480]  (喊)
[00:01:02.480 --> 00:01:04.480]  主我們感謝祢
[00:01:04.480 --> 00:01:06.480]  祢不單只拯救我們
[00:01:06.480 --> 00:01:10.480]  祢更加將祢自己賜給我們
[00:01:10.480 --> 00:01:12.480]  祢賜下祢寶貴的聖靈
[00:01:12.480 --> 00:01:14.480]  永遠與我們同在
[00:01:14.480 --> 00:01:18.480]  主我們知道
[00:01:18.480 --> 00:01:20.480]  我們雖然軟弱
[00:01:20.480 --> 00:01:22.480]  但是聖靈幫助我們
