
[00:00:00.000 --> 00:00:04.500]  現在,國際解放禮開始。
[00:00:04.500 --> 00:00:10.000]  我們要唱一首詩。
[00:00:10.000 --> 00:00:18.000]  第十一首,單單唱口糧節。
[00:00:18.000 --> 00:00:28.000]  唱詩的時候,請華五個地區的董事們,
[00:00:28.000 --> 00:00:38.000]  區主任們,和防務委員們,
[00:00:38.000 --> 00:00:45.000]  一隊一隊的從這邊的台階,擺台上來。
[00:00:45.000 --> 00:00:57.000]  每兩位,一支國軍,代表合作。
[00:00:57.000 --> 00:01:04.000]  然後在台上圍成一個半圓圈。
[00:01:04.000 --> 00:01:09.000]  是參常的。
[00:01:09.000 --> 00:01:16.000]  我要請王永信牧師和我站在一起。
[00:01:20.000 --> 00:01:27.000]  王永信牧師連任,繼續擔任華五的總幹事的職務。
[00:01:27.000 --> 00:01:37.000]  請大家多多為他禱告。
[00:01:37.000 --> 00:01:44.000]  這是一個很沉重的擔任,很大的責任。
[00:01:49.000 --> 00:01:53.000]  請王永信牧師保佑。
[00:01:53.000 --> 00:02:01.000]  我們一起唱第十一首口糧節。
[00:02:01.000 --> 00:02:07.000]  《國歌》
[00:02:07.000 --> 00:02:11.000]  《國歌》
[00:02:11.000 --> 00:02:15.000]  《國歌》
[00:02:15.000 --> 00:02:19.000]  《國歌》
[00:02:20.000 --> 00:02:24.000]  《國歌》
[00:02:24.000 --> 00:02:28.000]  《國歌》
[00:02:28.000 --> 00:02:33.000]  《國歌》
[00:02:33.000 --> 00:02:38.000]  《國歌》
[00:02:38.000 --> 00:02:43.000]  《國歌》
[00:02:43.000 --> 00:02:48.000]  《國歌》
[00:02:49.000 --> 00:02:54.000]  《國歌》
[00:02:54.000 --> 00:02:59.000]  《國歌》
[00:02:59.000 --> 00:03:04.000]  《國歌》
[00:03:04.000 --> 00:03:09.000]  《國歌》
[00:03:09.000 --> 00:03:14.000]  《國歌》
[00:03:15.000 --> 00:03:19.000]  《國歌》
[00:03:19.000 --> 00:03:24.000]  《國歌》
[00:03:24.000 --> 00:03:29.000]  《國歌》
[00:03:29.000 --> 00:03:34.000]  《國歌》
[00:03:34.000 --> 00:03:39.000]  《國歌》
[00:03:40.000 --> 00:03:45.000]  《國歌》
[00:03:45.000 --> 00:03:50.000]  《國歌》
[00:03:50.000 --> 00:03:55.000]  《國歌》
[00:03:55.000 --> 00:04:00.000]  《國歌》
[00:04:00.000 --> 00:04:05.000]  《國歌》
[00:04:06.000 --> 00:04:10.000]  請繼續唱第三、第四首歌。
[00:04:10.000 --> 00:04:17.000]  《國歌》
[00:04:17.000 --> 00:04:22.000]  《國歌》
[00:04:22.000 --> 00:04:27.000]  《國歌》
[00:04:27.000 --> 00:04:32.000]  《國歌》
[00:04:33.000 --> 00:04:37.000]  《國歌》
[00:04:37.000 --> 00:04:42.000]  《國歌》
[00:04:42.000 --> 00:04:47.000]  《國歌》
[00:04:47.000 --> 00:04:52.000]  《國歌》
[00:04:52.000 --> 00:04:57.000]  《國歌》
[00:04:58.000 --> 00:05:03.000]  《國歌》
[00:05:03.000 --> 00:05:08.000]  《國歌》
[00:05:08.000 --> 00:05:13.000]  《國歌》
[00:05:13.000 --> 00:05:18.000]  《國歌》
[00:05:18.000 --> 00:05:23.000]  《國歌》
[00:05:24.000 --> 00:05:28.000]  《國歌》
[00:05:28.000 --> 00:05:33.000]  《國歌》
[00:05:33.000 --> 00:05:38.000]  《國歌》
[00:05:38.000 --> 00:05:43.000]  《國歌》
[00:05:43.000 --> 00:05:48.000]  《國歌》
[00:05:49.000 --> 00:05:54.000]  《國歌》
[00:05:54.000 --> 00:05:59.000]  《國歌》
[00:05:59.000 --> 00:06:04.000]  《國歌》
[00:06:04.000 --> 00:06:09.000]  《國歌》
[00:06:09.000 --> 00:06:14.000]  《國歌》
[00:06:15.000 --> 00:06:18.000]  台下的弟兄姊妹要唱詩
[00:06:18.000 --> 00:06:21.000]  所以我們無論是台上的台下的
[00:06:21.000 --> 00:06:23.000]  我們都在一起
[00:06:23.000 --> 00:06:27.000]  再一次重新的把自己
[00:06:27.000 --> 00:06:29.000]  為了福音的事功
[00:06:29.000 --> 00:06:32.000]  獻在祭壇上
[00:06:32.000 --> 00:06:35.000]  我們要衷心的見證住
