
[00:00:00.000 --> 00:00:05.000]  天上的主,我們同心敬拜祢
[00:00:05.000 --> 00:00:08.000]  透過詩歌、透過禱告
[00:00:08.000 --> 00:00:10.000]  主,我們承認祢的聖名
[00:00:10.000 --> 00:00:14.000]  主,祢的名超乎萬名之上
[00:00:14.000 --> 00:00:18.000]  也因為祢的聖名,我們領受救恩
[00:00:18.000 --> 00:00:23.000]  今天我們在祢面前再次向祢獻上敬拜
[00:00:23.000 --> 00:00:28.000]  主,我們知道祢每時每刻與祢的子民同在
[00:00:28.000 --> 00:00:33.000]  主,祢有賜下祢寶貴的聖靈永遠與我們同在
[00:00:33.000 --> 00:00:37.000]  因此,主,我們得著力量,我們得著安慰
[00:00:37.000 --> 00:00:40.000]  我們可以放膽地跟隨祢
[00:00:40.000 --> 00:00:44.000]  今天,當我們再次打開聖經思想祢的話的時候
[00:00:44.000 --> 00:00:48.000]  主,求祢的聖靈再次在我們心中工作
[00:00:48.000 --> 00:00:51.000]  主,讓我們明白祢的道
[00:00:51.000 --> 00:00:56.000]  也領受耐心的力量,來行祢的道
[00:00:56.000 --> 00:00:58.000]  主,我們仰望祢自己
[00:00:58.000 --> 00:01:00.000]  當我們行祢的道的時候
[00:01:00.000 --> 00:01:02.000]  祢就賜下祢的恩惠
[00:01:02.000 --> 00:01:08.000]  因為祢自己應許行祢的道的人必然蒙福
[00:01:08.000 --> 00:01:12.000]  主,願祢施恩,帶領我們這一段時間
[00:01:12.000 --> 00:01:15.000]  奉耶穌的聖名祈禱,阿們
[00:01:15.000 --> 00:01:21.000]  大家會留意到我們在今個季度
[00:01:21.000 --> 00:01:24.000]  我們大家一起思想一個新的題目
[00:01:24.000 --> 00:01:28.000]  在這個題目裏面,有一句說話這樣說
[00:01:28.000 --> 00:01:34.000]  信心,為什麼不能產生行動?
[00:01:34.000 --> 00:01:36.000]  是一個問題
[00:01:36.000 --> 00:01:41.000]  這個季度我們都一起思想信仰和實踐
[00:01:41.000 --> 00:01:44.000]  亦都是我們常常會提及的事情
[00:01:44.000 --> 00:01:46.000]  就是信仰必須有所實踐
[00:01:46.000 --> 00:01:49.000]  但是我們都會想
[00:01:49.000 --> 00:01:52.000]  其實神給我們有新的生命
[00:01:52.000 --> 00:01:58.000]  是應該自然會流露出一種色切的行為
[00:01:58.000 --> 00:01:59.000]  這個是真實的
[00:01:59.000 --> 00:02:04.000]  但另一方面我們都體會到生活上有不少的阻礙
[00:02:04.000 --> 00:02:06.000]  阻礙了我們的生命
[00:02:06.000 --> 00:02:09.000]  不能夠可以活出信仰
[00:02:09.000 --> 00:02:13.000]  好像聖經所說,一棵樹要結果子
[00:02:13.000 --> 00:02:17.000]  有些時候可能是缺乏了一些水分
[00:02:17.000 --> 00:02:19.000]  不足夠的水分、營養
[00:02:19.000 --> 00:02:21.000]  以致不能夠結果子
[00:02:21.000 --> 00:02:25.000]  或者一棵樹被很多其他的植物擠壓住
[00:02:25.000 --> 00:02:29.000]  它沒有空間,得不到太陽光
[00:02:29.000 --> 00:02:31.000]  所以不能夠結果子
[00:02:31.000 --> 00:02:34.000]  很多的原因我們都要去問
[00:02:34.000 --> 00:02:38.000]  是什麼令到我的信仰、我的信心
[00:02:38.000 --> 00:02:40.000]  不能夠產生行動?
[00:02:40.000 --> 00:02:43.000]  那個阻礙是什麼?
[00:02:43.000 --> 00:02:46.000]  這段日子我都鼓勵頂尖師妹
[00:02:46.000 --> 00:02:49.000]  我們為這方面小心的祈禱
[00:02:49.000 --> 00:02:52.000]  求神給我們內心有一種決心
[00:02:52.000 --> 00:02:57.000]  我們真是願意刻意的、留意的去聽從神的話
[00:02:57.000 --> 00:02:59.000]  去突破那些障礙
[00:02:59.000 --> 00:03:03.000]  讓我們的人生可以真是結出果子
[00:03:03.000 --> 00:03:07.000]  亦都給我們內心有意識的
