
[00:00:00.000 --> 00:00:02.600]  大家知道今天是我們教會的特別日子
[00:00:02.600 --> 00:00:05.240]  是我們多少週年的堂慶?
[00:00:05.240 --> 00:00:08.000]  五十六週年
[00:00:08.000 --> 00:00:10.000]  即是說是幾年開始的?
[00:00:10.000 --> 00:00:12.000]  19...
[00:00:12.000 --> 00:00:13.480]  馬上計算一下
[00:00:13.480 --> 00:00:17.480]  1952年北角宣道會開始
[00:00:17.480 --> 00:00:18.880]  我們很感謝神在這個時刻
[00:00:18.880 --> 00:00:22.280]  讓我們一起慶祝我們教會的週年堂慶
[00:00:22.280 --> 00:00:23.880]  我這次會先講到
[00:00:23.880 --> 00:00:26.040]  然後接著又盛餐
[00:00:26.040 --> 00:00:29.360]  我剛剛前幾天在家裡看了錄影帶
[00:00:29.360 --> 00:00:31.960]  就是待會大家散會之後會收到的
[00:00:31.960 --> 00:00:35.560]  就是五十五週年堂慶的錄影帶
[00:00:35.560 --> 00:00:36.920]  當中有很多的片段
[00:00:36.920 --> 00:00:37.960]  是當時的聚餐
[00:00:37.960 --> 00:00:40.000]  當時的大聚會等等
[00:00:40.000 --> 00:00:42.440]  我看到很多一群一群的弟兄姊妹
[00:00:42.440 --> 00:00:44.320]  看到他們很開心
[00:00:44.320 --> 00:00:47.920]  一起慶祝教會的週年堂慶
[00:00:47.920 --> 00:00:49.560]  在當時當我們一家人看的時候
[00:00:49.560 --> 00:00:50.680]  突然間我女兒就要求
[00:00:50.680 --> 00:00:52.200]  「停住先」
[00:00:52.200 --> 00:00:53.840]  就定鏡
[00:00:53.840 --> 00:00:56.520]  「這個認識的 這個認識的 這個也認識的」
[00:00:56.520 --> 00:00:59.280]  還發覺自己在裡面
[00:00:59.280 --> 00:01:00.240]  在當中一起看的時候
[00:01:00.240 --> 00:01:03.080]  很感受到是自己的家人
[00:01:03.080 --> 00:01:05.400]  因為都是我們的弟兄姊妹
[00:01:05.400 --> 00:01:07.880]  自己都是其中的一份子
[00:01:07.880 --> 00:01:09.440]  所以各位弟兄姊妹
[00:01:09.440 --> 00:01:10.840]  你在博川家裡面
[00:01:10.840 --> 00:01:13.800]  你記住你是其中一份子
[00:01:13.800 --> 00:01:16.600]  而你身邊的都是你的家人
[00:01:16.600 --> 00:01:18.600]  是你的弟兄姊妹
[00:01:18.600 --> 00:01:20.480]  所以我很想大家在開始的時候
[00:01:20.480 --> 00:01:23.640]  你先和你的家人打個招呼好不好?
[00:01:23.640 --> 00:01:25.040]  和他打個招呼
[00:01:25.040 --> 00:01:34.320]  (笑聲)
[00:01:34.320 --> 00:01:36.040]  我們感謝神
[00:01:36.040 --> 00:01:37.280]  剛才的弟兄姊妹
[00:01:37.280 --> 00:01:41.200]  當他們出來的時候
[00:01:41.200 --> 00:01:42.520]  你看到他們都知道
[00:01:42.520 --> 00:01:44.880]  他們是新受浸新過會
[00:01:44.880 --> 00:01:48.880]  而將來他們都會成為你的朋友
[00:01:48.880 --> 00:01:50.640]  或者你現在還沒有認識他
[00:01:50.640 --> 00:01:52.680]  甚至將來你會見到某一個人
[00:01:52.680 --> 00:01:56.120]  在某一方面曾經對你很大的祝福和幫助
[00:01:56.120 --> 00:01:58.000]  神將很多新生命
[00:01:58.000 --> 00:01:59.080]  賜入他的教會
[00:01:59.080 --> 00:02:01.120]  而我們都在當中蒙福
[00:02:01.120 --> 00:02:03.120]  這個時候我想大家先看一段經文
[00:02:03.120 --> 00:02:04.360]  我們簡單看一看
[00:02:04.360 --> 00:02:13.720]  聖經格林多前書第十二章的經文
[00:02:13.720 --> 00:02:15.280]  我們這次思想的題目就是
[00:02:15.280 --> 00:02:18.080]  教會是基督的身體
[00:02:18.080 --> 00:02:20.000]  這句話似乎很簡單
[00:02:20.000 --> 00:02:22.600]  但裡面有很豐富的含義
[00:02:22.600 --> 00:02:26.720]  教會是基督的身體
[00:02:26.720 --> 00:02:28.480]  如果你自己有自己的身體
[00:02:28.480 --> 00:02:30.720]  你怎樣去待你的身體呢?
[00:02:30.720 --> 00:02:33.080]  你一定會很重視你的身體
[00:02:33.080 --> 00:02:34.920]  很留心去保護它
[00:02:34.920 --> 00:02:36.640]  去愛惜它
[00:02:36.640 --> 00:02:37.240]  同樣的
[00:02:37.240 --> 00:02:38.520]  我們的主耶穌
[00:02:38.520 --> 00:02:41.600]  祂會很愛惜祂的身體
[00:02:41.600 --> 00:02:42.880]  很尊貴
[00:02:42.880 --> 00:02:45.880]  很重視祂的身體
[00:02:45.880 --> 00:02:46.640]  所以你和我
[00:02:46.640 --> 00:02:48.520]  如果我們有主的心腸
[00:02:48.520 --> 00:02:50.440]  就會明白我們不可以
[00:02:50.440 --> 00:02:54.480]  也不容許自己傷害基督的身體
[00:02:54.480 --> 00:02:56.080]  就是教會
[00:02:56.080 --> 00:02:57.200]  只是大家同心的
[00:02:57.200 --> 00:03:00.960]  來悉心地培育這個身體
