
[00:00:00.000 --> 00:00:03.720]  剛才大家所看的這段經文
[00:00:03.720 --> 00:00:08.400]  和上一段經文發生記載一件事
[00:00:08.400 --> 00:00:11.840]  就是以色列人在一個地方
[00:00:11.840 --> 00:00:14.320]  因為沒有水喝,向摩西發怨言
[00:00:14.320 --> 00:00:16.440]  那件事發生在利菲定的地方
[00:00:16.440 --> 00:00:18.000]  而這件事呢
[00:00:18.000 --> 00:00:21.280]  以色列人和亞馬利人去打仗
[00:00:21.280 --> 00:00:24.280]  其實都是發生在利菲定這個地方
[00:00:24.280 --> 00:00:28.440]  可以說這件事都相當重要
[00:00:28.440 --> 00:00:32.440]  他們進入到西乃山的過程中
[00:00:32.440 --> 00:00:33.680]  在抗夜中
[00:00:33.680 --> 00:00:36.240]  這一件抗夜的旅程
[00:00:36.240 --> 00:00:37.760]  這件事的發生
[00:00:37.760 --> 00:00:42.560]  就是帶出了上帝在征戰中
[00:00:42.560 --> 00:00:45.160]  如何保護一班以色列人
[00:00:45.160 --> 00:00:48.240]  在這段文字中非常精簡
[00:00:48.240 --> 00:00:52.520]  他沒有說出為何會打這場仗的原因
[00:00:52.520 --> 00:00:57.720]  也沒有詳細描述打仗的情況
[00:00:57.720 --> 00:00:59.520]  但很強調一件事
[00:00:59.520 --> 00:01:02.440]  這場仗為何會贏呢
[00:01:02.440 --> 00:01:05.440]  就是因為摩西在山上舉手
[00:01:05.440 --> 00:01:09.680]  在山下以色列人就會贏
[00:01:09.680 --> 00:01:12.880]  他放下手,以色列人就會輸
[00:01:12.880 --> 00:01:16.680]  很強調這場仗的勝負
[00:01:16.680 --> 00:01:19.920]  在於摩西有沒有舉手
[00:01:19.920 --> 00:01:23.240]  這段經文中,簡單來說可以分為兩部分
[00:01:23.240 --> 00:01:25.400]  第8至13節是說出
[00:01:25.400 --> 00:01:28.800]  整個打仗的經過是怎樣
[00:01:28.800 --> 00:01:31.280]  第14至16節是說到
[00:01:31.280 --> 00:01:39.600]  如何解釋一個真戰能夠學到的功課
[00:01:39.600 --> 00:01:43.200]  第8至16節,並不是很多經文
