
[00:00:00.000 --> 00:00:02.380]  如果能夠請你打開聖經
[00:00:02.380 --> 00:00:05.960]  因為今天我不是只說剛才讀的幾節聖經
[00:00:05.960 --> 00:00:11.880]  我們主要會說歷代之下29、30兩章的聖經
[00:00:11.880 --> 00:00:15.060]  所以講到的時候比較容易看
[00:00:15.060 --> 00:00:18.980]  我們一起去翻開聖經 歷代之下
[00:00:18.980 --> 00:00:20.900]  我們看回這個《西西家王》
[00:00:20.900 --> 00:00:23.000]  因為關於《西西家王》的記載
[00:00:23.000 --> 00:00:24.400]  都相當多聖經
[00:00:24.400 --> 00:00:27.280]  今天我只能夠很快的跳出來跟大家說
[00:00:27.280 --> 00:00:30.120]  有機會回去可以自己去看
[00:00:30.120 --> 00:00:31.700]  也是很值得的
[00:00:31.700 --> 00:00:33.000]  為什麼說起《西西家》
[00:00:33.000 --> 00:00:35.460]  因為我自己心裡和大家一樣
[00:00:35.460 --> 00:00:38.380]  在過去這兩個星期很不快樂
[00:00:38.380 --> 00:00:40.500]  我看到香港所發生的事情
[00:00:40.500 --> 00:00:43.040]  或者我們看到2016年
[00:00:43.040 --> 00:00:44.760]  我們一直看下去發覺
[00:00:44.760 --> 00:00:48.100]  都不會再有很多可能還有越來越多
[00:00:48.100 --> 00:00:51.760]  令我們心裡很不開心的事情
[00:00:51.760 --> 00:00:54.720]  甚至我們茶與飯跟別人聊天
[00:00:54.720 --> 00:00:57.060]  在辦公室 我們在家裡
[00:00:57.060 --> 00:00:59.180]  很多時候我們一打開電視機
[00:00:59.180 --> 00:01:00.640]  或者是我們
[00:01:00.640 --> 00:01:02.140]  總之我們都在那裡
[00:01:02.140 --> 00:01:03.680]  甚至有時候我們在那裡辯論
[00:01:03.680 --> 00:01:05.100]  誰對誰不對
[00:01:05.100 --> 00:01:06.600]  為什麼香港會搞成這樣
[00:01:06.600 --> 00:01:07.940]  究竟是誰不好
[00:01:07.940 --> 00:01:08.780]  是不是
[00:01:08.780 --> 00:01:10.280]  那些人又不好 我們又不好
[00:01:10.280 --> 00:01:12.020]  那些人又不好 每個人都不好
[00:01:12.020 --> 00:01:14.660]  於是大家都是很不快樂
[00:01:14.660 --> 00:01:15.580]  我一直都在想
[00:01:15.580 --> 00:01:18.240]  究竟我們在聖經裡面有什麼信息
[00:01:18.240 --> 00:01:21.120]  在這裡我想今天跟大家分享一點
[00:01:21.120 --> 00:01:22.580]  心裡的說話
[00:01:22.580 --> 00:01:24.960]  就不是幫大家決定
[00:01:24.960 --> 00:01:26.960]  究竟拿個磚頭打他
[00:01:26.960 --> 00:01:28.920]  是對的還是不對
[00:01:28.920 --> 00:01:30.120]  是誰不好
[00:01:30.120 --> 00:01:31.300]  我不是說這些
[00:01:31.300 --> 00:01:33.960]  我想跟大家看回聖經的人物
[00:01:33.960 --> 00:01:36.380]  他同樣面對很困難的時間
[00:01:36.380 --> 00:01:38.380]  這個叫做希西加
[00:01:38.380 --> 00:01:40.380]  希西加是猶大的
[00:01:40.380 --> 00:01:42.600]  你知道王國的時代
[00:01:42.600 --> 00:01:44.640]  北國南國分裂的時候
[00:01:44.640 --> 00:01:46.440]  南國猶大的一個王
[00:01:46.440 --> 00:01:47.940]  希西加王
[00:01:47.940 --> 00:01:51.820]  他是一個在聖經裡面評價相當高
[00:01:51.820 --> 00:01:54.020]  可能是最高的一個皇帝
[00:01:54.020 --> 00:01:56.760]  我就從引出來的一段聖經
[00:01:56.760 --> 00:01:58.260]  在《列王記》下
[00:01:58.260 --> 00:02:00.260]  同樣是會講到他
[00:02:00.260 --> 00:02:03.800]  《列王記》下有一個很簡短的描述
[00:02:03.800 --> 00:02:05.060]  關於希西加
[00:02:05.060 --> 00:02:07.220]  他說希西加王登基的時候
[00:02:07.220 --> 00:02:08.360]  就是做皇帝的時候
[00:02:08.360 --> 00:02:10.020]  25歲的年輕人
[00:02:10.020 --> 00:02:12.900]  然後他做耶路撒冷的王29年
[00:02:12.900 --> 00:02:16.240]  然後他的總結
[00:02:16.240 --> 00:02:19.240]  神對他的總結的評價裡面
[00:02:19.240 --> 00:02:20.080]  第一
[00:02:20.080 --> 00:02:23.820]  他行耶和華眼中看為正的事
[00:02:23.820 --> 00:02:24.820]  他做的事
[00:02:24.820 --> 00:02:29.320]  他行的是神眼中看為正確的好事
[00:02:29.320 --> 00:02:30.120]  然後第二
[00:02:30.120 --> 00:02:31.320]  他的態度
[00:02:31.320 --> 00:02:34.020]  他是倚靠耶和華以色列的神
[00:02:34.020 --> 00:02:35.700]  他的態度是倚靠神
[00:02:35.700 --> 00:02:38.500]  他行的是耶和華眼中看為正確的事
[00:02:38.500 --> 00:02:42.500]  這個可以說是總結他一生兩個最大的特色
[00:02:42.500 --> 00:02:44.900]  然後給他一個終結的評語
[00:02:44.900 --> 00:02:46.200]  這個評語就厲害了
[00:02:46.200 --> 00:02:50.400]  他說在他以前或以後的猶大列王中
[00:02:50.400 --> 00:02:52.700]  沒有像他的
[00:02:52.700 --> 00:02:56.100]  這個可以說是一個最高的評價
[00:02:56.100 --> 00:02:58.500]  為什麼希西加有這麼高的評價
[00:02:58.500 --> 00:03:01.500]  今天我們研究一下他的性格
[00:03:01.500 --> 00:03:04.500]  他的勇氣和屬靈的秘訣在哪裡
[00:03:04.500 --> 00:03:05.700]  為什麼要研究他
[00:03:05.700 --> 00:03:07.500]  因為我跟大家說
[00:03:07.500 --> 00:03:13.100]  我自己看見希西加同樣是一個很困難的環境當中
[00:03:13.100 --> 00:03:17.900]  如果希西加要推搪的話
[00:03:17.900 --> 00:03:20.700]  他的環境可能比我們更加困難
[00:03:20.700 --> 00:03:23.300]  我們今天是很不快樂
[00:03:23.300 --> 00:03:26.500]  很不快樂令我們基督徒
[00:03:26.500 --> 00:03:31.900]  甚至變得對神、對教會、對我們自己的生活
[00:03:31.900 --> 00:03:33.700]  有很多怨言
[00:03:33.700 --> 00:03:35.100]  也是很不快樂
[00:03:35.100 --> 00:03:38.700]  我覺得這個是不正常的
[00:03:38.700 --> 00:03:40.500]  甚至我們互相的指罵
[00:03:40.500 --> 00:03:43.300]  今天我越來越看見過去這一年多
[00:03:43.300 --> 00:03:45.300]  在我們基督教的刊物裡面
[00:03:45.300 --> 00:03:48.900]  很多的文章是很尖酸刻薄
[00:03:48.900 --> 00:03:52.700]  尤其是對教會也是毫不滿
[00:03:52.700 --> 00:03:54.100]  教會又不說
[00:03:54.100 --> 00:03:58.700]  對這些事是沒有立場的
[00:03:58.700 --> 00:04:00.100]  沒有說法的
[00:04:00.100 --> 00:04:01.300]  老實說
[00:04:01.300 --> 00:04:04.500]  如果教會說了你聽嗎
[00:04:04.500 --> 00:04:06.900]  不是說中你想要的那件事
[00:04:06.900 --> 00:04:09.500]  那個立場你肯聽嗎
[00:04:09.500 --> 00:04:11.500]  你也不聽而已
[00:04:11.500 --> 00:04:14.900]  你想教會說你喜歡聽的那個立場
[00:04:14.900 --> 00:04:17.300]  然後給予你支持而已
[00:04:17.300 --> 00:04:19.700]  今天我說的東西很坦白
[00:04:19.700 --> 00:04:21.100]  我知道有人不會喜歡我
[00:04:21.100 --> 00:04:22.300]  但我不要緊
[00:04:22.300 --> 00:04:24.900]  我在神面前想和大家先看希西加
[00:04:24.900 --> 00:04:27.500]  希西加走的路是怎樣
[00:04:27.500 --> 00:04:28.300]  是一個困難
[00:04:28.300 --> 00:04:30.300]  說了這麼久有什麼困難呢
[00:04:30.300 --> 00:04:31.900]  我總結了兩件事
[00:04:31.900 --> 00:04:33.100]  今天時間不多
[00:04:33.100 --> 00:04:34.500]  我簡略的和大家說
