
[00:00:00.000 --> 00:00:02.440]  宣導家在這幾年裏面
[00:00:02.440 --> 00:00:04.200]  我們在年初的時候
[00:00:04.200 --> 00:00:06.400]  我們都有40天的時間
[00:00:06.400 --> 00:00:08.800]  去思考一些主題
[00:00:08.800 --> 00:00:10.960]  一些很重要的信仰主題
[00:00:10.960 --> 00:00:13.000]  在過去幾年我們都用宣導會
[00:00:13.000 --> 00:00:15.080]  四重福音的內容
[00:00:15.080 --> 00:00:18.440]  作為我們每一年的主題和方向
[00:00:18.440 --> 00:00:22.280]  我們有說過耶穌是拯救的主
[00:00:22.280 --> 00:00:24.200]  耶穌是誠信的主
[00:00:24.200 --> 00:00:26.080]  耶穌是醫治的主
[00:00:26.080 --> 00:00:28.880]  在去年我們都因為疫情的緣故而暫停
[00:00:28.880 --> 00:00:32.080]  我們都會延後到未來一年
[00:00:32.080 --> 00:00:33.480]  才會開始這個主題
[00:00:33.480 --> 00:00:36.200]  今年我們會說宣導會的四重福音
[00:00:36.200 --> 00:00:37.800]  第四重福音
[00:00:37.800 --> 00:00:39.760]  耶穌是再來的主
[00:00:39.760 --> 00:00:41.600]  或者耶穌是再來的禍
[00:00:41.600 --> 00:00:43.560]  這個方向上去思考
[00:00:43.560 --> 00:00:44.560]  或者這樣說
[00:00:44.560 --> 00:00:47.760]  整個宣導會的信仰
[00:00:47.760 --> 00:00:49.160]  或者開始
[00:00:49.160 --> 00:00:54.480]  都是從等待主再來的信仰基礎上
[00:00:54.480 --> 00:00:56.600]  去開展很多方面的工作
[00:00:56.600 --> 00:00:58.280]  和宣教的工作
[00:00:58.280 --> 00:01:01.040]  所以可以說主再來的信息
[00:01:01.040 --> 00:01:02.280]  在宣導會來說
[00:01:02.280 --> 00:01:06.440]  在信仰上都相當重要的一個環節
[00:01:06.440 --> 00:01:10.040]  所以今年我們都會用六次的講道
[00:01:10.040 --> 00:01:11.560]  六次的查經
[00:01:11.560 --> 00:01:14.040]  和用宣導會
[00:01:14.040 --> 00:01:17.320]  區聯會的靈修材料
[00:01:17.320 --> 00:01:18.760]  在這四十天裡面
[00:01:18.760 --> 00:01:21.600]  我們再認真地去思考
[00:01:21.600 --> 00:01:23.640]  究竟主再來的信仰
[00:01:23.640 --> 00:01:26.040]  對我們今天一代
[00:01:26.040 --> 00:01:29.360]  或者這一刻我們的生命有什麼意義呢?
[00:01:29.360 --> 00:01:32.320]  從這個方向去激勵我們
[00:01:32.320 --> 00:01:36.120]  無論這個社會變成怎樣也好
[00:01:36.120 --> 00:01:37.640]  多麼差也好
[00:01:37.640 --> 00:01:38.840]  但是我們的焦點
[00:01:38.840 --> 00:01:40.880]  不在現實的社會上
[00:01:40.880 --> 00:01:44.600]  而是怎樣專心去跟從耶穌
[00:01:44.600 --> 00:01:46.600]  等待去見耶穌的面
[00:01:46.600 --> 00:01:48.680]  活在我們今天
[00:01:48.680 --> 00:01:51.280]  在《馬太福音》二十四、二十五章
[00:01:51.280 --> 00:01:52.680]  正正是耶穌
[00:01:52.680 --> 00:01:56.600]  在祂將要被釘十字架之前
[00:01:56.600 --> 00:02:00.280]  向門徒所說的一番話
[00:02:00.280 --> 00:02:02.600]  而正正是耶穌祂自己說
[00:02:02.600 --> 00:02:05.480]  當祂受死
[00:02:05.480 --> 00:02:08.160]  被埋葬之後
[00:02:08.160 --> 00:02:10.760]  祂離開地上
[00:02:10.760 --> 00:02:14.240]  祂再來的這一段時間
[00:02:14.240 --> 00:02:16.040]  究竟會有什麼事情發生
[00:02:16.040 --> 00:02:19.600]  或者要怎樣去鼓勵一班門徒
[00:02:19.600 --> 00:02:21.880]  他們怎樣在這個過程當中
[00:02:21.880 --> 00:02:24.840]  很衷心地去跟從耶穌
[00:02:24.840 --> 00:02:31.200]  當耶穌在二十四章的第一至十四節
[00:02:31.200 --> 00:02:32.880]  這一段裡面
[00:02:32.880 --> 00:02:34.000]  正正是說出了
[00:02:34.000 --> 00:02:36.400]  究竟祂再來之前
[00:02:36.400 --> 00:02:38.600]  在祂復活升天
[00:02:38.600 --> 00:02:41.200]  到祂再來這一段期間
[00:02:41.200 --> 00:02:43.400]  會有什麼事情發生呢?
[00:02:43.400 --> 00:02:45.760]  在二十四章的第一、第二節說
[00:02:45.760 --> 00:02:48.080]  耶穌出了聖殿正走的時候
[00:02:48.080 --> 00:02:52.400]  門徒進前來把電雨指給他人
[00:02:52.400 --> 00:02:53.720]  耶穌對他們說
[00:02:53.720 --> 00:02:55.920]  「你們不是看見這電雨嗎?
[00:02:55.920 --> 00:02:57.200]  我實在告訴你們
[00:02:57.200 --> 00:03:02.320]  將來在這裡會有一塊石頭留在石頭上
[00:03:02.320 --> 00:03:05.720]  不被拆毀了」
[00:03:05.720 --> 00:03:06.960]  在這裡
[00:03:06.960 --> 00:03:09.080]  耶穌和一班門徒
[00:03:09.080 --> 00:03:11.560]  在一個橄欖山上
[00:03:11.560 --> 00:03:13.520]  去見到一個聖殿
[00:03:13.520 --> 00:03:17.400]  正正看著一個聖殿的情況
[00:03:17.400 --> 00:03:20.000]  在《馬可》和《路加夫音》裡面
[00:03:20.000 --> 00:03:23.800]  去形容這個聖殿是很美麗
[00:03:23.800 --> 00:03:25.920]  相當華麗
[00:03:25.920 --> 00:03:30.840]  基礎建基於一些巨大的石頭上
[00:03:30.840 --> 00:03:32.840]  當時一班門徒的焦點
[00:03:32.840 --> 00:03:34.120]  就是這個聖殿
[00:03:34.120 --> 00:03:36.800]  多麼美麗、多麼宏偉的上面
[00:03:36.800 --> 00:03:38.800]  但是就在這個時刻
[00:03:38.800 --> 00:03:40.240]  耶穌就去說
[00:03:40.240 --> 00:03:44.120]  這個電雨將要被毀
[00:03:44.120 --> 00:03:46.880]  耶穌去指出一個很重要的方向
[00:03:46.880 --> 00:03:48.000]  在當時人來說
[00:03:48.000 --> 00:03:49.760]  人如何去敬拜上帝呢?
[00:03:49.760 --> 00:03:52.080]  或者人與上帝建立的關係在哪裡呢?
[00:03:52.080 --> 00:03:53.240]  就在聖殿那裡
[00:03:53.240 --> 00:03:55.760]  人去到聖殿那裡去敬拜上帝
[00:03:55.760 --> 00:04:00.040]  人去到聖殿那裡才與上帝有一個更緊密的關係
[00:04:00.040 --> 00:04:02.160]  耶穌在這裡帶出了
[00:04:02.160 --> 00:04:07.360]  其實人能夠真正去跟從上帝
[00:04:07.360 --> 00:04:10.120]  能夠與上帝建立關係的焦點
[00:04:10.120 --> 00:04:11.400]  不是在聖殿
[00:04:11.400 --> 00:04:13.880]  而是在他自己的身上
