
[00:00:00.000 --> 00:00:05.640]  各位,我是張詠迅
[00:00:05.640 --> 00:00:08.200]  我去恩福教神學
[00:00:08.200 --> 00:00:10.880]  這個見道教了有十年
[00:00:10.880 --> 00:00:13.120]  當然你說影響我人生最大的書
[00:00:13.120 --> 00:00:14.320]  當然是聖經
[00:00:14.320 --> 00:00:15.160]  這個不在話下
[00:00:15.160 --> 00:00:18.160]  耶穌基督是我的所有
[00:00:18.160 --> 00:00:20.920]  不過如果你問我有一本書
[00:00:20.920 --> 00:00:21.760]  除了聖經之外
[00:00:21.760 --> 00:00:23.680]  影響我的人生很大的
[00:00:23.680 --> 00:00:25.120]  我就介紹這一本
[00:00:25.120 --> 00:00:29.680]  Stok所寫的《The Rise of Christianity》
[00:00:29.680 --> 00:00:32.400]  這本書之所以對我影響大的原因
[00:00:32.400 --> 00:00:35.120]  是因為大家都知道
[00:00:35.120 --> 00:00:36.760]  在主後四世紀
[00:00:36.760 --> 00:00:39.680]  整個羅馬帝國被基督教征服
[00:00:39.680 --> 00:00:42.240]  威斯坦丁已經都教為國教
[00:00:42.240 --> 00:00:44.520]  但中間那幾百年時間
[00:00:44.520 --> 00:00:46.520]  其實對於我來說是一無所知
[00:00:46.520 --> 00:00:47.840]  不知道發生什麼事
[00:00:47.840 --> 00:00:49.280]  為什麼會這樣
[00:00:49.280 --> 00:00:50.520]  然後我才發現
[00:00:50.520 --> 00:00:53.240]  原來中間發生了很多事情
[00:00:53.240 --> 00:00:54.680]  其中一個最大的事情
[00:00:54.680 --> 00:00:59.000]  就是有兩個橫掃羅馬帝國的疫情
[00:00:59.000 --> 00:01:00.800]  有些像新冠疫情
[00:01:00.800 --> 00:01:01.840]  但在古代來說
[00:01:01.840 --> 00:01:05.280]  你知道疫情發生很大劑
[00:01:05.280 --> 00:01:06.360]  據研究
[00:01:06.360 --> 00:01:09.800]  165年有個天花
[00:01:09.800 --> 00:01:12.000]  251年有個麻疹
[00:01:12.000 --> 00:01:13.640]  當時整個羅馬帝國
[00:01:13.640 --> 00:01:15.040]  很多人死亡
[00:01:15.040 --> 00:01:17.800]  死亡人數多到
[00:01:17.800 --> 00:01:20.160]  整條街都堆滿屍體
[00:01:20.160 --> 00:01:21.480]  大家知道你傳染病
[00:01:21.480 --> 00:01:22.840]  你當然不敢碰屍體
[00:01:22.840 --> 00:01:25.400]  所以當時基督徒很有愛心
[00:01:25.400 --> 00:01:29.040]  甚至走去幫那些人埋葬屍體
[00:01:29.040 --> 00:01:32.040]  所以令到周邊的異教徒很感動
[00:01:32.040 --> 00:01:33.680]  為什麼基督徒會這麼好
[00:01:33.680 --> 00:01:36.680]  引用當時的一些教父
[00:01:36.680 --> 00:01:39.480]  他們怎樣形容當時疫情的情況
[00:01:39.480 --> 00:01:42.640]  這本書提及到
[00:01:42.640 --> 00:01:45.600]  有一個教父叫迪奧尼修
