
[00:00:00.000 --> 00:00:03.120]  那就…隱然就是這樣的
[00:00:03.120 --> 00:00:07.120]  前兩天我收到一個電郵
[00:00:07.120 --> 00:00:09.120]  太開心了
[00:00:09.120 --> 00:00:11.120]  經過了好幾年
[00:00:11.120 --> 00:00:15.360]  去抽東京馬拉松都抽不到的時候
[00:00:15.360 --> 00:00:17.680]  這次抽到了!耶!
[00:00:17.680 --> 00:00:19.200]  唉,真是的
[00:00:19.200 --> 00:00:22.800]  一定是神工作,因為我填了一些資料
[00:00:22.800 --> 00:00:26.320]  每一次都抽不到,每一次都有點失望,但這次抽到了
[00:00:26.320 --> 00:00:29.680]  不過說到去旅行
[00:00:29.680 --> 00:00:32.000]  大家都有這樣的經歷,對吧?
[00:00:32.000 --> 00:00:34.000]  我們會執行你的
[00:00:34.000 --> 00:00:37.040]  不知道大家會不會像他那樣
[00:00:37.040 --> 00:00:40.640]  不會吧你們,你們不會的
[00:00:40.640 --> 00:00:44.880]  因為我們去旅行,通常帶什麼最重要的東西都可以
[00:00:44.880 --> 00:00:50.240]  除了護照、信用卡、錢之外
[00:00:50.240 --> 00:00:54.320]  其他…帶衣服、褲子,足夠就足夠了
[00:00:54.320 --> 00:00:57.120]  你不用帶整個家去旅行,你不需要
[00:00:57.120 --> 00:01:02.080]  為什麼呢?因為這個旅程只不過是一個星期,兩個星期
[00:01:02.080 --> 00:01:04.080]  我們最終要回家的
[00:01:04.080 --> 00:01:06.080]  明白嗎?我的兄弟姐妹
[00:01:06.080 --> 00:01:09.280]  今天這段經文同樣是這樣
[00:01:09.280 --> 00:01:11.520]  在我們人生很短的旅程當中
[00:01:11.520 --> 00:01:16.480]  我們不用做很多事情,做一些最重要的事情
[00:01:16.480 --> 00:01:19.280]  因為我們知道我們會回到天家
[00:01:19.280 --> 00:01:23.200]  那什麼是最重要的事情呢?今天這段經文就說了
[00:01:23.200 --> 00:01:26.880]  所以這段經文其實如果你能夠明白到之後
[00:01:26.880 --> 00:01:28.880]  改變你的生命
[00:01:28.880 --> 00:01:30.880]  你怎樣用你的時間
[00:01:30.880 --> 00:01:32.880]  用你的金錢
[00:01:32.880 --> 00:01:36.480]  你人生追求的方向,完全的反覆顛倒
[00:01:36.480 --> 00:01:38.400]  還有有好另類的
[00:01:38.400 --> 00:01:41.600]  屬靈的視野,怎樣看自己和人生,好嗎?
[00:01:41.600 --> 00:01:45.200]  都求主幫助我們去明白今天的經文
[00:01:45.200 --> 00:01:47.600]  經文就是…
[00:01:47.600 --> 00:01:52.640]  一開始的時候,他們離開了白菜大,第22節
[00:01:52.640 --> 00:01:55.840]  門徒和耶穌就到了
[00:01:55.840 --> 00:02:01.120]  該撒尼亞肥納比,就是在加勒比海以北的40公里這個地方
[00:02:01.120 --> 00:02:05.440]  一個羅馬帝國管治的省份
[00:02:05.440 --> 00:02:08.640]  那時候是在敬拜巴力的
[00:02:08.640 --> 00:02:10.640]  現在被羅馬政府統治
[00:02:10.640 --> 00:02:15.440]  也是分封王,肥力的一個管治的地方
[00:02:15.440 --> 00:02:18.240]  就在這裡,正在走去的時候
[00:02:18.240 --> 00:02:21.440]  耶穌就問門徒兩條問題
[00:02:21.440 --> 00:02:23.440]  第一,那些人說我是誰
[00:02:23.440 --> 00:02:27.440]  那耶穌就聽門徒的答案
[00:02:27.440 --> 00:02:31.440]  門徒說,有些人說你是施洗約翰,伊利亞,先知
[00:02:31.440 --> 00:02:33.440]  那耶穌就問他們
[00:02:33.440 --> 00:02:37.440]  那你們12個門徒覺得我是誰?
[00:02:37.440 --> 00:02:43.440]  那作為12個門徒的代言人
[00:02:43.440 --> 00:02:45.440]  經常都出來說話的,彼得
[00:02:45.440 --> 00:02:47.440]  你是基督
[00:02:47.440 --> 00:02:49.440]  你是基督
[00:02:49.440 --> 00:02:51.440]  30節
[00:02:51.440 --> 00:02:55.440]  耶穌就吩咐他們不要將他的身份揭露
[00:02:55.440 --> 00:02:57.440]  為什麼呢?
[00:02:57.440 --> 00:02:59.440]  兩個可能性
[00:02:59.440 --> 00:03:01.440]  一個可能性是因為現在
[00:03:01.440 --> 00:03:03.440]  是一個羅馬管治的地方
[00:03:03.440 --> 00:03:05.440]  而門徒認得出
[00:03:05.440 --> 00:03:07.440]  耶穌是基督
[00:03:07.440 --> 00:03:11.440]  是舊約所預言的尼賽亞君王
[00:03:11.440 --> 00:03:17.440]  那現在要大肆宣揚耶穌是君王
[00:03:17.440 --> 00:03:19.440]  那就是本國罪
[00:03:19.440 --> 00:03:23.440]  那就會引來一些不必要的麻煩
[00:03:23.440 --> 00:03:25.440]  不過更加重要的是
[00:03:25.440 --> 00:03:27.440]  從約翰福音的經文
[00:03:27.440 --> 00:03:29.440]  多處的,譬如說在
[00:03:29.440 --> 00:03:33.440]  2章第4節,7章第6節,第8節和30節
[00:03:33.440 --> 00:03:35.440]  耶穌多次說
[00:03:35.440 --> 00:03:37.440]  我的時間
[00:03:37.440 --> 00:03:39.440]  我的時間還沒有到
[00:03:39.440 --> 00:03:41.440]  所以他要將他的隱藏
[00:03:41.440 --> 00:03:45.440]  他將基督的身份隱藏
[00:03:45.440 --> 00:03:47.440]  我的時間還沒有到是什麼時間呢?
[00:03:47.440 --> 00:03:51.440]  就是被釘於十字架的時間
[00:03:51.440 --> 00:03:53.440]  被釘於十字架的時間還沒有到
[00:03:53.440 --> 00:03:57.440]  所以耶穌叫門徒低調地去
[00:03:57.440 --> 00:04:01.440]  知道就行了,但是不要全揚開他
[00:04:01.440 --> 00:04:05.440]  耶穌叫門徒問他一些問題
[00:04:05.440 --> 00:04:09.440]  讓門徒認出他的身份
[00:04:09.440 --> 00:04:13.440]  身份帶來的行動和使命
[00:04:13.440 --> 00:04:15.440]  耶穌的使命是什麼呢?
[00:04:15.440 --> 00:04:17.440]  第31節,他就說
[00:04:17.440 --> 00:04:19.440]  人子必須受許多的苦
[00:04:19.440 --> 00:04:21.440]  被長老、祭司、長和、文士棄絕
[00:04:21.440 --> 00:04:23.440]  並且被殺
[00:04:23.440 --> 00:04:25.440]  第三天復活
[00:04:25.440 --> 00:04:27.440]  每個人要三天復活
[00:04:27.440 --> 00:04:31.440]  這一段在馬可福音出現了三次
[00:04:31.440 --> 00:04:33.440]  這是第一次,然後9章31節
[00:04:33.440 --> 00:04:37.440]  還有10章33、34節
[00:04:37.440 --> 00:04:39.440]  門徒認得出
[00:04:39.440 --> 00:04:43.440]  耶穌是基督,是尼塞亞君王
[00:04:43.440 --> 00:04:45.440]  不過這個君王是什麼呢?
[00:04:45.440 --> 00:04:47.440]  是人子
[00:04:47.440 --> 00:04:49.440]  道成肉身
[00:04:49.440 --> 00:04:55.440]  是人子,並且這個君王是一個受苦的君王
[00:04:55.440 --> 00:04:57.440]  受苦的基督
[00:04:57.440 --> 00:04:59.440]  會被殺
[00:04:59.440 --> 00:05:01.440]  會受死,埋葬
[00:05:01.440 --> 00:05:05.440]  但是這個受苦的君王卻是第三天復活
[00:05:05.440 --> 00:05:07.440]  第三天復活
[00:05:07.440 --> 00:05:09.440]  也就是說
[00:05:09.440 --> 00:05:11.440]  耶穌在說什麼呢?
[00:05:11.440 --> 00:05:13.440]  在說福音
[00:05:13.440 --> 00:05:15.440]  耶穌來到地上
[00:05:15.440 --> 00:05:17.440]  就說
[00:05:17.440 --> 00:05:21.440]  天國近了,你們應當悔改順福音
[00:05:21.440 --> 00:05:23.440]  在臨前的15章,他提到
[00:05:23.440 --> 00:05:25.440]  基督的福音是怎樣的呢?
[00:05:25.440 --> 00:05:29.440]  就是耶穌基督照著聖經的寓言
[00:05:29.440 --> 00:05:33.440]  所記載,受死、埋葬、第三天復活
[00:05:33.440 --> 00:05:37.440]  耶穌說了他自己將會面對的是什麼呢?
[00:05:37.440 --> 00:05:41.440]  是羞辱、痛苦和死亡
[00:05:41.440 --> 00:05:45.440]  但是背後卻是十字架反照出
[00:05:45.440 --> 00:05:49.440]  是什麼呢?盼望、勝利和榮耀
[00:05:49.440 --> 00:05:53.440]  為什麼耶穌來受苦呢?
[00:05:53.440 --> 00:05:57.440]  你可以說是為我們,為我們的罪
[00:05:57.440 --> 00:06:01.440]  不過經文給我們一個亮光
[00:06:01.440 --> 00:06:03.440]  或者另一個向度,去看看
[00:06:03.440 --> 00:06:05.440]  為什麼耶穌來到受苦
[00:06:05.440 --> 00:06:11.440]  一個基督君王成為一個受苦的僕人
[00:06:11.440 --> 00:06:13.440]  32和33節
[00:06:13.440 --> 00:06:17.440]  彼得聽到耶穌將會受苦的時候
[00:06:17.440 --> 00:06:21.440]  他就阻止耶穌去受苦
[00:06:21.440 --> 00:06:25.440]  這個也是人之常情
[00:06:25.440 --> 00:06:29.440]  你所心愛的一個人
[00:06:29.440 --> 00:06:31.440]  他自己要受死的時候
[00:06:31.440 --> 00:06:33.440]  你都會盡辦法幫他
[00:06:33.440 --> 00:06:37.440]  或者攔阻他踏上十字架
