
[00:00:00.000 --> 00:00:02.000]  共融與復和
[00:00:02.000 --> 00:00:03.400]  我們上一次呢
[00:00:03.400 --> 00:00:04.900]  如果大家還記得
[00:00:04.900 --> 00:00:06.200]  在講道裡面
[00:00:06.200 --> 00:00:07.260]  我們講道
[00:00:07.260 --> 00:00:10.600]  尼希米基裡面的重建
[00:00:10.600 --> 00:00:13.160]  尼希米基裡面講道
[00:00:13.160 --> 00:00:14.200]  重建
[00:00:14.200 --> 00:00:16.300]  這個工程
[00:00:16.300 --> 00:00:17.800]  其實背後
[00:00:17.800 --> 00:00:21.700]  是需要大家一起來進行的
[00:00:21.700 --> 00:00:24.800]  當然在這個重建的過程當中
[00:00:24.800 --> 00:00:26.400]  領導人是重要的
[00:00:26.400 --> 00:00:27.500]  好像尼希米
[00:00:27.500 --> 00:00:28.900]  是一個有意象
[00:00:28.900 --> 00:00:29.600]  有使命
[00:00:29.600 --> 00:00:30.900]  有魄力的人
[00:00:30.900 --> 00:00:33.300]  並且他的心是向著神
[00:00:33.300 --> 00:00:34.500]  有信心
[00:00:34.500 --> 00:00:35.700]  有勇氣
[00:00:35.700 --> 00:00:37.400]  亦不在話下
[00:00:37.400 --> 00:00:39.800]  不過我們也看到第三章那裡
[00:00:39.800 --> 00:00:43.000]  講道在尼希米重建的過程裡面
[00:00:43.000 --> 00:00:44.900]  其實大家一起
[00:00:44.900 --> 00:00:47.000]  最重要是所有人
[00:00:47.000 --> 00:00:48.500]  越來越多的人
[00:00:48.500 --> 00:00:49.800]  是有心的
[00:00:49.800 --> 00:00:51.700]  有使命感的人
[00:00:51.700 --> 00:00:53.700]  神是呼召著那些願意
[00:00:53.700 --> 00:00:55.000]  去多走一步的
[00:00:55.000 --> 00:00:57.300]  在他肯承擔多一點的
[00:00:57.300 --> 00:00:59.200]  而不是親身的
[00:00:59.200 --> 00:01:00.200]  那些人
[00:01:00.200 --> 00:01:02.100]  那時候就可以
[00:01:02.100 --> 00:01:03.900]  讓這個重建
