
[00:00:00.000 --> 00:00:03.640]  如果大家還記得 今年年初
[00:00:03.640 --> 00:00:08.160]  在第一星期的時候
[00:00:08.160 --> 00:00:10.160]  我們都有講傳道書的內容
[00:00:10.160 --> 00:00:13.000]  傳道書第一章1-11節就講
[00:00:13.000 --> 00:00:15.680]  一代過去 一代又來
[00:00:15.680 --> 00:00:17.120]  這個宇宙世間
[00:00:17.120 --> 00:00:20.800]  即日頭太陽升起 太陽落下
[00:00:20.800 --> 00:00:22.800]  一個宇宙的循環
[00:00:22.800 --> 00:00:24.800]  和一個人生的循環
[00:00:24.800 --> 00:00:27.280]  好像都是一樣的東西
[00:00:27.280 --> 00:00:29.600]  沒有人記念 沒有人記得
[00:00:29.600 --> 00:00:32.560]  這個都是去控 傳道者去想
[00:00:32.560 --> 00:00:35.040]  接著他就去思想
[00:00:35.040 --> 00:00:39.280]  究竟什麼叫人生的快樂呢
[00:00:39.280 --> 00:00:40.560]  既然沒有人記念
[00:00:40.560 --> 00:00:42.880]  那什麼是人生的快樂呢
[00:00:42.880 --> 00:00:45.680]  傳道者去形容自己是一個
[00:00:45.680 --> 00:00:47.360]  很有智慧的人
[00:00:47.360 --> 00:00:49.360]  他也很有權力的人
[00:00:49.360 --> 00:00:53.600]  他也是一個擁有很豐足的物質生活的人
[00:00:53.600 --> 00:00:56.080]  因為他是一個王的身份
[00:00:56.080 --> 00:00:58.640]  接著他就用了很多東西
[00:00:58.640 --> 00:01:00.640]  去看什麼叫快樂
[00:01:00.640 --> 00:01:02.640]  物質的享受
[00:01:02.640 --> 00:01:06.400]  權力的享受
[00:01:06.400 --> 00:01:09.040]  所有你能夠想得出的方式
[00:01:09.040 --> 00:01:11.520]  他也去試一下
[00:01:11.520 --> 00:01:15.520]  我試一下這樣是不是快樂呢
[00:01:15.520 --> 00:01:17.520]  到最後他的結果就是
[00:01:17.520 --> 00:01:19.520]  這樣都得不到快樂
[00:01:19.520 --> 00:01:21.520]  這個都是去控
[00:01:21.520 --> 00:01:22.480]  接著他就去問
[00:01:22.480 --> 00:01:24.480]  來到這裡第二章
[00:01:24.480 --> 00:01:25.440]  他就在想
[00:01:25.440 --> 00:01:29.200]  究竟我在追求這麼多物質生活上
[00:01:29.200 --> 00:01:30.400]  都得不到快樂
[00:01:30.400 --> 00:01:32.400]  那我想想我的人
[00:01:32.400 --> 00:01:33.360]  我的智慧
[00:01:33.360 --> 00:01:35.680]  是不是有智慧的人就會快樂呢
[00:01:35.680 --> 00:01:36.960]  接著他就說
[00:01:36.960 --> 00:01:38.960]  第二章十二節十四節
[00:01:38.960 --> 00:01:42.880]  我轉念觀看智慧狂妄和愚昧
[00:01:42.880 --> 00:01:45.680]  在王耳後來的人還能做什麼呢
[00:01:45.680 --> 00:01:48.800]  也不過行祖先所行的就是了
[00:01:48.800 --> 00:01:51.440]  我便看出智慧勝過愚昧
[00:01:51.440 --> 00:01:53.440]  如同光明勝過黑暗
[00:01:53.440 --> 00:01:55.440]  智慧人的眼目光明
[00:01:55.440 --> 00:01:57.440]  如每人在黑暗旅行
[00:01:57.440 --> 00:02:01.040]  在這裡傳道者就去說
[00:02:01.040 --> 00:02:03.040]  在我耳後來的人
[00:02:03.040 --> 00:02:05.520]  所做的事都不能超越我
[00:02:05.520 --> 00:02:08.080]  各方面都不能超越我
[00:02:08.080 --> 00:02:10.560]  所以他肯定自己
[00:02:10.560 --> 00:02:13.600]  我所說的事是體驗過的了
[00:02:13.600 --> 00:02:15.600]  體驗過了
[00:02:15.600 --> 00:02:18.560]  我現在將我的體驗告訴你
[00:02:18.560 --> 00:02:19.920]  他的意思就是這樣
[00:02:19.920 --> 00:02:22.960]  他在這裡用光明和黑暗
[00:02:22.960 --> 00:02:25.520]  去代表智慧和愚蠢
[00:02:25.520 --> 00:02:28.240]  在過去的傳統裏面
[00:02:28.240 --> 00:02:31.760]  是用黑暗代表死亡
[00:02:31.760 --> 00:02:33.360]  光明代表生命
[00:02:33.360 --> 00:02:36.000]  但傳道者在這裡用黑暗和光明
[00:02:36.000 --> 00:02:38.400]  代表愚蠢和智慧
[00:02:38.400 --> 00:02:41.520]  智慧人就好像行在光明當中
[00:02:41.520 --> 00:02:44.560]  愚昧人就行在暗當中
[00:02:44.560 --> 00:02:46.320]  在人世間裏面
[00:02:46.320 --> 00:02:48.320]  智慧總比愚蠢好
[00:02:48.320 --> 00:02:50.080]  原因就是
[00:02:50.080 --> 00:02:51.920]  因為如果你有智慧
[00:02:51.920 --> 00:02:54.960]  在前面你可以選擇的時候
[00:02:54.960 --> 00:02:58.000]  走少一些冤枉路
[00:02:58.000 --> 00:02:59.360]  大家可以想像
[00:02:59.360 --> 00:03:00.800]  有些愚蠢的人
[00:03:00.800 --> 00:03:03.520]  可能前面有兩個選擇
[00:03:03.520 --> 00:03:06.160]  選擇A 路好一點的結果
[00:03:06.160 --> 00:03:08.000]  選擇B 結果不是太好
[00:03:08.000 --> 00:03:10.480]  但愚蠢人不懂得怎樣去想
[00:03:10.480 --> 00:03:12.080]  就隨便選擇一條路
[00:03:12.080 --> 00:03:14.320]  所以在人世間裏面
[00:03:14.320 --> 00:03:17.440]  愚蠢人總是在黑暗當中
[00:03:17.440 --> 00:03:18.480]  很多時候去摸索
[00:03:18.480 --> 00:03:19.760]  容易跌倒
[00:03:19.760 --> 00:03:22.320]  智慧人能夠比較
[00:03:22.320 --> 00:03:23.600]  比較好一點
[00:03:23.600 --> 00:03:26.800]  能夠選擇一些路去走
[00:03:26.800 --> 00:03:28.720]  少一些禍患發生
[00:03:28.720 --> 00:03:30.640]  所以傳道者說
[00:03:30.640 --> 00:03:33.280]  智慧總比愚昧好
[00:03:33.280 --> 00:03:35.600]  這是傳統的說法
[00:03:35.600 --> 00:03:39.200]  就是肯定智慧的價值
[00:03:39.200 --> 00:03:40.480]  做一個智慧人
[00:03:40.480 --> 00:03:43.440]  不要做一個愚蠢的人
[00:03:43.440 --> 00:03:45.280]  但是接著
[00:03:45.280 --> 00:03:47.920]  傳道者說完之後
[00:03:47.920 --> 00:03:50.960]  他馬上從另一個角度去說
[00:03:50.960 --> 00:03:52.480]  雖然在前面
[00:03:52.480 --> 00:03:54.320]  他已經說
[00:03:54.320 --> 00:03:56.880]  第1章12 18節說
[00:03:56.880 --> 00:03:58.320]  愈多智慧
[00:03:58.320 --> 00:03:59.680]  煩惱就愈多
[00:03:59.680 --> 00:04:02.240]  究竟智慧和愚蠢有什麼分別呢
[00:04:02.240 --> 00:04:03.440]  他的結論就是
[00:04:03.440 --> 00:04:05.440]  智慧總比愚昧好
[00:04:05.440 --> 00:04:07.120]  不過他再想遠一點
[00:04:07.120 --> 00:04:08.400]  他就說
[00:04:08.400 --> 00:04:09.840]  智慧人和愚昧人
[00:04:09.840 --> 00:04:11.600]  是不是真的有分別呢
[00:04:11.600 --> 00:04:13.280]  再想遠一點
[00:04:13.280 --> 00:04:14.960]  好像又不是
[00:04:14.960 --> 00:04:16.000]  第14節說
[00:04:16.000 --> 00:04:18.240]  我看明有一件事
[00:04:18.240 --> 00:04:20.800]  這兩等人都必遇見
[00:04:20.800 --> 00:04:21.920]  我就心裡說
[00:04:21.920 --> 00:04:23.360]  愚昧人所遇見的
[00:04:23.360 --> 00:04:24.560]  我也必遇見
[00:04:24.560 --> 00:04:26.480]  我為何更有智慧呢
[00:04:26.480 --> 00:04:27.360]  我心裡說
[00:04:27.360 --> 00:04:28.800]  這也是虛空
[00:04:28.800 --> 00:04:30.560]  智慧人和愚昧人一樣
[00:04:30.560 --> 00:04:32.160]  永遠無人紀念
[00:04:32.160 --> 00:04:34.560]  因為日後都必被忘記
[00:04:34.560 --> 00:04:36.320]  可嘆智慧人死亡
[00:04:36.320 --> 00:04:38.320]  與愚昧人無異
[00:04:38.320 --> 00:04:39.920]  我所以恨惡生命
[00:04:39.920 --> 00:04:42.080]  因為在日光之下所行的事
[00:04:42.080 --> 00:04:43.440]  我都以為煩惱
[00:04:43.440 --> 00:04:44.480]  都是虛空
[00:04:44.480 --> 00:04:45.920]  都是暴風
[00:04:45.920 --> 00:04:47.360]  在這裏
[00:04:47.360 --> 00:04:48.480]  他又再說
[00:04:48.480 --> 00:04:50.400]  傳道者再深入反省
[00:04:50.400 --> 00:04:55.200]  智慧人的確勝過愚昧人
[00:04:55.200 --> 00:04:56.720]  但是再看遠一點
[00:04:56.720 --> 00:04:58.080]  是不是有分別呢
[00:04:58.080 --> 00:05:00.080]  智慧人要死
[00:05:00.080 --> 00:05:02.320]  愚昧人也要死
[00:05:02.320 --> 00:05:03.360]  有很多時
[00:05:03.360 --> 00:05:05.680]  智慧人和愚昧人
[00:05:05.680 --> 00:05:07.760]  可能無論如何選擇
[00:05:07.760 --> 00:05:10.080]  都遭遇同一件事
[00:05:10.080 --> 00:05:12.000]  智慧人是否生活順利一點
[00:05:12.000 --> 00:05:12.960]  又未必
[00:05:12.960 --> 00:05:16.000]  愚昧人是否生活一定不好一點
[00:05:16.000 --> 00:05:17.600]  又未必
[00:05:17.600 --> 00:05:18.960]  而且到最後
[00:05:18.960 --> 00:05:20.400]  是否不同呢
[00:05:20.400 --> 00:05:22.240]  結局也一樣
[00:05:22.240 --> 00:05:23.360]  同一命運
[00:05:23.360 --> 00:05:24.880]  都是死亡
[00:05:24.880 --> 00:05:26.240]  所以傳道者說
[00:05:26.240 --> 00:05:27.600]  這都是虛空
[00:05:27.600 --> 00:05:28.880]  都是虛空
[00:05:28.880 --> 00:05:30.400]  而且
[00:05:30.400 --> 00:05:31.840]  愚昧人死了
[00:05:31.840 --> 00:05:34.000]  智慧人死了
[00:05:34.000 --> 00:05:34.880]  都是一樣
[00:05:34.880 --> 00:05:37.440]  無人記得他們
[00:05:37.440 --> 00:05:39.600]  所以傳道者在這裏
[00:05:39.600 --> 00:05:41.920]  落了一個小小的結論
[00:05:41.920 --> 00:05:44.480]  所以我就恨惡生命
[00:05:44.480 --> 00:05:45.920]  如果這樣看
[00:05:45.920 --> 00:05:48.320]  傳道者是不是很灰心
[00:05:48.320 --> 00:05:49.360]  但是其實
[00:05:49.360 --> 00:05:50.880]  傳道者在這裏
[00:05:50.880 --> 00:05:52.560]  他這樣用這個角度
[00:05:52.560 --> 00:05:54.480]  首先作一個分析
[00:05:54.480 --> 00:05:56.080]  在整個傳道書
[00:05:56.080 --> 00:05:57.840]  整卷傳道書裏面
[00:05:57.840 --> 00:05:59.600]  其實在不同的地方
[00:05:59.600 --> 00:06:00.800]  當傳道者說
[00:06:00.800 --> 00:06:03.680]  如果生命和死亡在他面前
[00:06:03.680 --> 00:06:06.480]  他寧願選擇生命
[00:06:06.480 --> 00:06:08.560]  我不會選擇死亡
