
[00:00:00.000 --> 00:00:03.000]  今日和大家思想的是一個主題
[00:00:03.000 --> 00:00:05.480]  「憑信剛強」
[00:00:05.480 --> 00:00:08.680]  這個題目對我自己來說很重要
[00:00:08.680 --> 00:00:13.000]  因為我感覺自己是一個小信的人
[00:00:13.000 --> 00:00:14.840]  我不是客氣說一句話
[00:00:14.840 --> 00:00:20.200]  而是自己很深刻經歷自己很多信心上的波動、搖動的情況
[00:00:20.200 --> 00:00:22.960]  但慢慢我感覺神不斷在當中教導我
[00:00:22.960 --> 00:00:27.000]  憑著信心領受神給我們剛強、仁愛
[00:00:27.000 --> 00:00:29.440]  還有緊守的心
[00:00:29.440 --> 00:00:33.600]  在其中放膽見證神、服侍神
[00:00:33.600 --> 00:00:36.960]  「憑信剛強」是我們一連八堂的訊息
[00:00:36.960 --> 00:00:39.000]  一個主要的重點
[00:00:39.000 --> 00:00:41.800]  其中我們會就聖經的《若書雅記》
[00:00:41.800 --> 00:00:43.880]  來看這方面的重點
[00:00:43.880 --> 00:00:47.960]  我開始時會將一些光耀和大家分享
[00:00:47.960 --> 00:00:49.520]  再提到今日的主題
[00:00:49.520 --> 00:00:54.280]  就是「只要剛強壯膽」
[00:00:54.280 --> 00:00:59.720]  聖經《若書雅記》是在摩西五經之後第一卷的歷史書
[00:00:59.720 --> 00:01:03.160]  亦是以色列人的歷史當中一個很重要的時刻
[00:01:03.160 --> 00:01:06.440]  或者說最關鍵的一個時刻
[00:01:06.440 --> 00:01:07.320]  我們稍為看看
[00:01:07.320 --> 00:01:08.920]  大家知道摩西五經
[00:01:08.920 --> 00:01:12.520]  「創出利民生」
[00:01:12.520 --> 00:01:13.920]  大家一定會知道
[00:01:13.920 --> 00:01:17.000]  「相則記係神揀選以色列人
[00:01:17.000 --> 00:01:22.560]  然後應許他們將迦蘭美地賜給他們」
[00:01:22.560 --> 00:01:24.840]  到《出埃及記》的時候
[00:01:24.840 --> 00:01:27.560]  「神帶領他們離開遺牢之地
[00:01:27.560 --> 00:01:32.160]  然後帶領他們前往迦蘭」
[00:01:32.160 --> 00:01:34.120]  《出埃及記》跟著的《利美記》
[00:01:34.120 --> 00:01:37.360]  就提出神將律法頒布給他們
[00:01:37.360 --> 00:01:39.600]  讓他們知道在一切的情況之下
[00:01:39.600 --> 00:01:43.480]  去遵行神對他們的吩咐
[00:01:43.480 --> 00:01:44.160]  在這個時候
[00:01:44.160 --> 00:01:45.080]  當我們再看的時候
[00:01:45.080 --> 00:01:46.960]  經文去到《文素記》
[00:01:46.960 --> 00:01:50.880]  經常說到神怎樣帶領他們經過曠野
[00:01:50.880 --> 00:01:53.840]  然後帶領他們去到迦蘭的邊緣
[00:01:53.840 --> 00:01:55.960]  預備入迦蘭
[00:01:55.960 --> 00:01:57.280]  接著《生命記》
[00:01:57.280 --> 00:01:59.880]  就提到神將他的教導
[00:01:59.880 --> 00:02:01.320]  再次透過摩西
[00:02:01.320 --> 00:02:03.400]  來告訴以色列人知道
[00:02:03.400 --> 00:02:05.440]  要敬畏神
[00:02:05.440 --> 00:02:06.760]  快要去到迦蘭地了
[00:02:06.760 --> 00:02:09.560]  但是必須要在靈裡面準備好
[00:02:09.560 --> 00:02:13.520]  最大的關鍵就是要敬畏神
[00:02:13.520 --> 00:02:14.720]  然後《生命記》之後
[00:02:14.720 --> 00:02:16.080]  去到《約書雅記》
[00:02:16.080 --> 00:02:17.080]  就提到以色列人
[00:02:17.080 --> 00:02:19.240]  今天他們真正去到迦蘭地
[00:02:19.240 --> 00:02:20.960]  要攻取迦蘭
[00:02:20.960 --> 00:02:23.000]  要得到迦蘭
[00:02:23.000 --> 00:02:25.640]  因此是歷史當中一個高峰期
[00:02:25.640 --> 00:02:30.480]  因為他們真正得到神給他們的應許
[00:02:30.480 --> 00:02:31.480]  在其中
[00:02:31.480 --> 00:02:32.320]  他們很快樂
[00:02:32.320 --> 00:02:34.080]  因為能夠憑著信心
[00:02:34.080 --> 00:02:36.160]  去分地
[00:02:36.160 --> 00:02:39.880]  然後在當中進入神給他們的安息裡面
[00:02:39.880 --> 00:02:41.560]  這次整個歷史給我們發現
[00:02:41.560 --> 00:02:42.880]  《約書雅記》
[00:02:42.880 --> 00:02:45.560]  是以色列歷史的一個高峰
[00:02:45.560 --> 00:02:46.680]  但是高峰的時間
[00:02:46.680 --> 00:02:50.360]  也是他們遇到最多的戰爭的時間
[00:02:50.360 --> 00:02:51.760]  《約書雅記》描繪著很多
[00:02:51.760 --> 00:02:54.360]  和迦蘭人的戰爭的情況
[00:02:54.360 --> 00:02:55.880]  但是戰爭的背後
[00:02:55.880 --> 00:03:01.160]  是藏著很多很多神的應許和恩典
[00:03:01.160 --> 00:03:03.840]  我們回想今天我們的香港
[00:03:03.840 --> 00:03:06.880]  香港很多很多的困難
[00:03:06.880 --> 00:03:09.200]  失業的人數三十萬
[00:03:09.200 --> 00:03:11.080]  可能更多
[00:03:11.080 --> 00:03:13.480]  經濟的情況一直滑落
[00:03:13.480 --> 00:03:17.760]  香港人對香港政府的信心
[00:03:17.760 --> 00:03:20.480]  一直一直的降低
[00:03:20.480 --> 00:03:21.680]  很多的政治問題
[00:03:21.680 --> 00:03:22.560]  經濟問題
[00:03:22.560 --> 00:03:23.520]  SARS問題
[00:03:23.520 --> 00:03:24.600]  健康問題
[00:03:24.600 --> 00:03:27.200]  困擾著香港很多的人
[00:03:27.200 --> 00:03:29.360]  包括了教會
[00:03:29.360 --> 00:03:31.880]  但很多時候我們不會想到神的恩典
[00:03:31.880 --> 00:03:35.920]  很多時候在我們意想不到的時候出現
