
[00:00:00.000 --> 00:00:04.040]  2015年已經過去了
[00:00:04.040 --> 00:00:07.600]  我們迎接2016年的時間
[00:00:07.600 --> 00:00:09.680]  今年教會的主題是
[00:00:09.680 --> 00:00:14.640]  希望有兩方面和頂智梅有多一點思想的時間
[00:00:14.640 --> 00:00:23.320]  這個主題就是我們今天掛在大堂裡的兩幅說話
[00:00:23.320 --> 00:00:24.920]  大家知不知道從哪裡讀起的
[00:00:24.920 --> 00:00:27.800]  從中文這邊讀起
[00:00:27.800 --> 00:00:28.440]  接著從這邊
[00:00:28.440 --> 00:00:29.440]  我們一起讀一讀好嗎
[00:00:30.160 --> 00:00:30.760]  預備
[00:00:30.760 --> 00:00:32.800]  聖潔再神恩
[00:00:32.800 --> 00:00:35.440]  恩賜為主容
[00:00:35.440 --> 00:00:39.320]  我們希望在兩個主題裡
[00:00:39.320 --> 00:00:40.360]  第一個是聖潔
[00:00:40.360 --> 00:00:41.720]  第二個是恩賜
[00:00:41.720 --> 00:00:45.400]  如果大家留心去看聖經
[00:00:45.400 --> 00:00:48.200]  去看保羅所說的書信的時候
[00:00:48.200 --> 00:00:52.960]  他會說出一個很重要的真理方向
[00:00:52.960 --> 00:00:54.320]  就是當他說
[00:00:54.320 --> 00:00:57.000]  教徒應該的生活行為要怎樣的時候
[00:00:57.000 --> 00:00:57.960]  他首先說
[00:00:57.960 --> 00:01:00.320]  究竟什麼叫信耶穌
[00:01:00.320 --> 00:01:02.480]  信耶穌是什麼意思
[00:01:02.480 --> 00:01:06.040]  接著他說得清楚什麼叫信耶穌的時候
[00:01:06.040 --> 00:01:06.720]  他才說
[00:01:06.720 --> 00:01:08.840]  作為一個相信耶穌的人
[00:01:08.840 --> 00:01:12.120]  究竟我們應該怎樣去生活呢
[00:01:12.120 --> 00:01:17.880]  所以保羅可以說在羅馬書裡面
[00:01:17.880 --> 00:01:21.760]  首先第一至第十一章
[00:01:21.760 --> 00:01:24.520]  已經說了什麼叫信耶穌
[00:01:24.520 --> 00:01:26.400]  信耶穌是什麼意思
[00:01:27.200 --> 00:01:30.160]  接著在第十二章開始就說出
[00:01:30.160 --> 00:01:32.360]  究竟一個作為信耶穌的人
[00:01:32.360 --> 00:01:35.440]  我們應該怎樣去行事為人呢
[00:01:35.440 --> 00:01:39.840]  怎樣去過一個合乎上帝的生活呢
[00:01:39.840 --> 00:01:41.280]  可以這樣說
[00:01:41.280 --> 00:01:42.640]  從另一個角度去說
[00:01:42.640 --> 00:01:43.480]  保羅說
[00:01:43.480 --> 00:01:46.800]  怎樣才能夠去活出一個
[00:01:46.800 --> 00:01:49.600]  合乎神喜悅的生活呢
[00:01:49.600 --> 00:01:54.160]  首先必須要有一個合乎神喜悅的生命
[00:01:54.160 --> 00:01:57.000]  我們要有一個重生了的生命
[00:01:57.000 --> 00:02:01.840]  才可以去做合乎上帝喜悅的事情
[00:02:01.840 --> 00:02:05.160]  所以如果沒有一個重生的生命
[00:02:05.160 --> 00:02:09.840]  如果沒有一個改變了的生命在我們裡面
[00:02:09.840 --> 00:02:12.600]  沒有一個新造的人在我們裡面
[00:02:12.600 --> 00:02:14.720]  我們是不可能活出一個
[00:02:14.720 --> 00:02:17.000]  合乎上帝喜悅的生活
[00:02:17.000 --> 00:02:21.080]  所以在第六章至第八章
[00:02:21.080 --> 00:02:22.920]  保羅就說出了一個
[00:02:22.920 --> 00:02:25.920]  聖潔生活的基本原則
[00:02:25.920 --> 00:02:27.920]  接著在第十二章開始
[00:02:27.920 --> 00:02:30.520]  保羅就說出了這個基本的原則
[00:02:30.520 --> 00:02:33.080]  怎樣在具體的生活當中
[00:02:33.080 --> 00:02:34.880]  可以去應用出來呢
[00:02:34.880 --> 00:02:40.560]  在剛才所讀的羅馬書十二章第一至第九節
[00:02:40.560 --> 00:02:42.920]  羅馬書十二章第一第二節
[00:02:42.920 --> 00:02:44.280]  我覺得作為一個
[00:02:44.280 --> 00:02:46.760]  信了主一段時間的基督徒
[00:02:46.760 --> 00:02:48.640]  應該要懂得背誦的一段經文
[00:02:48.640 --> 00:02:50.120]  我們一起背出來好不好
[00:02:50.120 --> 00:02:54.400]  如果背不出來的我們就看著吧
[00:02:55.360 --> 00:02:58.240]  羅馬書十二章第一第一節
[00:02:58.240 --> 00:03:00.000]  「所以弟兄們
[00:03:00.000 --> 00:03:03.080]  我以神的慈悲勸你們
[00:03:03.080 --> 00:03:06.680]  將身體獻上當作活祭
[00:03:06.680 --> 00:03:08.120]  是聖潔的
[00:03:08.120 --> 00:03:10.080]  是神所喜悅的
[00:03:10.080 --> 00:03:14.520]  你們如此侍奉乃是理所當然的
[00:03:14.520 --> 00:03:17.400]  不要效法這個世界
[00:03:17.400 --> 00:03:20.440]  只要心意根深而變化
[00:03:20.440 --> 00:03:24.040]  叫你們測驗何謂神的善良
[00:03:24.040 --> 00:03:26.760]  純全可喜悅的旨意」
[00:03:26.760 --> 00:03:30.600]  在這裡其實保羅去強調
[00:03:30.600 --> 00:03:33.120]  一個蒙神喜悅的生活
[00:03:33.120 --> 00:03:37.080]  必須要有一個蒙神喜悅的生命
[00:03:37.080 --> 00:03:38.880]  這個生命是一個什麼生命呢
[00:03:38.880 --> 00:03:41.960]  就是我們願意將自己完全奉獻給上帝
[00:03:41.960 --> 00:03:43.520]  放在上帝的手中
[00:03:43.520 --> 00:03:45.640]  讓上帝去掌管
[00:03:45.640 --> 00:03:47.240]  讓上帝去管理
[00:03:47.240 --> 00:03:49.240]  我們都在上帝面前說
[00:03:49.240 --> 00:03:53.240]  上帝我願意去過一個合乎祢旨意的生活
[00:03:53.240 --> 00:03:54.760]  這個態度
[00:03:54.760 --> 00:03:57.440]  如果我們沒有這個態度
[00:03:57.440 --> 00:03:58.760]  我們不可能過一個
