
[00:00:00.000 --> 00:00:03.880]  今日進到我們寫宗令營的第二部份
[00:00:03.880 --> 00:00:05.320]  下半節的時候
[00:00:05.320 --> 00:00:06.600]  我們都感謝神
[00:00:06.600 --> 00:00:10.120]  神的說話不單止要求我們尊祂為大
[00:00:10.120 --> 00:00:13.000]  我們都可以以祂為樂
[00:00:13.000 --> 00:00:17.120]  所以說到今早我就可以安樂些了
[00:00:17.120 --> 00:00:20.200]  因為開始有些安慰、鼓勵的訊息
[00:00:20.200 --> 00:00:22.920]  就不用大家等到臉都發亮
[00:00:22.920 --> 00:00:24.640]  昨天有個弟兄跟我說
[00:00:24.640 --> 00:00:27.320]  嘩!臉都發亮了
[00:00:27.320 --> 00:00:28.600]  我們不是想這樣
[00:00:28.600 --> 00:00:30.000]  神都不想這樣
[00:00:30.000 --> 00:00:34.000]  不過有時是除非我們看見自己的本相
[00:00:34.000 --> 00:00:35.080]  人很有趣
[00:00:35.080 --> 00:00:37.200]  人的本性裏面有一種度性
[00:00:37.200 --> 00:00:39.280]  本性裏面有一種自私性
[00:00:39.280 --> 00:00:41.000]  除非在神嚴厲的說話
[00:00:41.000 --> 00:00:43.240]  好像一個鏡一樣光照我們
[00:00:43.240 --> 00:00:46.360]  你看見我們自己在神面前戰驚
[00:00:46.360 --> 00:00:48.360]  我們生命才可以有一個反答
[00:00:48.360 --> 00:00:52.480]  其實神所說每一樣這麼強硬的說話
[00:00:52.480 --> 00:00:54.160]  是出於祂的好意
[00:00:54.160 --> 00:00:55.520]  要我們回旋歸向祂
[00:00:55.520 --> 00:00:57.960]  我們一起先歸向祂
[00:00:57.960 --> 00:01:00.440]  我們主我們的神我們獻上感謝
[00:01:00.440 --> 00:01:02.120]  每次打開你自己的說話
[00:01:02.120 --> 00:01:03.640]  無論是提醒
[00:01:03.640 --> 00:01:04.920]  無論是斥責
[00:01:04.920 --> 00:01:06.240]  或者是安慰
[00:01:06.240 --> 00:01:07.400]  都是這麼寶貴
[00:01:07.400 --> 00:01:09.800]  裏面充滿了豐富的教導
[00:01:09.800 --> 00:01:12.840]  在教導背後充滿了你自己的慈愛
[00:01:12.840 --> 00:01:14.120]  你自己的人命
[00:01:14.120 --> 00:01:15.160]  你自己的關懷
[00:01:15.160 --> 00:01:16.600]  我們多謝你
[00:01:16.600 --> 00:01:18.440]  我們的主今早我們來到你面前
[00:01:18.440 --> 00:01:21.160]  帶著戰驚的心又再打開正經
[00:01:21.160 --> 00:01:23.880]  聆聽你要對我們說的話
[00:01:23.880 --> 00:01:25.960]  求主在我們的心裏面
[00:01:25.960 --> 00:01:28.200]  製造一個安靜的心靈
[00:01:28.200 --> 00:01:32.200]  讓我們聽見你在我們心中的微風
[00:01:32.200 --> 00:01:34.760]  讓我們知道我們前面的路
[00:01:34.760 --> 00:01:37.880]  如何跟隨你繼續走下去
[00:01:37.880 --> 00:01:39.880]  聽我們的祈禱奉耶穌
[00:01:40.760 --> 00:01:46.280]  好,今天我們進到馬拉基斯的旅程第四講
[00:01:46.280 --> 00:01:51.400]  第四講我們特別研究馬拉基斯的第二章
[00:01:51.400 --> 00:01:56.040]  由十七節看到第三章的十二節
[00:01:56.040 --> 00:01:58.040]  我們一起打開馬拉基斯
[00:01:58.040 --> 00:02:03.400]  二章十七節到三章的十二節
[00:02:03.400 --> 00:02:05.640]  我剛才跟大家說
[00:02:05.640 --> 00:02:07.080]  一直都跟大家提醒
[00:02:07.080 --> 00:02:10.440]  馬拉基斯是一個很嚴厲的書
[00:02:10.440 --> 00:02:12.440]  嚴厲到一個地步
[00:02:12.440 --> 00:02:14.440]  我們都記得在過去的三天
[00:02:14.440 --> 00:02:16.440]  那三堂的聚會當中
[00:02:16.440 --> 00:02:19.560]  我們都記得很多很嚴厲的斥責
[00:02:19.560 --> 00:02:21.560]  斥責我們很多的錯誤
[00:02:21.560 --> 00:02:23.160]  很多的失敗
[00:02:23.160 --> 00:02:24.760]  如果我們簡單數起來的時候
[00:02:24.760 --> 00:02:25.800]  你還記得
[00:02:25.800 --> 00:02:29.560]  說到我們怎樣人不知不覺間
[00:02:29.560 --> 00:02:32.680]  我們就失去了那份警醒而墮落
[00:02:32.680 --> 00:02:35.240]  我們又看見神的斥責
[00:02:35.240 --> 00:02:38.440]  說我們忘恩負義
[00:02:38.440 --> 00:02:40.600]  忘記了神
[00:02:40.600 --> 00:02:42.600]  懷疑神的愛
[00:02:42.600 --> 00:02:46.440]  我們記得我們在馬拉基斯曾經提過
[00:02:46.440 --> 00:02:49.480]  我們失去了一份對神敬畏的心
[00:02:49.480 --> 00:02:52.840]  神是主神是父
[00:02:52.840 --> 00:02:56.760]  但是我們沒有將神應有的尊重給祂
[00:02:56.760 --> 00:02:58.760]  反而將那些次等的
[00:02:58.760 --> 00:03:00.760]  那些次貨的殘疾的
[00:03:00.760 --> 00:03:02.040]  丟給祂祭壇
[00:03:02.040 --> 00:03:03.720]  那就要求祂收貨
[00:03:03.720 --> 00:03:05.720]  神說你怎樣叫我收貨呢
[00:03:05.720 --> 00:03:07.160]  難道我看你的情面嗎
[00:03:07.160 --> 00:03:08.840]  你老闆都不看你的情面
[00:03:08.840 --> 00:03:10.840]  這樣做何況要求我
[00:03:10.840 --> 00:03:12.840]  對你這樣收貨
[00:03:12.840 --> 00:03:14.280]  不可能
[00:03:14.280 --> 00:03:16.280]  我們看見馬拉基斯有提醒
[00:03:16.280 --> 00:03:18.280]  每一個讀者當時認識的人
[00:03:18.280 --> 00:03:20.280]  或者是包括我們在內
[00:03:20.280 --> 00:03:23.000]  祂說我們失去了言語上
[00:03:23.000 --> 00:03:25.000]  行為上應有的標準
[00:03:25.000 --> 00:03:27.960]  神要求我們在說話
[00:03:27.960 --> 00:03:30.920]  在行為上彰顯祂自己的榮耀
[00:03:30.920 --> 00:03:32.920]  但是很多時候我們行為
[00:03:32.920 --> 00:03:34.280]  我們說話有虛假
[00:03:34.280 --> 00:03:35.320]  我們不忠
[00:03:35.320 --> 00:03:36.440]  我們掩飾
[00:03:36.440 --> 00:03:38.760]  我們對弟兄姊妹之間
[00:03:38.760 --> 00:03:40.760]  我們沒有存一個信任
[00:03:40.760 --> 00:03:43.320]  和一個坦誠開放的心
[00:03:43.320 --> 00:03:44.360]  在我們的家庭
[00:03:44.360 --> 00:03:46.040]  在我們的感情生活裏面
[00:03:46.040 --> 00:03:48.200]  我們不肯將主權交給神
[00:03:48.200 --> 00:03:49.800]  以致我們在感情上
[00:03:49.800 --> 00:03:50.840]  在婚姻上
[00:03:50.840 --> 00:03:52.840]  一而再再而三的得忌神
[00:03:52.840 --> 00:03:57.800]  而且自己受到那種應該有的懲罰
[00:03:57.800 --> 00:04:00.360]  這些都是我們在這幾次的聚會當中
[00:04:00.360 --> 00:04:01.720]  一直由第一章
[00:04:01.720 --> 00:04:02.760]  一直到第二章
[00:04:02.760 --> 00:04:04.520]  我們所體驗的訊息
[00:04:04.520 --> 00:04:07.640]  今天我們進到第二章的17節開始
[00:04:07.640 --> 00:04:08.600]  我們發覺
[00:04:08.600 --> 00:04:10.840]  好像語氣沒有特別改變
[00:04:10.840 --> 00:04:11.880]  都是很嚴厲
[00:04:11.880 --> 00:04:13.800]  但是其實神的恩典
[00:04:13.800 --> 00:04:16.040]  神的肯定就出來了
[00:04:16.040 --> 00:04:18.360]  我們說為甚麼馬來西亞
[00:04:18.360 --> 00:04:20.360]  要說這麼多我們的弱點
[00:04:20.360 --> 00:04:21.800]  將裡面的東西全部找出來
[00:04:21.800 --> 00:04:22.920]  很痛的
[00:04:22.920 --> 00:04:24.360]  很苦的
[00:04:24.360 --> 00:04:25.080]  沒有人想的
[00:04:25.080 --> 00:04:26.840]  不過幸運或不幸運也好
[00:04:26.840 --> 00:04:27.720]  你被迫來
[00:04:27.720 --> 00:04:29.240]  這個烏溪山是逃不掉的
