
[00:00:00.000 --> 00:00:03.900]  我們今天來到聖經希伯來書第三章經文
[00:00:03.900 --> 00:00:08.940]  我們提到彼此相助 信主 道砥
[00:00:08.940 --> 00:00:11.040]  我記得最近有好幾次的場合
[00:00:11.040 --> 00:00:14.120]  我有機會參加見到神學院一些的活動
[00:00:14.120 --> 00:00:16.980]  每一次他們都很多時候都會唱一首詩歌
[00:00:16.980 --> 00:00:20.420]  這首詩歌是他們的校歌
[00:00:20.420 --> 00:00:22.020]  大家有些頂尖的朋友都知道
[00:00:22.020 --> 00:00:25.960]  三個字 大家知不知道這首詩歌?
[00:00:25.960 --> 00:00:30.020]  三個字的校歌 要忠心
[00:00:30.020 --> 00:00:34.500]  這首詩歌歷年來帶給很多人的鼓勵
[00:00:34.500 --> 00:00:37.900]  亦都描述很多的基督徒 很多的頂尖姐妹
[00:00:37.900 --> 00:00:39.300]  他們在人生的路上面
[00:00:39.300 --> 00:00:41.500]  縱使面對不同的困難
[00:00:41.500 --> 00:00:45.180]  但他們忠心堅定地信靠神
[00:00:45.180 --> 00:00:46.540]  去到富哥的時候我很歡喜
[00:00:46.540 --> 00:00:47.980]  特別是富哥提到
[00:00:47.980 --> 00:00:54.620]  要忠心 忠心 忠別人 便節退後
[00:00:54.620 --> 00:00:58.580]  無論何境況 你要站主旁
[00:00:58.580 --> 00:01:03.300]  讓主常見你 忠心
[00:01:03.300 --> 00:01:07.500]  跟隨主的人不會中途便節
[00:01:07.500 --> 00:01:09.860]  不會對主不忠
[00:01:09.860 --> 00:01:13.140]  任何的處境 任何的經歷裏面
[00:01:13.140 --> 00:01:18.440]  靠著主仍然能夠一生忠心信靠
[00:01:18.440 --> 00:01:21.280]  希羅書提醒很多很多當時的教徒
[00:01:21.280 --> 00:01:23.840]  特別是很多猶太的教徒
[00:01:23.840 --> 00:01:26.020]  他們信靠耶穌基督
[00:01:26.020 --> 00:01:28.580]  但他們有一部分開始轉回
[00:01:28.580 --> 00:01:31.660]  回到猶太教
[00:01:31.660 --> 00:01:36.860]  開始覺得耶穌基督是次好的 次等的
[00:01:36.860 --> 00:01:40.460]  因此覺得不需要再去信靠耶穌
[00:01:40.460 --> 00:01:44.460]  而是跟隨律法來生活
[00:01:44.460 --> 00:01:47.400]  聖經希羅書的作者提醒他們
[00:01:47.400 --> 00:01:50.440]  耶穌基督是超越天時 超越摩世
[00:01:50.440 --> 00:01:52.240]  超越了舊約
[00:01:52.240 --> 00:01:56.380]  因此祂是唯獨值得我們尊崇的主
[00:01:56.380 --> 00:01:59.680]  叫人繼續堅定地信靠上帝
[00:01:59.680 --> 00:02:01.120]  亦不斷講述到
[00:02:01.120 --> 00:02:03.280]  沒錯 摩西忠心
[00:02:03.280 --> 00:02:05.860]  我們的主同樣是忠心
[00:02:05.860 --> 00:02:10.160]  而且祂忠心於所託付給他的上帝
[00:02:10.160 --> 00:02:11.160]  因此聖經就說
[00:02:11.160 --> 00:02:13.800]  既然一位的主是信實的主
[00:02:13.800 --> 00:02:17.740]  我們都應該將我們所誇口的盼望
[00:02:17.740 --> 00:02:23.340]  持守到底 聖經第三章第六節所說
[00:02:23.340 --> 00:02:24.340]  持守到底
[00:02:24.340 --> 00:02:29.740]  我們才能配合著祂對我們的忠心
[00:02:29.740 --> 00:02:34.980]  對我們誠實不變的救恩
[00:02:34.980 --> 00:02:39.060]  而我們都可以堅守到底
[00:02:39.060 --> 00:02:41.720]  當我們看完經文的時候
[00:02:41.720 --> 00:02:45.060]  你留意 聖經一直提醒我們
[00:02:45.060 --> 00:02:48.000]  人生縱使面對任何事情
[00:02:48.000 --> 00:02:52.000]  要堅守信心到底
