
[00:00:00.000 --> 00:00:01.560]  剛才主席提到
[00:00:01.560 --> 00:00:06.000]  大家記得我們今天是七月份第一個主日崇拜
[00:00:06.000 --> 00:00:09.800]  亦都是我們在崇拜講道有一個新的主題
[00:00:09.800 --> 00:00:15.200]  就是「聖靈喜樂,照明人心」
[00:00:15.200 --> 00:00:19.200]  我們的人心有神賜給我們的喜樂
[00:00:19.200 --> 00:00:21.600]  這個不是一個理論
[00:00:21.600 --> 00:00:24.200]  是聖經真實地應許的
[00:00:24.200 --> 00:00:27.600]  因為那個喜樂不再是附你
[00:00:27.600 --> 00:00:31.000]  不是因為你一定有一種很自然的性格
[00:00:31.000 --> 00:00:32.800]  很快樂、很樂觀
[00:00:32.800 --> 00:00:37.400]  而是聖經特別強調我們靠主喜樂
[00:00:37.400 --> 00:00:40.200]  是靠著主我們得著力量
[00:00:40.200 --> 00:00:44.600]  可以在一切的環境裏面仍然可以喜樂
[00:00:44.600 --> 00:00:46.200]  而且領受喜樂之餘
[00:00:46.200 --> 00:00:49.600]  不單止我們自己會領受那份滿足
[00:00:49.600 --> 00:00:51.800]  更加可以在過程中
[00:00:51.800 --> 00:00:54.600]  我們可以順從上帝
[00:00:54.600 --> 00:00:57.000]  去按照祂對我們的呼召
[00:00:57.000 --> 00:00:59.400]  活出那種照明
[00:00:59.400 --> 00:01:03.000]  能夠在這個世代可以見證神
[00:01:03.000 --> 00:01:05.600]  沒錯,你和我都見到自己有軟弱
[00:01:05.600 --> 00:01:09.800]  但是當我們轉眼仰望上帝的時候
[00:01:09.800 --> 00:01:12.400]  就發覺我們仍然可以放膽
[00:01:12.400 --> 00:01:16.400]  因為是靠著主我們可以喜樂
[00:01:16.400 --> 00:01:18.000]  如果大家想回到聖經裏面
[00:01:18.000 --> 00:01:22.400]  特別提及神的角度是不在乎吃喝的
[00:01:22.400 --> 00:01:24.400]  《羅莫書》十四章所說
[00:01:24.400 --> 00:01:27.800]  而是在乎公義和和平
[00:01:27.800 --> 00:01:30.600]  和聖靈裏面的喜樂
[00:01:30.600 --> 00:01:33.600]  整個國亦都表達著神的權能
[00:01:33.600 --> 00:01:35.600]  我們因為基督的救恩
[00:01:35.600 --> 00:01:38.600]  我們進入神的角度裏面
[00:01:38.600 --> 00:01:40.800]  領受祂給我們的權能
[00:01:40.800 --> 00:01:43.600]  領受祂賜給我們的聖靈
