
[00:00:00.000 --> 00:00:04.120]  當耶穌在地上開始祂的侍奉
[00:00:04.120 --> 00:00:06.220]  開始祂的傳道的過程中
[00:00:06.220 --> 00:00:09.140]  漸漸跟隨祂的人漸漸增多
[00:00:09.140 --> 00:00:12.020]  當時的宗教領袖
[00:00:12.020 --> 00:00:13.980]  包括法利塞人、文士
[00:00:13.980 --> 00:00:16.680]  還有其他猶太人的宗教領袖
[00:00:16.680 --> 00:00:20.440]  和耶穌的衝突也漸漸激烈
[00:00:20.440 --> 00:00:22.840]  在這段經文中開始
[00:00:22.840 --> 00:00:25.240]  可以說已經說出
[00:00:25.240 --> 00:00:27.960]  耶穌和當時的宗教領袖
[00:00:27.960 --> 00:00:31.440]  一些很大的衝突的過程
[00:00:31.440 --> 00:00:33.640]  在8章12節說
[00:00:33.640 --> 00:00:36.120]  耶穌對眾人說:我是世界的光
[00:00:36.120 --> 00:00:38.520]  跟從我的就不再黑暗裡走
[00:00:38.520 --> 00:00:41.160]  必要得著生命的光
[00:00:41.160 --> 00:00:43.480]  這段經文上下文的背景
[00:00:43.480 --> 00:00:45.600]  應該仍然是持續在
[00:00:45.600 --> 00:00:49.240]  一個鑄盤節的背景裡
[00:00:49.240 --> 00:00:52.760]  鑄盤節是當時去紀念上帝
[00:00:52.760 --> 00:00:54.960]  拯救一群以色列人出埃及
[00:00:54.960 --> 00:00:58.080]  在曠野中如何照顧他們
[00:00:58.080 --> 00:01:00.200]  他們在曠野生活的日子
[00:01:00.200 --> 00:01:02.080]  上帝如何保守他們
[00:01:02.080 --> 00:01:04.960]  所以鑄盤節有紀念上帝的拯救
[00:01:04.960 --> 00:01:07.760]  和保守的意義
[00:01:07.760 --> 00:01:09.760]  在這個節期裡
[00:01:09.760 --> 00:01:13.720]  其實有很多儀式
[00:01:13.720 --> 00:01:16.560]  每一晚都有很多火光
[00:01:16.560 --> 00:01:18.560]  燒著的火炬
[00:01:18.560 --> 00:01:21.160]  有很多人去歌唱
[00:01:21.160 --> 00:01:23.560]  去唱一首讚美的詩歌
[00:01:23.560 --> 00:01:26.880]  而當時一群利美人
[00:01:26.880 --> 00:01:30.760]  他們負責去祭祀的一些
[00:01:30.760 --> 00:01:32.960]  很特別的人
[00:01:32.960 --> 00:01:35.840]  他們組成的一些管弦樂隊
[00:01:35.840 --> 00:01:37.640]  盡情地演奏
[00:01:37.640 --> 00:01:39.400]  大家可以想像一個這樣的情況
[00:01:39.400 --> 00:01:41.040]  在夜晚裡
