
[00:00:00.000 --> 00:00:07.000]  各位早安,主位平安,代表宣導會區議員向大家問安
[00:00:07.000 --> 00:00:12.000]  多謝上聖牧師邀請我來這裡和大家靜悟
[00:00:12.000 --> 00:00:16.000]  我對恩樂堂不太陌生,雖然我第一次來到廣島
[00:00:16.000 --> 00:00:20.000]  不過我以前在宣導會柴灣堂服侍的時候
[00:00:20.000 --> 00:00:27.000]  每每都有機會來到這裡,我們有東區教務的祈禱會
[00:00:27.000 --> 00:00:33.000]  所以都熟悉你們,CCC也在這裡,我也有認識
[00:00:33.000 --> 00:00:38.000]  這個地方很親切,特別是我來到的時候更加親切
[00:00:38.000 --> 00:00:43.000]  因為今天的詩琴姐姐Linda是我在90年代
[00:00:43.000 --> 00:00:47.000]  當我在海外回來香港的時候,就在北宣聚會
[00:00:47.000 --> 00:00:51.000]  去了以賽亞團契,認識了Linda姐姐,詩琴姐姐
[00:00:51.000 --> 00:00:57.000]  差不多30年了,轉眼間爆了我們的年紀,大學回流
[00:00:57.000 --> 00:01:01.000]  不過悉於微時,可能小學階段已經去了以賽亞團
[00:01:01.000 --> 00:01:06.000]  很開心來到這裡,我們一起去敬拜神
[00:01:06.000 --> 00:01:14.000]  作為外圍港元也有優勢,因為外圍港元可以拿著幾篇講章
[00:01:14.000 --> 00:01:18.000]  走遍港九新界的宣導會,你知道的
[00:01:18.000 --> 00:01:25.000]  當我知道自己會成為下任的總幹事,我自己也有個心願
[00:01:25.000 --> 00:01:30.000]  我希望能夠更加認識和追求基督
[00:01:30.000 --> 00:01:35.000]  所以我自己立志,盡我所能
[00:01:35.000 --> 00:01:39.000]  每每去到不同的堂會,特別宣導家的堂會
[00:01:39.000 --> 00:01:43.000]  我會預備一篇新的講章,這篇是我新的講章
[00:01:43.000 --> 00:01:49.000]  未講過的,今天的訊息大家要留心聽
[00:01:49.000 --> 00:01:52.000]  楊靖幾牧師的說話你可以不聽
[00:01:52.000 --> 00:01:55.000]  但是神的說話你要聽
[00:01:55.000 --> 00:02:00.000]  都比金紙可羨慕,且比極多的精金可羨慕
[00:02:00.000 --> 00:02:04.000]  比蜜金甜,且比瘋狂下敵的蜜金甜
[00:02:04.000 --> 00:02:07.000]  耶和華的華是一腳前的燈,路上的光
[00:02:07.000 --> 00:02:12.000]  聖經乃是神所物事的,於教訓督責使人歸正
[00:02:12.000 --> 00:02:14.000]  教導人學而,都是有益的
