
[00:00:00.000 --> 00:00:03.500]  請大家翻到新約伊夫所書
[00:00:03.500 --> 00:00:07.500]  第五章
[00:00:07.500 --> 00:00:10.500]  十八節
[00:00:10.500 --> 00:00:18.000]  不要醉酒 酒能使人放蕩
[00:00:18.000 --> 00:00:20.500]  乃要被聖靈充滿
[00:00:20.500 --> 00:00:25.000]  乃要被聖靈充滿
[00:00:26.000 --> 00:00:30.500]  伊夫所書把教會的真理講得很清楚
[00:00:30.500 --> 00:00:34.500]  不但如此
[00:00:34.500 --> 00:00:39.500]  伊夫所書也把教會的生活講得很清楚
[00:00:39.500 --> 00:00:45.000]  在教會的生活裏面
[00:00:45.000 --> 00:00:47.500]  有一項很重要
[00:00:47.500 --> 00:00:51.500]  就是聖靈充滿的生活
[00:00:53.500 --> 00:00:57.000]  這是我們在《石頭行傳》裏面清楚看見
[00:00:57.000 --> 00:01:03.000]  我們讀《石頭行傳》的時候
[00:01:03.000 --> 00:01:09.000]  多次看見他們如何被聖靈充滿
[00:01:09.000 --> 00:01:18.000]  既然這件事在石頭時代的教會裏面這樣重要
[00:01:21.000 --> 00:01:25.500]  今天我們也要特別注意
[00:01:25.500 --> 00:01:29.500]  我要用兩個主日講聖靈充滿
[00:01:29.500 --> 00:01:33.500]  下一個主日
[00:01:33.500 --> 00:01:37.500]  我們的重點是在《石頭行傳》上
[00:01:37.500 --> 00:01:44.000]  同時我也要解釋一下
[00:01:44.000 --> 00:01:47.500]  聖靈充滿和講方言的關係
[00:01:50.000 --> 00:01:53.500]  有些弟兄姊妹問我這個問題
[00:01:53.500 --> 00:01:58.000]  我覺得應該有一次的解釋
[00:01:58.000 --> 00:02:01.500]  在各位當中
[00:02:01.500 --> 00:02:05.500]  也許有人在心中有同樣的問題
[00:02:05.500 --> 00:02:09.500]  下一個星期
[00:02:09.500 --> 00:02:12.000]  我們要根據神的話
[00:02:12.000 --> 00:02:15.500]  做一個解答
[00:02:15.500 --> 00:02:19.000]  我們的標準是神的話
[00:02:19.000 --> 00:02:20.500]  我們的標準是神的話
[00:02:20.500 --> 00:02:22.500]  不是人的理論
[00:02:22.500 --> 00:02:25.500]  甚至於不是人的經驗
[00:02:25.500 --> 00:02:29.500]  經驗和理論都靠不住
[00:02:29.500 --> 00:02:35.500]  我們唯一的準則是神的話
[00:02:35.500 --> 00:02:39.500]  我們要站立在神的話上
[00:02:39.500 --> 00:02:44.500]  這樣我們就有一個很穩當的根基
[00:02:44.500 --> 00:02:48.500]  永遠不會動搖
[00:02:49.500 --> 00:02:54.000]  今天我們要在新約看
[00:02:54.000 --> 00:02:59.500]  在《石頭行傳》以外的地方
[00:02:59.500 --> 00:03:03.000]  提到聖靈充滿的經文
[00:03:03.000 --> 00:03:08.000]  從其中領受信息
[00:03:08.000 --> 00:03:13.000]  聖經有很多地方提到聖靈
[00:03:13.000 --> 00:03:17.000]  和聖靈的工作
[00:03:18.000 --> 00:03:21.500]  但是講聖靈充滿的經文
[00:03:21.500 --> 00:03:26.500]  除了《石頭行傳》之外
[00:03:26.500 --> 00:03:28.500]  是少有的
[00:03:28.500 --> 00:03:33.500]  我們就把不多的幾處經文來查考
[00:03:33.500 --> 00:03:38.500]  第一處的經文
[00:03:38.500 --> 00:03:47.000]  是在羅馬書第五章第五節
[00:03:47.500 --> 00:03:50.000]  聖經說:盼望不至於受恥
[00:03:50.000 --> 00:03:52.000]  因為所賜給我們的聖靈
[00:03:52.000 --> 00:03:55.000]  將神的愛要灌在我們心裡
[00:03:55.000 --> 00:03:58.000]  這裡提到聖靈的工作
[00:03:58.000 --> 00:04:01.500]  又提到澆灌兩個字
[00:04:01.500 --> 00:04:05.000]  澆灌是豐富的意思
[00:04:05.000 --> 00:04:11.500]  所以和充滿是很自然的合在一起
[00:04:11.500 --> 00:04:16.000]  當聖靈充滿我們的時候
[00:04:16.000 --> 00:04:22.500]  就把神的愛澆灌在我們心裡
[00:04:22.500 --> 00:04:27.500]  我們心裡就充滿了神的愛
[00:04:27.500 --> 00:04:34.000]  這是聖靈充滿的一個很重要的果效
[00:04:34.000 --> 00:04:38.000]  我們要問
[00:04:38.000 --> 00:04:42.500]  這裡提到神的愛澆灌在我們心裡
[00:04:42.500 --> 00:04:44.500]  是什麼時候發生呢?
[00:04:44.500 --> 00:04:46.500]  上文告訴我們
[00:04:46.500 --> 00:04:49.500]  第三節和第四節
