
[00:00:00.000 --> 00:00:02.920]  今天是一個很特別的主日
[00:00:02.920 --> 00:00:05.640]  2017年1月1日
[00:00:05.640 --> 00:00:07.000]  第一個星期日
[00:00:07.000 --> 00:00:10.520]  就是我們三天第一個主日的崇拜
[00:00:10.520 --> 00:00:12.600]  大家進來禮堂
[00:00:12.600 --> 00:00:14.960]  你都會看到有什麼不同了呢
[00:00:14.960 --> 00:00:16.560]  2017年就有些不同了
[00:00:16.560 --> 00:00:22.000]  因為兩個教會主題的對聯都換了
[00:00:22.000 --> 00:00:23.240]  我們一起讀一讀好嗎
[00:00:23.240 --> 00:00:27.440]  2017年孫愛嘉的主題的一個方向
[00:00:27.440 --> 00:00:31.600]  「靈命根深,是命延深」
[00:00:31.600 --> 00:00:34.000]  今年我們都是以這兩個方向
[00:00:34.000 --> 00:00:37.840]  為我們一些重點的方向
[00:00:37.840 --> 00:00:40.480]  希望藉著今天這一段的經文
[00:00:40.480 --> 00:00:46.000]  即是寶樂的一些自白的分享和鼓勵
[00:00:46.000 --> 00:00:48.160]  也對我們有一些提醒
[00:00:48.160 --> 00:00:54.600]  究竟「靈命根深,是命延深」
[00:00:54.600 --> 00:00:56.800]  究竟具體的內容應該是怎樣呢
[00:00:56.800 --> 00:00:59.760]  或者最重要的精神是什麼呢
[00:00:59.760 --> 00:01:01.200]  在這一段的經文裏面
[00:01:01.200 --> 00:01:04.480]  記載在菲律賓書的第一章
[00:01:04.480 --> 00:01:06.560]  其實整個菲律賓書是寶樂
[00:01:06.560 --> 00:01:09.520]  在當時是因為信仰的緣故
[00:01:09.520 --> 00:01:10.800]  他被捉拿
[00:01:10.800 --> 00:01:13.520]  在坐牢的一個時候寫的
[00:01:13.520 --> 00:01:16.680]  在這個時候他等待著一個審訊
[00:01:16.680 --> 00:01:19.320]  這個審訊的結果可能他會被釋放
[00:01:19.320 --> 00:01:21.360]  也都可能因為信仰的緣故
[00:01:21.360 --> 00:01:26.160]  他要面對死亡的一個刑罰
[00:01:26.160 --> 00:01:27.400]  在這個時候
[00:01:27.400 --> 00:01:31.680]  他就說出自己一些很重要的心裏面的一些說話
[00:01:31.680 --> 00:01:36.120]  他可以說是貫徹整個的內容
[00:01:36.120 --> 00:01:39.880]  是貫徹他整個人生生命的方向
[00:01:39.880 --> 00:01:42.800]  就是他說無論我是什麼情況之下
[00:01:42.800 --> 00:01:46.640]  我都要讓耶穌的榮耀去彰顯出來
[00:01:46.640 --> 00:01:51.680]  去讓耶穌的寶貴讓人去知道
[00:01:51.680 --> 00:01:55.240]  在他自己面對最困難的時候
[00:01:55.240 --> 00:01:58.840]  他沒有去看見自己的處境
[00:01:58.840 --> 00:02:02.080]  他沒有擔心自己的將來
[00:02:02.080 --> 00:02:04.880]  他在同時去掛念的就是
[00:02:04.880 --> 00:02:07.840]  當時菲律賓教會的需要
[00:02:07.840 --> 00:02:09.640]  菲律賓教會的信徒
[00:02:09.640 --> 00:02:11.440]  那個屬靈的光景
[00:02:11.440 --> 00:02:13.680]  這個是他最關心的地方
[00:02:13.680 --> 00:02:16.840]  所以他有一個體會
[00:02:16.840 --> 00:02:20.640]  他繼續在地上有生命存在的時候
[00:02:20.640 --> 00:02:23.080]  是對菲律賓教會的信徒
[00:02:23.080 --> 00:02:24.640]  是有一個很大的好處
[00:02:24.640 --> 00:02:28.680]  所以他相信上帝會讓他繼續有生命的存留
[00:02:28.680 --> 00:02:31.120]  去幫助菲律賓的信徒
