
[00:00:00.000 --> 00:00:03.320]  今天我們繼續講傳道書的信息
[00:00:03.320 --> 00:00:07.160]  傳道書其實有12章的聖經,不是很多
[00:00:07.160 --> 00:00:11.260]  整個傳道書基本上是分開三部分
[00:00:11.260 --> 00:00:14.600]  第一部分是第一章到第四章
[00:00:14.600 --> 00:00:15.880]  那裡說到
[00:00:15.880 --> 00:00:18.440]  如果一個人沒有上帝
[00:00:18.440 --> 00:00:21.760]  他以為可以追求今生的物質的生活
[00:00:21.760 --> 00:00:25.860]  越擁有多的物質生活就等於越快樂
[00:00:25.860 --> 00:00:27.400]  越得到滿足
[00:00:27.640 --> 00:00:30.720]  傳道者說最後你都會得不到快樂
[00:00:30.720 --> 00:00:32.240]  傳道者其實在說
[00:00:32.240 --> 00:00:35.060]  人唯有在敬畏上帝的心態裡面
[00:00:35.060 --> 00:00:38.140]  去享受上帝賜給我們這一份人生
[00:00:38.140 --> 00:00:42.480]  人才會有一個相對滿足的生命
[00:00:42.480 --> 00:00:46.840]  在第二部分的第五章到第八章
[00:00:46.840 --> 00:00:50.940]  那裡探討什麼是敬畏上帝的態度
[00:00:50.940 --> 00:00:52.980]  在第三部分
[00:00:53.240 --> 00:00:58.620]  第九章至十二章,當我們有一個敬畏上帝的心態之下
[00:00:58.620 --> 00:01:01.180]  我們在具體的人生裡面
[00:01:01.180 --> 00:01:05.280]  究竟我們應該存著什麼態度繼續去過生活
[00:01:05.280 --> 00:01:08.860]  今天我們來講第二部分的其中一個章節
[00:01:08.860 --> 00:01:10.900]  第二部分的第五章
[00:01:10.900 --> 00:01:14.240]  就是講什麼是敬畏上帝的態度
[00:01:14.240 --> 00:01:17.040]  就是聆聽上帝的吩咐
[00:01:17.040 --> 00:01:20.380]  在生活上過一個正直的人生
[00:01:20.840 --> 00:01:24.940]  並且在世上享受上帝賜給我們這一份的生活
[00:01:24.940 --> 00:01:27.760]  一份的人生,好好地去享受
[00:01:27.760 --> 00:01:30.580]  接著在第六章至第八章
[00:01:30.580 --> 00:01:32.380]  繼續去處理
[00:01:32.380 --> 00:01:34.920]  什麼叫做敬畏上帝
[00:01:34.920 --> 00:01:36.980]  在傳統裡面
[00:01:36.980 --> 00:01:40.300]  當時猶太人有一個思想
[00:01:40.300 --> 00:01:41.840]  當我敬畏上帝
[00:01:41.840 --> 00:01:43.640]  接著我就會行義
[00:01:43.640 --> 00:01:45.940]  我行義我就會有福
[00:01:45.940 --> 00:01:50.280]  所以是行義就會得到福氣
[00:01:50.540 --> 00:01:52.600]  而這個福是地上的福
[00:01:52.600 --> 00:01:55.920]  就是說我擁有很多兒女
[00:01:55.920 --> 00:01:59.760]  我擁有很多金錢的物質生活,這個就是福
[00:01:59.760 --> 00:02:04.360]  但是傳道者其實在處理第六章至第八章
[00:02:04.360 --> 00:02:07.440]  就是處理行義得福的問題
[00:02:07.440 --> 00:02:10.520]  透過更深去探討這個問題
[00:02:10.520 --> 00:02:13.080]  以致正面去看
[00:02:13.080 --> 00:02:15.120]  什麼叫做敬畏上帝
[00:02:15.120 --> 00:02:17.940]  第六章的第一至第九節
[00:02:17.940 --> 00:02:19.720]  是講到什麼是福
[00:02:20.240 --> 00:02:22.800]  傳統來說就是很多的子女
[00:02:22.800 --> 00:02:24.340]  很多的物質生活
[00:02:24.340 --> 00:02:25.880]  這樣就是福了
[00:02:25.880 --> 00:02:27.680]  但是傳道者說
[00:02:27.680 --> 00:02:30.480]  當你有很長壽
[00:02:30.480 --> 00:02:32.780]  當你有很多的子女
[00:02:32.780 --> 00:02:34.840]  當你有很豐富的物質生活
[00:02:34.840 --> 00:02:36.380]  是不是福呢?不是
