
[00:00:00.000 --> 00:00:04.000]  剛才我們讀過的第一章第十五節到二十三節
[00:00:04.000 --> 00:00:06.000]  當你小心看的時候
[00:00:06.000 --> 00:00:08.000]  你就會發覺這一段經文
[00:00:08.000 --> 00:00:10.000]  是我們基督教的信仰
[00:00:10.000 --> 00:00:13.000]  一個最核心的部分
[00:00:13.000 --> 00:00:17.000]  是描寫耶穌基督的至尊榮的身份
[00:00:17.000 --> 00:00:19.000]  祂是創造天地的主
[00:00:19.000 --> 00:00:21.000]  也是至尊榮的上帝
[00:00:21.000 --> 00:00:24.000]  我記得當我再看回剛才說到
[00:00:24.000 --> 00:00:27.000]  門徒和主耶穌在一個小船上面
[00:00:27.000 --> 00:00:30.000]  當時起了大風浪 大家記得嗎?
[00:00:30.000 --> 00:00:33.000]  因此一些門徒很驚慌叫醒耶穌
[00:00:33.000 --> 00:00:35.000]  「耶穌救命啊!」
[00:00:35.000 --> 00:00:38.000]  當時耶穌做了什麼事呢?
[00:00:38.000 --> 00:00:41.000]  祂就斥責風和浪
[00:00:41.000 --> 00:00:45.000]  然後聖經就說風浪是大大的紫色
[00:00:45.000 --> 00:00:48.000]  不單止紫色 而且是大大的紫色
[00:00:48.000 --> 00:00:50.000]  一個很大的對比
[00:00:50.000 --> 00:00:54.000]  本來是風濤駭浪 突然間完全的平靜
[00:00:54.000 --> 00:00:56.000]  因此當時的人很驚訝
[00:00:56.000 --> 00:00:59.000]  聖經就說他們眾人都甚稀奇
[00:00:59.000 --> 00:01:02.000]  然後他們就說應該是誰來的呢?
[00:01:02.000 --> 00:01:07.000]  為什麼連風和浪都聽他的吩咐呢?
[00:01:07.000 --> 00:01:11.000]  主耶穌基督不單止能夠吩咐風和浪
[00:01:11.000 --> 00:01:17.000]  祂是吩咐整個宇宙窮滄 四時運轉
[00:01:17.000 --> 00:01:20.000]  因為祂是天地的創造者
[00:01:20.000 --> 00:01:23.000]  當聖經裏面講述一些真理的時候
[00:01:23.000 --> 00:01:26.000]  我們留心不要單單是一些理念
