
[00:00:00.000 --> 00:00:04.120]  大家會知道今天是三月二十八日
[00:00:04.120 --> 00:00:08.120]  亦是這個季度最後一次的講道
[00:00:08.120 --> 00:00:09.720]  這段時間大家都知道
[00:00:09.720 --> 00:00:13.880]  我們同心思想到靈明的復興
[00:00:13.880 --> 00:00:16.080]  如何追求有活潑的靈性呢?
[00:00:16.080 --> 00:00:19.400]  是我們過去三個月不斷探索和討論的
[00:00:19.400 --> 00:00:21.360]  當中我們討論到如何能夠
[00:00:21.360 --> 00:00:24.560]  「教徒留心培育自己的生命」
[00:00:24.560 --> 00:00:29.520]  如何能夠很小心地交託心中的憂慮
[00:00:29.520 --> 00:00:32.920]  亦學習小心地聽從神等等
[00:00:32.920 --> 00:00:34.360]  在當中亦很重要
[00:00:34.360 --> 00:00:37.960]  幫助我們能夠建立活潑的靈性
[00:00:37.960 --> 00:00:39.880]  但來到最後一個講題的時候
[00:00:39.880 --> 00:00:42.640]  我們不可以不提出
[00:00:42.640 --> 00:00:43.800]  弟兄姊妹
[00:00:43.800 --> 00:00:47.680]  我們都在一個屬靈的戰場上
[00:00:47.680 --> 00:00:52.160]  我們面對著很真實的屬靈攻擊
[00:00:52.160 --> 00:00:56.200]  你和我都要常常警覺著這種屬靈攻擊
[00:00:56.200 --> 00:00:58.120]  以致我們能夠防範
[00:00:58.120 --> 00:01:01.200]  能夠不致因此跌倒
[00:01:01.200 --> 00:01:03.960]  因此我們明白了如何追求靈明的復興
[00:01:03.960 --> 00:01:06.160]  追求活潑的靈性之餘
[00:01:06.160 --> 00:01:08.520]  更加要小心上上察覺到
[00:01:08.520 --> 00:01:11.080]  周圍一個屬靈攻擊的環境
[00:01:11.080 --> 00:01:12.600]  以致我們能夠防範
[00:01:12.600 --> 00:01:14.120]  能夠站立得住
[00:01:14.120 --> 00:01:16.560]  所以今天我們要討論的問題就是
[00:01:16.560 --> 00:01:19.840]  如何能夠在面對著這個屬靈的爭戰當中
[00:01:19.840 --> 00:01:23.120]  我們能夠站穩
[00:01:23.120 --> 00:01:24.480]  我和大家先分享一件事情
[00:01:24.480 --> 00:01:25.880]  在上一個星期
[00:01:25.880 --> 00:01:29.680]  我剛剛有機會到國內做一些培訓的工作
[00:01:29.680 --> 00:01:32.760]  星期四完成了幾天的培訓
[00:01:32.760 --> 00:01:34.800]  心裡有一種安定
[00:01:34.800 --> 00:01:36.400]  覺得可以休息一下
[00:01:36.400 --> 00:01:38.520]  那一晚就休息睡覺
[00:01:38.520 --> 00:01:40.360]  預備明天回香港
[00:01:40.360 --> 00:01:42.240]  我心裡都很想念回到香港
[00:01:42.240 --> 00:01:44.080]  星期五、星期六的晚上
[00:01:44.080 --> 00:01:45.920]  有兩晚的報道會
[00:01:45.920 --> 00:01:47.680]  是關於家庭組曲
[00:01:47.680 --> 00:01:48.920]  是談及關於福音
[00:01:48.920 --> 00:01:52.360]  如何回應家庭需要的訊息
[00:01:52.360 --> 00:01:53.880]  在星期四的晚上
[00:01:53.880 --> 00:01:56.440]  我就很安心地睡覺
[00:01:56.440 --> 00:01:58.320]  但睡覺的時候很奇怪
[00:01:58.320 --> 00:02:01.240]  不知為何發了很多惡夢
[00:02:01.240 --> 00:02:05.080]  惡夢當中有很多是關乎我和我太太
[00:02:05.080 --> 00:02:08.920]  我發覺惡夢當中和太太爭吵
[00:02:08.920 --> 00:02:10.000]  很不開心
[00:02:10.000 --> 00:02:11.240]  醒來的時候
[00:02:11.240 --> 00:02:12.760]  為何會這樣呢?
[00:02:12.760 --> 00:02:14.080]  突然有一種感覺
[00:02:14.080 --> 00:02:16.000]  我如何可以聽晚上和晚上
[00:02:16.000 --> 00:02:19.120]  講家庭的訊息呢?
[00:02:19.120 --> 00:02:20.160]  但我心裡想起
[00:02:20.160 --> 00:02:21.080]  我很感謝神
[00:02:21.080 --> 00:02:22.040]  過去這麼多年
[00:02:22.040 --> 00:02:24.400]  我很少和太太爭吵
[00:02:24.400 --> 00:02:25.920]  也在過去幾天
[00:02:25.920 --> 00:02:27.720]  我都沒有機會和太太見面
[00:02:27.720 --> 00:02:30.680]  也沒有發生過什麼摩擦的事情
[00:02:30.680 --> 00:02:33.760]  為何會突然間發出這樣的惡夢呢?
[00:02:33.760 --> 00:02:35.120]  我當時心中感覺
