
[00:00:00.000 --> 00:00:04.720]  我們翻開剛才讀過的《約翰福音》第四章經文
[00:00:04.720 --> 00:00:09.080]  我們提思上主耶穌給我們寶貴的一個訊息
[00:00:09.080 --> 00:00:12.200]  就是祂要賜下活水的存緣
[00:00:12.200 --> 00:00:14.200]  在我們的生命當中
[00:00:14.200 --> 00:00:16.280]  我想起水
[00:00:16.280 --> 00:00:17.680]  我就想起一件事情
[00:00:17.680 --> 00:00:21.320]  在幾年之前有一次飲宴的時間
[00:00:21.320 --> 00:00:25.280]  在當時的圍枱有一對夫婦
[00:00:25.280 --> 00:00:29.400]  其中他們的小朋友都帶來一起參加飲宴
[00:00:30.000 --> 00:00:31.520]  這位小朋友一開始的時候
[00:00:31.520 --> 00:00:35.400]  他就很想要求父母一件事情
[00:00:35.400 --> 00:00:37.400]  就是給他一杯汽水
[00:00:37.400 --> 00:00:40.200]  十六哥最開心在飲宴的時候
[00:00:40.200 --> 00:00:42.200]  是可以不斷添汽水
[00:00:42.200 --> 00:00:45.200]  一開始就要求拿一杯大汽水
[00:00:45.200 --> 00:00:47.000]  父母就答應了他
[00:00:47.000 --> 00:00:49.800]  一來到之後就喝盡一杯汽水
[00:00:49.800 --> 00:00:52.800]  喝完之後很高興很滿足
[00:00:52.800 --> 00:00:55.400]  接著飯菜來了
[00:00:55.400 --> 00:00:57.000]  他似乎沒什麼興趣
[00:00:57.000 --> 00:00:58.800]  覺得已經很滿足了
[00:00:58.800 --> 00:01:00.200]  就到處走
[00:01:00.200 --> 00:01:02.200]  父母怎麼拉他都不肯坐下
[00:01:02.200 --> 00:01:05.600]  因為他覺得不用吃這些菜
[00:01:05.600 --> 00:01:09.800]  這件事情都記憶在我心裡面
[00:01:09.800 --> 00:01:11.800]  我就想起很多時候
[00:01:11.800 --> 00:01:14.600]  我們都有一些類似的經歷
[00:01:14.600 --> 00:01:18.200]  成年人當我們成長了之後
[00:01:18.200 --> 00:01:20.200]  有些時候都會感覺
[00:01:20.200 --> 00:01:23.800]  如果能夠喝到一杯汽水就滿足了
[00:01:23.800 --> 00:01:25.400]  我的意思是說
[00:01:25.400 --> 00:01:30.200]  有些時候我們會當一些生活上的物質需要
[00:01:30.200 --> 00:01:33.200]  只要我有這一樣東西
[00:01:33.200 --> 00:01:35.400]  得到這種東西
[00:01:35.400 --> 00:01:37.000]  我就滿足了
[00:01:37.000 --> 00:01:41.000]  所以各方面盡力拼搏追尋
[00:01:41.000 --> 00:01:43.200]  以至能夠得到那種滿足
[00:01:43.200 --> 00:01:46.800]  得到的時候有些時候會覺得稍微有些滿足
[00:01:46.800 --> 00:01:48.400]  但是很快就又發覺
[00:01:48.400 --> 00:01:50.400]  又好像不樂於事
[00:01:50.400 --> 00:01:53.600]  心裡還是好像有些空虛的感覺
[00:01:54.000 --> 00:01:56.200]  但是心裡面仍然不知道
[00:01:56.200 --> 00:01:58.200]  以為繼續再尋找
[00:01:58.200 --> 00:01:59.600]  繼續再尋找
[00:01:59.600 --> 00:02:01.600]  只要喝到汽水
[00:02:01.600 --> 00:02:03.600]  就可以滿足了
[00:02:03.600 --> 00:02:06.800]  當《證經》裡面講述到主耶穌
[00:02:06.800 --> 00:02:08.600]  祂來到世上的時候
[00:02:08.600 --> 00:02:11.000]  很清楚讓我們知道一件事
[00:02:11.000 --> 00:02:16.000]  祂面臨我們不要單單尋求物質的滿足
[00:02:16.000 --> 00:02:20.600]  讓我們知道其實人最大的需要是心靈的滿足
[00:02:20.600 --> 00:02:22.200]  而祂告訴我們知道
[00:02:22.200 --> 00:02:23.800]  祂要賜給我們的
[00:02:23.800 --> 00:02:26.800]  不單單是好像一些生活上的供應
[00:02:26.800 --> 00:02:31.400]  更加要將活水全元賜給我們
[00:02:31.400 --> 00:02:35.600]  讓我們的生命經歷一種真實的生命的滿足
[00:02:35.600 --> 00:02:38.600]  而且直至到去永遠
[00:02:38.600 --> 00:02:41.800]  因此你會發覺當主耶穌講述到
[00:02:41.800 --> 00:02:44.800]  祂自己給人的恩賜的時候
[00:02:44.800 --> 00:02:48.000]  祂就在一段經文特別跟我們講
[00:02:48.000 --> 00:02:51.600]  祂要賜下活水全元
[00:02:51.600 --> 00:02:54.200]  大家一起來看看《聖經》
[00:02:54.200 --> 00:02:57.600]  在《聖經》第四章剛才我們讀過的一段經文
[00:02:57.600 --> 00:03:01.400]  提到上帝在一個地方
[00:03:01.400 --> 00:03:04.000]  我們稱為現在大家看到是
[00:03:04.000 --> 00:03:07.400]  《聖經》講到撒瑪利亞城的一座城
[00:03:07.400 --> 00:03:09.000]  叫做「聚迦」
[00:03:09.000 --> 00:03:12.400]  在這個地方主耶穌遇見一位撒瑪利亞的女士
