
[00:00:00.000 --> 00:00:02.680]  如果你看課程大綱
[00:00:02.680 --> 00:00:04.040]  你就知道這六堂
[00:00:04.040 --> 00:00:05.560]  我將它分為兩半的
[00:00:05.560 --> 00:00:07.440]  首先三堂
[00:00:07.440 --> 00:00:10.440]  我會跟大家說這個救恩的理論
[00:00:10.440 --> 00:00:11.720]  救恩論
[00:00:11.720 --> 00:00:13.440]  然後後三堂
[00:00:13.440 --> 00:00:15.440]  跟大家說的是基督論
[00:00:15.440 --> 00:00:16.960]  剛才說過
[00:00:16.960 --> 00:00:18.800]  這兩個的部分
[00:00:18.800 --> 00:00:20.520]  我都會從一些歷史
[00:00:20.520 --> 00:00:22.840]  就是說歷代不同的神學家的看法
[00:00:22.840 --> 00:00:23.640]  做出發點
[00:00:23.640 --> 00:00:27.120]  然後再將它帶到現代的意義上
[00:00:27.120 --> 00:00:30.440]  這個是我們整個課程想做的事情
[00:00:30.440 --> 00:00:32.800]  我們開始之前一起先祈禱
[00:00:32.800 --> 00:00:38.600]  我們主我們的救主
[00:00:38.600 --> 00:00:39.640]  我們感謝你
[00:00:39.640 --> 00:00:43.000]  我們今天坐在這裡的人
[00:00:43.000 --> 00:00:44.920]  欣賞你自己的恩典
[00:00:44.920 --> 00:00:47.880]  欣賞你自己十字架想成就的功勞
[00:00:47.880 --> 00:00:50.040]  欣賞你自己的道成肉身
[00:00:50.040 --> 00:00:51.760]  我們能夠明白
[00:00:51.760 --> 00:00:53.520]  能夠開始去
[00:00:54.440 --> 00:00:57.480]  努力去參透你自己給我們的奧秘
[00:00:57.480 --> 00:01:01.640]  主讓你的救恩是多麼的簡單清楚
[00:01:01.640 --> 00:01:04.440]  但是又多麼的豐富和深奧
[00:01:04.440 --> 00:01:07.200]  在遠超過我們所能夠明白
[00:01:07.200 --> 00:01:10.160]  也是每一個世人都能夠明白和接受
[00:01:10.160 --> 00:01:13.960]  在每逢我們想像到這種奇妙的事情
[00:01:13.960 --> 00:01:17.640]  還在心裡不禁的羨慕你自己的真理
[00:01:17.640 --> 00:01:20.440]  我們求主直撞這六次的聚會
[00:01:20.440 --> 00:01:22.080]  開我們的眼睛
[00:01:22.440 --> 00:01:24.440]  讓我們看到你自己的奧秘
[00:01:24.440 --> 00:01:26.760]  又讓我們所能夠了解的
[00:01:26.760 --> 00:01:28.920]  真的進到我們的生命當中
[00:01:28.920 --> 00:01:32.000]  加深我們對你自己的救恩那種回應
[00:01:32.000 --> 00:01:35.480]  加深我們對未信的人的熱切
[00:01:35.480 --> 00:01:38.720]  加深我們傳福音過程當中的把握
[00:01:38.720 --> 00:01:40.880]  奉耶穌的名祈禱
[00:01:40.880 --> 00:01:41.640]  阿們
[00:01:41.640 --> 00:01:45.080]  今晚所說的相當多
[00:01:45.080 --> 00:01:50.840]  所以我不會太浪費時間留在任何一點上
[00:01:51.040 --> 00:01:54.080]  不過我希望給大家一個清楚的藍圖
[00:01:54.080 --> 00:01:58.200]  救恩就很簡單而已
[00:01:58.200 --> 00:01:59.400]  幾句就說完了
[00:01:59.400 --> 00:02:02.160]  人犯罪離開神
[00:02:02.160 --> 00:02:05.120]  然後呢
[00:02:05.120 --> 00:02:07.560]  當人仍然背逆神的時候
[00:02:07.560 --> 00:02:09.240]  神就主動的
[00:02:09.240 --> 00:02:11.360]  用祂自己的方法
[00:02:11.360 --> 00:02:12.760]  設立了這個救恩
[00:02:12.760 --> 00:02:16.120]  就是神自己親自的道成肉身
[00:02:16.120 --> 00:02:16.960]  成為人
[00:02:16.960 --> 00:02:18.440]  在這個世上
[00:02:18.440 --> 00:02:19.800]  然後
