
[00:00:00.000 --> 00:00:03.600]  當兄弟要到達仰望府的時候
[00:00:03.600 --> 00:00:07.700]  當兄弟為了港臺要投靠仰望主的時候
[00:00:07.700 --> 00:00:09.400]  我心裏有一個感動
[00:00:09.400 --> 00:00:12.200]  我心裏面有一個感動
[00:00:12.200 --> 00:00:16.700]  我想到一個基督徒最寶貴的一件事
[00:00:16.700 --> 00:00:19.700]  我想到一個基督徒最寶貴的一件事
[00:00:19.700 --> 00:00:23.200]  就是靈性逐漸的提高
[00:00:23.200 --> 00:00:25.600]  就是靈性逐漸的提高
[00:00:25.600 --> 00:00:28.700]  繼續要有一個追求的心智
[00:00:28.700 --> 00:00:31.000]  繼續要有一個追求的心智
[00:00:31.000 --> 00:00:34.000]  向著恩典的高處追求
[00:00:34.000 --> 00:00:37.400]  向著恩典的高處來追求
[00:00:37.400 --> 00:00:40.400]  我們在聖經裏面看見丹麗麗
[00:00:40.400 --> 00:00:42.800]  我們在聖經裏面看見丹麗麗
[00:00:42.800 --> 00:00:45.200]  在她大概九十歲的時候
[00:00:45.200 --> 00:00:47.400]  在她大概九十歲的時候
[00:00:47.400 --> 00:00:50.800]  仍然將她住的地方的窗戶打開
[00:00:50.800 --> 00:00:53.800]  仍然將她住的地方的窗戶打開
[00:00:53.800 --> 00:00:56.400]  面向雙窗耶路撒冷
[00:00:56.400 --> 00:00:58.800]  面向雙窗耶路撒冷
[00:00:58.800 --> 00:01:02.800]  一日三次禱告
[00:01:02.800 --> 00:01:04.800]  像受寵一樣
[00:01:04.800 --> 00:01:06.700]  像受寵一樣
[00:01:06.700 --> 00:01:08.300]  年紀雖然大了
[00:01:08.300 --> 00:01:09.700]  年紀雖然大了
[00:01:09.700 --> 00:01:12.400]  但是心靈的追求
[00:01:12.400 --> 00:01:13.600]  但是心靈的追求
[00:01:13.600 --> 00:01:17.100]  充斥負擔的程度仍然不在
[00:01:17.100 --> 00:01:19.300]  但是在心靈裏面的追求
[00:01:19.300 --> 00:01:21.800]  充斥負擔仍然不在
[00:01:21.800 --> 00:01:25.800]  所以才使我們這樣追求的心智
[00:01:25.800 --> 00:01:29.000]  甚至於我們這樣追求的心智
[00:01:29.000 --> 00:01:30.400]  我們在追求的時候
[00:01:30.400 --> 00:01:32.200]  我們在追求的時候
[00:01:32.200 --> 00:01:34.700]  就逐漸到了靈性的高處
[00:01:34.700 --> 00:01:37.200]  就逐漸到了靈性的高處
[00:01:37.200 --> 00:01:38.300]  那麼我們要問
[00:01:38.300 --> 00:01:39.600]  那麼我們要問
[00:01:39.600 --> 00:01:42.700]  靈性的高處是怎樣的情形呢?
[00:01:42.700 --> 00:01:45.600]  那靈性高處是怎樣的情形呢?
[00:01:45.600 --> 00:01:47.500]  就是每天晚上
[00:01:47.500 --> 00:01:50.300]  我們要在空間裏面領受的
[00:01:50.300 --> 00:01:54.200]  就是每天晚上我們要在聖經裏面領受的
[00:01:54.200 --> 00:01:57.400]  在聖經裏面提到很多的山
[00:01:57.400 --> 00:01:59.900]  在聖經裏面提到很多的山
[00:01:59.900 --> 00:02:02.000]  其中有十四座山
[00:02:02.000 --> 00:02:03.400]  是特別的
[00:02:03.400 --> 00:02:06.000]  其中有十四座山是特別的
[00:02:06.000 --> 00:02:08.600]  因為在這些山頭上
[00:02:08.600 --> 00:02:11.300]  曾經發生很特別的事
[00:02:11.300 --> 00:02:13.200]  因為在這些山頭上
[00:02:13.200 --> 00:02:15.500]  曾經發生很特別的事
[00:02:15.500 --> 00:02:18.400]  這些事好像一幅一幅的圖畫
[00:02:18.400 --> 00:02:21.300]  這些事好像一幅一幅的圖畫
[00:02:21.300 --> 00:02:25.900]  把靈性高處的情況向我們表達出來
[00:02:25.900 --> 00:02:30.000]  把靈性高深的景況向我們表達出來
[00:02:30.000 --> 00:02:31.700]  一幅一幅的圖畫
[00:02:31.700 --> 00:02:36.400]  把靈性高處的情形向我們表達出來
[00:02:36.400 --> 00:02:38.200]  一幅一幅的圖畫
[00:02:38.200 --> 00:02:42.600]  將我們靈性的深處表達出來
[00:02:42.600 --> 00:02:45.800]  我們要在這十天的晚上
[00:02:45.800 --> 00:02:48.600]  領受這十四座山上
[00:02:48.600 --> 00:02:51.600]  所發生的事情的靈性
[00:02:51.600 --> 00:02:54.100]  我們在這十個晚上
[00:02:54.100 --> 00:02:58.100]  把這十四座山的靈性的高處
[00:02:58.100 --> 00:03:01.200]  逐一的發表出來
[00:03:01.200 --> 00:03:03.400]  今天晚上我們要看
[00:03:03.400 --> 00:03:03.400]  今天晚上我們要看
[00:03:03.400 --> 00:03:04.700]  西乃山
[00:03:04.700 --> 00:03:08.200]  今天晚上我們所要看的就是西乃山
[00:03:08.200 --> 00:03:12.600]  我們不是要看西乃山下百姓的經歷
[00:03:12.600 --> 00:03:15.700]  我們不是要看西乃山下百姓的經歷
[00:03:15.700 --> 00:03:19.700]  我們是要看西乃山上摩西的經歷
[00:03:19.700 --> 00:03:23.200]  我們是要看西乃山上摩西的經歷
[00:03:23.200 --> 00:03:25.300]  當摩西上山的時候
