
[00:00:00.000 --> 00:00:04.560]  大家再看聖經羅馬書第一第二章
[00:00:04.560 --> 00:00:12.280]  我們今天嘗試從人權的角度思想經文
[00:00:12.280 --> 00:00:16.000]  但在看聖經前我先和大家分享幾個重點
[00:00:16.000 --> 00:00:21.920]  大家會回想過去的一個世紀二十世紀
[00:00:21.920 --> 00:00:28.120]  很多人都說二十世紀充滿著各種暴力、戰爭
[00:00:28.400 --> 00:00:30.760]  及違反人權的事情
[00:00:30.760 --> 00:00:33.400]  最明顯的大家一定會記得
[00:00:33.400 --> 00:00:37.080]  在二十世紀裡的兩次世界大戰
[00:00:37.080 --> 00:00:41.120]  兩次大戰一些統計發現
[00:00:41.120 --> 00:00:44.840]  最少有六千萬人在當中死亡
[00:00:44.840 --> 00:00:48.880]  你可以想一想香港有七百萬人口
[00:00:48.880 --> 00:00:53.160]  差不多是十倍香港人口的數目的人
[00:00:53.160 --> 00:00:55.800]  在兩次戰爭當中死亡
[00:00:56.560 --> 00:00:59.080]  不單是兩次戰爭其實在後期
[00:00:59.080 --> 00:01:02.880]  1973年在蘇聯裡面的地方
[00:01:02.880 --> 00:01:06.880]  在英國國家裡面有另外的六千萬人喪生
[00:01:06.880 --> 00:01:09.560]  基於很多國家裡面的內戰
[00:01:09.560 --> 00:01:13.680]  及很多政權的變異過程當中死亡的人
[00:01:13.680 --> 00:01:17.240]  很多的生命在裡面消失了
[00:01:17.240 --> 00:01:20.240]  當然最近大家可能都會留意到
[00:01:20.240 --> 00:01:21.640]  最近有報導
[00:01:21.800 --> 00:01:24.280]  就是過去的赤柬的領袖
[00:01:24.280 --> 00:01:26.800]  在國際法庭受審的新聞
[00:01:26.800 --> 00:01:30.160]  1975年到1979年
[00:01:30.160 --> 00:01:33.680]  在赤柬統治柬埔寨的過程裡面
[00:01:33.680 --> 00:01:37.880]  超過三百萬的人在過程當中死亡
[00:01:37.880 --> 00:01:42.000]  如果你有機會去過柬埔寨
[00:01:42.000 --> 00:01:43.600]  去金邊旅遊的時候
