
[00:00:00.000 --> 00:00:03.400]  大家都會感受到問題其實是很廣泛
[00:00:03.400 --> 00:00:06.000]  在不同的傳媒當中是出現的
[00:00:06.000 --> 00:00:10.900]  所以當一班基督徒成立一些反色情文化的活動的時候
[00:00:10.900 --> 00:00:13.800]  他們用一個term叫「色情文化」
[00:00:13.800 --> 00:00:17.200]  當然他們用這個字的意思是意味著
[00:00:17.200 --> 00:00:19.400]  這些影響是很普遍
[00:00:19.400 --> 00:00:22.600]  好像成為了我們文化的一部分
[00:00:22.600 --> 00:00:24.400]  不過今早有一位弟兄
[00:00:24.400 --> 00:00:26.400]  也是一位中文老師提醒我
[00:00:26.400 --> 00:00:29.600]  他說如果我們用「色情文化」這個字
[00:00:29.600 --> 00:00:32.200]  文化是一種肯定的意味
[00:00:32.200 --> 00:00:37.200]  意思就是說我們接納它成為我們生活環境的一部分
[00:00:37.200 --> 00:00:39.800]  但是大家都會明白
[00:00:39.800 --> 00:00:42.600]  我們只是指出這個影響的深廣
[00:00:42.600 --> 00:00:46.000]  絕不是一個肯定的角度去看回色情文化
[00:00:46.000 --> 00:00:48.400]  或者我們應該說是色情的歪風
[00:00:48.400 --> 00:00:51.600]  是更加表達了我內心的一種看法
[00:00:51.600 --> 00:00:54.600]  但是這個正因為這麼廣泛
[00:00:54.600 --> 00:00:58.200]  我們有時候會不經意地接受了
[00:00:58.200 --> 00:01:00.800]  認為是一個正常的一部分
[00:01:00.800 --> 00:01:01.800]  我講一個例子就是
[00:01:01.800 --> 00:01:05.600]  我曾經在非洲肯亞來訪問宣教士
[00:01:05.600 --> 00:01:08.000]  去到那裡的時候我突然間發覺
[00:01:08.000 --> 00:01:10.600]  當地的女性是很威猛的
[00:01:10.600 --> 00:01:12.000]  為什麼這樣說呢
[00:01:12.000 --> 00:01:15.800]  就是因為當地的男士不做家務不得了
[00:01:15.800 --> 00:01:20.000]  是不做田務、不做農作的工作
[00:01:20.000 --> 00:01:21.800]  當我去到田間的時候
[00:01:21.800 --> 00:01:25.800]  坐地的、背重的柴全部都是女性
[00:01:26.200 --> 00:01:28.800]  我到處找男性在哪裡呢
[00:01:28.800 --> 00:01:31.800]  原來他們三五成群都在打架、聊天
[00:01:31.800 --> 00:01:35.200]  整個文化就是覺得
[00:01:35.200 --> 00:01:38.400]  一切的勞力工作都應該是女性做的
[00:01:38.400 --> 00:01:40.800]  而一個男性在當中很自然就認為
[00:01:40.800 --> 00:01:42.600]  我應該坐在這裡享受
[00:01:42.600 --> 00:01:44.200]  聊天、聊天
[00:01:44.200 --> 00:01:46.200]  這樣就可以消磨一天了
[00:01:46.200 --> 00:01:50.000]  所以我們看回一些我們所身處的環境的時候
[00:01:50.000 --> 00:01:51.400]  我們很需要
[00:01:51.400 --> 00:01:53.200]  我自己覺得就是
[00:01:53.200 --> 00:01:55.800]  更加幫自己有一個更敏銳的
[00:01:55.800 --> 00:01:57.200]  一個分辨
[00:01:57.200 --> 00:01:59.400]  也就是剛才所說的批判的能力
[00:01:59.400 --> 00:02:01.200]  能夠不讓這個環境
[00:02:01.200 --> 00:02:04.800]  拖著我們走
[00:02:04.800 --> 00:02:06.400]  失去自己的立場
[00:02:06.400 --> 00:02:09.200]  同樣我也會覺得
[00:02:09.200 --> 00:02:12.200]  我們教徒雖然我們有一個屬靈的生命
[00:02:12.200 --> 00:02:14.800]  但是沒有一個人是在這些事情的
[00:02:14.800 --> 00:02:18.000]  試探、陷阱當中免疫的
[00:02:18.000 --> 00:02:20.200]  無論每一個教徒
[00:02:20.200 --> 00:02:21.600]  他靈性怎麼樣
[00:02:21.600 --> 00:02:23.400]  都會有可能
[00:02:23.400 --> 00:02:25.600]  承受著這些試探的時候
[00:02:25.600 --> 00:02:26.800]  是會跌倒的
[00:02:26.800 --> 00:02:28.200]  所以我自己作為一個牧師
[00:02:28.200 --> 00:02:29.600]  我也不敢放輕這方面
[00:02:29.600 --> 00:02:32.200]  也常常為自己這方面祈禱
[00:02:32.200 --> 00:02:34.400]  求神保護我、保守我
[00:02:34.400 --> 00:02:36.200]  因為我知道這些試探
[00:02:36.200 --> 00:02:39.000]  是可以在任何人的身上都會出現的
[00:02:39.000 --> 00:02:40.000]  而另一方面
[00:02:40.000 --> 00:02:42.400]  因為我們如果當中有些父母都會明白
[00:02:42.400 --> 00:02:44.600]  我們很多時候會很關心我們的子女
[00:02:44.600 --> 00:02:47.200]  怎樣受這些文化影響
[00:02:47.200 --> 00:02:49.000]  我很記得早一段時間
