
[00:00:00.000 --> 00:00:02.000]  大家都會記得我們在英國季度
[00:00:02.000 --> 00:00:04.000]  一直在思想著很多主耶穌
[00:00:04.000 --> 00:00:06.000]  祂給我們的榜樣
[00:00:06.000 --> 00:00:09.000]  我們提及我們是學校基督
[00:00:09.000 --> 00:00:12.000]  所以這段時間當我們思想到主耶穌的各方面的時候
[00:00:12.000 --> 00:00:15.000]  但我們不會單單聽了明白了
[00:00:15.000 --> 00:00:21.000]  而是常常思想我們怎樣來學像我們的主
[00:00:21.000 --> 00:00:23.000]  我們稱自己為基督徒
[00:00:23.000 --> 00:00:27.000]  自自我們的生命應當像主耶穌
[00:00:27.000 --> 00:00:30.000]  所以當我們今天講到主耶穌的禱告生活的時候
[00:00:30.000 --> 00:00:31.000]  也都幫助我們
[00:00:31.000 --> 00:00:33.000]  求神幫我們都能夠學主耶穌
[00:00:33.000 --> 00:00:36.000]  在禱告上追求
[00:00:36.000 --> 00:00:39.000]  我記得有一次我去到公園裡面
[00:00:39.000 --> 00:00:41.000]  做一些運動跑步
[00:00:41.000 --> 00:00:44.000]  我間中都會去公園跑步
[00:00:44.000 --> 00:00:50.000]  我記得那次我很小心留心周圍我看到的很多其他人
[00:00:50.000 --> 00:00:52.000]  我就發覺一個現象
[00:00:52.000 --> 00:00:55.000]  在公園神祖跑步或者運動的人
[00:00:55.000 --> 00:00:58.000]  你猜多數是哪些人呢
[00:00:58.000 --> 00:01:01.000]  大家不用說你都會知道
[00:01:01.000 --> 00:01:03.000]  很多是年長的
[00:01:03.000 --> 00:01:06.000]  或者是中年女士
[00:01:06.000 --> 00:01:09.000]  大多數是這一兩類的人
[00:01:09.000 --> 00:01:11.000]  我慢慢就感覺
[00:01:11.000 --> 00:01:14.000]  為什麼其他人不來呢
[00:01:14.000 --> 00:01:17.000]  很自然如果是中年男士
[00:01:17.000 --> 00:01:20.000]  可能大多都覺得很忙碌很多工作
[00:01:20.000 --> 00:01:23.000]  所以他們沒有時間來
[00:01:23.000 --> 00:01:25.000]  但當我再留心的時候
[00:01:25.000 --> 00:01:27.000]  我就突然遇到一位弟兄
[00:01:27.000 --> 00:01:29.000]  這位弟兄是中年弟兄
[00:01:29.000 --> 00:01:32.000]  他告訴我每天都會來做運動
[00:01:32.000 --> 00:01:36.000]  我就稱讚他很有紀律很有恆心
[00:01:36.000 --> 00:01:38.000]  他說不恆心是不行的
[00:01:38.000 --> 00:01:41.000]  因為我曾經有重的糖尿病
[00:01:41.000 --> 00:01:44.000]  很多的問題
[00:01:44.000 --> 00:01:46.000]  身體很不妥當
[00:01:46.000 --> 00:01:48.000]  醫生就說你還不做運動呢
[00:01:48.000 --> 00:01:49.000]  你很麻煩的
[00:01:49.000 --> 00:01:54.000]  所以他從此就提起決心來做運動
[00:01:54.000 --> 00:01:56.000]  我再一次意識
[00:01:56.000 --> 00:01:59.000]  原來一個人無論他什麼年紀都好
[00:01:59.000 --> 00:02:03.000]  當他意識到自己的需要
[00:02:03.000 --> 00:02:05.000]  他會做運動
[00:02:05.000 --> 00:02:08.000]  或者說從祈禱的角度來說
[00:02:08.000 --> 00:02:10.000]  當人很深刻地意識到
[00:02:10.000 --> 00:02:13.000]  自己每一天需要主的幫助
[00:02:13.000 --> 00:02:15.000]  很清楚知道
[00:02:15.000 --> 00:02:21.000]  罪惡對自己的攻擊是多麼的厲害
[00:02:21.000 --> 00:02:24.000]  他就不敢放鬆不去祈禱
[00:02:24.000 --> 00:02:27.000]  當人意識到自己的需要的時候
[00:02:27.000 --> 00:02:31.000]  他就會分別到時間去祈禱
[00:02:31.000 --> 00:02:34.000]  當我們看回主耶穌的榜樣的時候
[00:02:34.000 --> 00:02:36.000]  主耶穌當他在地上
[00:02:36.000 --> 00:02:38.000]  雖然他是基督他是神
[00:02:38.000 --> 00:02:39.000]  但當他在地上的時候
[00:02:39.000 --> 00:02:41.000]  他仍然很警醒地祈禱
[00:02:41.000 --> 00:02:42.000]  各位弟兄姊妹
[00:02:42.000 --> 00:02:45.000]  當你看見耶穌這樣祈禱的時候
[00:02:45.000 --> 00:02:47.000]  你絕對不可以說
[00:02:47.000 --> 00:02:48.000]  他是耶穌
[00:02:48.000 --> 00:02:51.000]  所以我很難跟著他這樣
[00:02:51.000 --> 00:02:53.000]  其實從這個角度來說
[00:02:53.000 --> 00:02:57.000]  連主耶穌一位天上的掌權者
[00:02:57.000 --> 00:02:59.000]  在地上的時候
[00:02:59.000 --> 00:03:01.000]  都這麼留心祈禱
[00:03:01.000 --> 00:03:03.000]  何況我們呢
[00:03:03.000 --> 00:03:06.000]  他這麼需要去為自己禱告
[00:03:06.000 --> 00:03:08.000]  為別人禱告
[00:03:08.000 --> 00:03:10.000]  我們豈不是更加需要警醒
[00:03:10.000 --> 00:03:12.000]  留心為自己祈禱
[00:03:12.000 --> 00:03:14.000]  為別人祈禱
[00:03:14.000 --> 00:03:15.000]  所以當我們思想到
