
[00:00:00.000 --> 00:00:05.600]  天父,我們感謝禰在繁忙的生活裡面
[00:00:05.600 --> 00:00:12.600]  禰賜給我們安靜的時間和地方來領受禰的話語
[00:00:12.600 --> 00:00:20.600]  我們懇求寶貴是聖靈帶領我們進入禰話語中的真理
[00:00:20.600 --> 00:00:26.600]  也是我們從禰的話語中得到靈性的幫助
[00:00:26.600 --> 00:00:35.600]  信仰的建立,讓我們清楚知道禰的救恩的計劃是如何的
[00:00:35.600 --> 00:00:42.600]  我們感謝禰因為撒旦是暫時的做世界的王
[00:00:42.600 --> 00:00:49.600]  最後他要沈淪,要落在禰的審判之下
[00:00:49.600 --> 00:00:57.600]  我們看見撒旦興風作浪在這個世界,這個時代裡面
[00:00:57.600 --> 00:01:03.600]  但是我們仰望創始成中的主耶穌基督
[00:01:03.600 --> 00:01:07.600]  祂為我們最死了又復活了
[00:01:07.600 --> 00:01:15.600]  還有為我們再來成全父神榮耀的永恆的救恩
[00:01:15.600 --> 00:01:21.600]  我們在禰的恩典中豐富的領受
[00:01:21.600 --> 00:01:29.600]  求禰是今天晚上每一個人從禰的話語中有所領受
[00:01:29.600 --> 00:01:35.600]  有心得成為我們信仰生活的力量
[00:01:35.600 --> 00:01:40.600]  我們把這良辰的時間恭敬的教頭在禰手中
[00:01:40.600 --> 00:01:48.600]  也是我們學習的時候有殊靈的悟性、聰明、智慧
[00:01:48.600 --> 00:01:57.600]  使我們所學的和我們的靈性、我們的生活、我們的人生的目標能夠達成一片
[00:01:57.600 --> 00:02:03.600]  我們把時間恭敬的教頭求主與我們同在
[00:02:03.600 --> 00:02:07.600]  奉主耶穌基督的名禱告,阿們
[00:02:07.600 --> 00:02:20.600]  我們今天繼續地看七十路裡面的七個對比
[00:02:20.600 --> 00:02:27.600]  我們上一個禮拜三已經看了第一個對比
[00:02:27.600 --> 00:02:32.600]  就是兩種的印記
[00:02:32.600 --> 00:02:36.600]  在七十路裡面提到神的印記
[00:02:36.600 --> 00:02:40.600]  也提到獸的印記
[00:02:40.600 --> 00:02:44.600]  也就是撒旦的印記
[00:02:44.600 --> 00:02:50.600]  印記有幾個基本的意義
[00:02:50.600 --> 00:02:53.600]  神的印記的第一個意義
[00:02:53.600 --> 00:02:57.600]  就是表示我們是屬他所有
[00:02:57.600 --> 00:02:59.600]  我們是屬神的
