
[00:00:00.000 --> 00:00:02.400]  我們這個季度一直在說
[00:00:02.400 --> 00:00:05.300]  教徒怎樣看兩性的關係
[00:00:05.300 --> 00:00:10.500]  聖經的關於夫妻兩性的倫理是怎樣
[00:00:10.500 --> 00:00:12.100]  我們有很多不同的課題
[00:00:12.100 --> 00:00:15.600]  提到關於不同的男女的相處
[00:00:15.600 --> 00:00:16.800]  又提到家庭
[00:00:16.800 --> 00:00:19.200]  提到很多的時代的問題
[00:00:19.200 --> 00:00:21.500]  譬如同性的問題等等
[00:00:21.500 --> 00:00:24.100]  今天差不多來到最後一次的主日
[00:00:24.100 --> 00:00:26.600]  下個主日就是復活節主日
[00:00:26.600 --> 00:00:28.100]  當我們來到最後一個主日的時候
[00:00:28.100 --> 00:00:31.800]  我們就想到就是當我們說很多聖經的真理
[00:00:31.800 --> 00:00:34.000]  不單止明白當中的意思
[00:00:34.000 --> 00:00:36.700]  更加是求神給我們靠著祂的能力
[00:00:36.700 --> 00:00:40.700]  可以持守著神給我們的真理
[00:00:40.700 --> 00:00:41.800]  主耶穌很清楚說
[00:00:41.800 --> 00:00:46.600]  祂說我就是道路、真理和生命
[00:00:46.600 --> 00:00:48.000]  如果不是藉著主耶穌
[00:00:48.000 --> 00:00:50.600]  沒有人能夠去到天父那裡
[00:00:50.600 --> 00:00:51.700]  主耶穌很清楚說
[00:00:51.700 --> 00:00:53.500]  凡是跟隨祂的人
[00:00:53.500 --> 00:00:56.200]  我們是順從祂的真理
[00:00:56.200 --> 00:00:59.200]  又行在真理中
[00:00:59.200 --> 00:01:00.600]  你跟我信主的一段時間
[00:01:00.600 --> 00:01:02.100]  也是不斷鼓勵自己
[00:01:02.100 --> 00:01:03.800]  行在真理的裡面
[00:01:03.800 --> 00:01:06.600]  持守在真理的裡面
[00:01:06.600 --> 00:01:08.400]  但你會明白就是
[00:01:08.400 --> 00:01:12.300]  這個世界是不喜歡真理的
[00:01:12.300 --> 00:01:15.300]  甚至是排斥真理的
[00:01:15.300 --> 00:01:16.300]  我曾經提及
[00:01:16.300 --> 00:01:17.400]  有一次在北美的時候
[00:01:17.400 --> 00:01:19.900]  參加一個當地教會舉行的
[00:01:19.900 --> 00:01:24.000]  一個維護傳統家庭的一個遊行
[00:01:24.000 --> 00:01:26.600]  弟兄姊妹穿著很多不同的T恤
[00:01:26.600 --> 00:01:29.800]  上面印著一男加一女
[00:01:29.800 --> 00:01:32.200]  等於婚姻
[00:01:32.200 --> 00:01:35.100]  然後在街上表達出我們的信念
[00:01:35.100 --> 00:01:37.900]  可能我知道其中有兩三位弟兄姊妹
[00:01:37.900 --> 00:01:38.900]  走到很累的時候
[00:01:38.900 --> 00:01:41.500]  進了旁邊路邊一間的咖啡廳
[00:01:41.500 --> 00:01:43.500]  買一杯咖啡
[00:01:43.500 --> 00:01:45.000]  但是在買咖啡的時候
[00:01:45.000 --> 00:01:48.500]  被當地一間咖啡廳的一些客人
[00:01:48.500 --> 00:01:50.200]  看到他們的T恤
[00:01:50.200 --> 00:01:54.200]  很不滿就走來騷擾他們
[00:01:54.200 --> 00:01:56.200]  後來他們說回情況的時候
[00:01:56.200 --> 00:01:57.800]  我們就很明白
[00:01:57.800 --> 00:01:59.300]  因為很多人不喜歡
[00:01:59.300 --> 00:02:01.500]  教徒有這個立場
[00:02:01.500 --> 00:02:02.700]  不單單是這個立場
