
[00:00:00.000 --> 00:00:04.600]  今天我們繼續來講亞國書第四章13-5章第六節
[00:00:04.600 --> 00:00:05.800]  在上文裏面
[00:00:05.800 --> 00:00:07.200]  第四章的一至十二節
[00:00:07.200 --> 00:00:09.720]  亞國去討論到財富的問題
[00:00:09.720 --> 00:00:13.320]  接著亞國在這裏繼續延展這個問題
[00:00:13.320 --> 00:00:15.040]  有兩個很重要的討論
[00:00:15.040 --> 00:00:17.560]  就是那些有錢人
[00:00:17.560 --> 00:00:20.840]  他們怎樣很錯誤地去看自己的生命
[00:00:20.840 --> 00:00:23.080]  和去看其他人的生命
[00:00:23.080 --> 00:00:25.600]  他們覺得他們的人生
[00:00:25.600 --> 00:00:29.200]  是好像很自由地去做每一樣東西
[00:00:29.200 --> 00:00:31.200]  我計劃做就可以做到
[00:00:31.200 --> 00:00:32.000]  另一方面
[00:00:32.000 --> 00:00:34.040]  就是他們為了得到更多的財富
[00:00:34.040 --> 00:00:36.280]  而去欺詐其他的人
[00:00:36.280 --> 00:00:39.120]  在這一段的經文裏面
[00:00:39.120 --> 00:00:42.320]  去講到這一班的富足人
[00:00:42.320 --> 00:00:45.080]  應該就是那些的
[00:00:45.080 --> 00:00:47.680]  猶太的一些信徒
[00:00:47.680 --> 00:00:49.520]  分散到不同地方
[00:00:49.520 --> 00:00:52.280]  在當中都有些在經濟上
[00:00:52.280 --> 00:00:54.920]  在經濟上都有能力的一班的人
[00:00:54.920 --> 00:00:56.160]  在這一段裏面
[00:00:56.160 --> 00:00:59.320]  基本上都是可以分為這些富足人
[00:00:59.320 --> 00:01:01.640]  可能都有不同的一些類別
[00:01:01.640 --> 00:01:03.400]  四章十三至十七節
[00:01:03.400 --> 00:01:06.920]  就是針對當地富足的那些猶太人
[00:01:06.920 --> 00:01:09.000]  亦都五章第一至第六節
[00:01:09.000 --> 00:01:12.040]  就是針對當地富足的那些外邦人
[00:01:12.040 --> 00:01:16.440]  都有可能是這些不同類型的一些有錢人
[00:01:16.440 --> 00:01:21.240]  亞國對他們一些不同的一些提醒
[00:01:21.240 --> 00:01:23.000]  和一些警告
[00:01:23.000 --> 00:01:26.560]  在四章十三至十五節裏面說
[00:01:26.560 --> 00:01:29.560]  你們有話說
[00:01:29.560 --> 00:01:32.600]  今天明天我們要往某城裏去
[00:01:32.600 --> 00:01:35.280]  在那裏住一年做買賣得利
[00:01:35.280 --> 00:01:38.120]  其實明天如何你們還不知道
[00:01:38.120 --> 00:01:40.000]  你們的生命是什麼呢
[00:01:40.000 --> 00:01:41.960]  你們原來是一片雲霧
[00:01:41.960 --> 00:01:43.880]  出現消息就不見了
[00:01:43.880 --> 00:01:45.120]  你們只當說
[00:01:45.120 --> 00:01:47.520]  主若願意我就可以活著
[00:01:47.520 --> 00:01:50.600]  也可以做這事或做那事
[00:01:50.600 --> 00:01:54.520]  亞國說這些人
[00:01:54.520 --> 00:01:58.960]  他們計劃這個時間我們去哪裏做生意
[00:01:58.960 --> 00:02:00.360]  去賺什麼錢
[00:02:00.360 --> 00:02:03.880]  這些說話說到一班人很有計劃的
[00:02:03.880 --> 00:02:05.600]  很有目標的
[00:02:05.600 --> 00:02:09.320]  去到哪裏我們用什麼方法去賺更多的錢
[00:02:09.320 --> 00:02:11.880]  然後亞國就去提醒他們
[00:02:11.880 --> 00:02:18.800]  他們有一些基本上的一些錯誤的認識
[00:02:18.800 --> 00:02:23.400]  第一他們以為時間和生命都在他們手中
[00:02:23.400 --> 00:02:25.480]  他們可以隨意去支配
[00:02:25.480 --> 00:02:27.280]  我想怎樣做就怎樣做
[00:02:27.280 --> 00:02:29.120]  我想到怎樣做
