
[00:00:00.000 --> 00:00:05.000]  今天題目拆禮物也有原因
[00:00:05.000 --> 00:00:16.000]  剛剛十一月有一套已經超過億的票房衝破了
[00:00:16.000 --> 00:00:20.000]  不知道你有沒有看,我也有看這套電影
[00:00:20.000 --> 00:00:34.000]  總之你打破字,無論網絡還是YouTube就會彈了N這麼多關於這套電影的資料和評論
[00:00:34.000 --> 00:00:46.000]  我發覺電影娛樂圈,電影圈到心理學家,輔導員到神學院老師都爭相透過這套電影分享
[00:00:46.000 --> 00:00:53.000]  社交媒體在頭兩個星期上映後真的很誇張
[00:00:53.000 --> 00:00:58.000]  好像這個星期比較安靜,我們叫做洗版
[00:00:58.000 --> 00:01:02.000]  所以我也消費一下,消費吐氣
[00:01:02.000 --> 00:01:05.000]  我有個親友十一月生日,我問他怎樣慶祝
[00:01:05.000 --> 00:01:12.000]  他說去看破地獄,我不是百無禁忌的基督徒
[00:01:12.000 --> 00:01:16.000]  他說你生日去看,你覺得怎樣?
[00:01:16.000 --> 00:01:21.000]  他說也很好看,很多反思,人生,家人關係
[00:01:21.000 --> 00:01:24.000]  我說好的,的確是這樣的
[00:01:24.000 --> 00:01:29.000]  我說就算是聖誕節,也不要破地獄,不如我們拆禮物
[00:01:29.000 --> 00:01:35.000]  聖誕節我們也會送禮物,開心,或者有好消息
[00:01:35.000 --> 00:01:45.000]  其實我有另一個好朋友,他的背景跟電影很相似,甚至比他那套電影更戲劇
[00:01:45.000 --> 00:01:50.000]  最近他跟我聊天,再說很多他當年和今天的經歷
[00:01:50.000 --> 00:01:57.000]  他說不如你的人生拍第二集,或者不要叫破地獄,叫安息禮
[00:01:57.000 --> 00:02:02.000]  我剛剛坐下來想,我也可以找個角色,做哪個角色好?
[00:02:02.000 --> 00:02:05.000]  梓華的角色好嗎?
[00:02:05.000 --> 00:02:12.000]  更加可以從人生角度去說他的經歷
[00:02:12.000 --> 00:02:21.000]  他也是基督徒,他的背景好像很傳統,或者有文化衝擊
[00:02:21.000 --> 00:02:26.000]  他也有很大經歷,比電影世界更戲劇
[00:02:26.000 --> 00:02:33.000]  拆禮物還未到,你說是26日才拆禮物
[00:02:33.000 --> 00:02:40.000]  所以其實禮物是我們25年教會全年的主題
[00:02:40.000 --> 00:02:49.000]  待會會多說一點,但好像有點寡,所以拆禮物有點動感
[00:02:49.000 --> 00:02:55.000]  我們先讀今天相關經文,我用啟認方式,我讀單數字,大家讀雙數字
[00:02:55.000 --> 00:02:58.000]  先讀經文,預備起
[00:02:58.000 --> 00:03:01.000]  當希律王的時候,耶穌身在猶太的伯利恆
