
[00:00:00.000 --> 00:00:02.340]  上一節課我們總結了
[00:00:02.340 --> 00:00:05.180]  我們是通過造物
[00:00:05.180 --> 00:00:07.180]  道德律或者某些知識
[00:00:07.180 --> 00:00:09.680]  是無法完全認識真神的
[00:00:09.680 --> 00:00:12.380]  因為真神有很多特點的話
[00:00:12.380 --> 00:00:14.140]  祂必須通過什麼呢?
[00:00:14.140 --> 00:00:17.440]  祂親自來啟示告訴我們
[00:00:17.440 --> 00:00:18.840]  我們才能認識
[00:00:18.840 --> 00:00:22.080]  通過祂最終的啟示是什麼呢?
[00:00:22.080 --> 00:00:24.540]  就是神的道 耶穌基督
[00:00:24.540 --> 00:00:27.800]  而對於耶穌基督的話語
[00:00:27.800 --> 00:00:29.800]  和耶穌基督的特性
[00:00:29.800 --> 00:00:32.540]  行動事件的記錄在哪裡呢?
[00:00:32.540 --> 00:00:35.040]  我們說就在聖經裡頭
[00:00:35.040 --> 00:00:37.540]  所以要了解耶穌基督的話
[00:00:37.540 --> 00:00:40.040]  我們一定要了解聖經
[00:00:40.040 --> 00:00:41.740]  所以這一課的話
[00:00:41.740 --> 00:00:45.740]  我們就對聖經做一個更深入的了解
[00:00:45.740 --> 00:00:48.040]  那麼為了使這個有趣一點的話
[00:00:48.040 --> 00:00:50.340]  我們就先從一些問題開始
[00:00:50.340 --> 00:00:51.700]  我想問一下
[00:00:51.700 --> 00:00:55.840]  全本聖經有多少卷經書呢?
[00:00:55.840 --> 00:00:58.740]  大家看一下A B C D
[00:00:58.740 --> 00:01:01.940]  你們有答案嗎?
[00:01:01.940 --> 00:01:03.140]  我告訴大家
[00:01:03.140 --> 00:01:05.540]  答案是66卷
[00:01:05.540 --> 00:01:07.240]  39卷舊約
[00:01:07.240 --> 00:01:09.640]  27卷新約
[00:01:09.640 --> 00:01:15.540]  那麼舊約聖經是用什麼文字寫成的呢?
[00:01:15.540 --> 00:01:18.440]  舊約聖經的話
[00:01:18.440 --> 00:01:21.940]  是用希伯來文寫成的
[00:01:21.940 --> 00:01:27.440]  舊約聖經的前五本稱為什麼呢?
[00:01:27.440 --> 00:01:29.440]  答案就挺多的了
[00:01:29.440 --> 00:01:32.440]  可以稱為摩西五經
[00:01:32.440 --> 00:01:36.840]  也可以稱為律法書
[00:01:36.840 --> 00:01:39.640]  或者我們叫它做妥拉
[00:01:39.640 --> 00:01:42.640]  妥拉就是律法書的意思
[00:01:42.640 --> 00:01:48.240]  那麼還有我們看下一些問題
[00:01:48.240 --> 00:01:52.240]  詩篇大部分是由誰寫的呢?
[00:01:52.240 --> 00:01:55.040]  這個問題應該不難吧
[00:01:55.040 --> 00:01:58.040]  我們常常說大衛的詩篇
[00:01:58.040 --> 00:02:00.840]  大部分是由大衛寫的
[00:02:00.840 --> 00:02:06.840]  那麼新約聖經是用什麼文字寫成的呢?
[00:02:06.840 --> 00:02:08.240]  希臘文寫的
[00:02:08.240 --> 00:02:11.940]  我在上一課常常提到希臘文原文是什麼
[00:02:11.940 --> 00:02:13.240]  大家就可以知道了
[00:02:13.240 --> 00:02:19.740]  以下哪一卷書不屬於聖經的正典呢?
[00:02:19.740 --> 00:02:21.840]  熟悉聖經的話我們知道
