
[00:00:00.000 --> 00:00:10.000]  我們活在一個轉折的大時代當中
[00:00:10.000 --> 00:00:19.000]  非常動蕩的一年過去,但不等於問題解決
[00:00:19.000 --> 00:00:26.000]  有位弟兄在報紙裡面這樣概談
[00:00:26.000 --> 00:00:32.000]  他說在大時代的轉折之中,使我們雖然經過粉蓋激昂
[00:00:32.000 --> 00:00:36.000]  他說大時代轉折里,雖然我們經過分歧之硬
[00:00:36.000 --> 00:00:41.000]  但未帶來預期的果好,但並沒有帶來預期的果孝
[00:00:41.000 --> 00:00:46.000]  我們忽然察覺到生命充滿了各種污穢和疲乏
[00:00:46.000 --> 00:00:51.000]  我們忽然察覺到生命充滿了各種污穢和疲乏
[00:00:51.000 --> 00:00:58.000]  現實是多麼無情,多麼荒謬
[00:00:58.000 --> 00:01:05.000]  揭穿了我們個人是何等渺小,何等不足
[00:01:05.000 --> 00:01:19.000]  除了在Facebook裡面愚蠢式的謾罵之外,還有什麼可以做呢?
[00:01:19.000 --> 00:01:24.000]  我相信香港的信徒,特別是在這一段的長久日子裡面
[00:01:24.000 --> 00:01:28.000]  我們真的不知道怎麼去回應
[00:01:28.000 --> 00:01:33.000]  相信香港的基督徒在這長久的日子當中也不知道怎麼回應
[00:01:33.000 --> 00:01:40.000]  我們實在是在這種曠世不安的處境裡面生活
[00:01:40.000 --> 00:01:45.000]  我們實在是生活在這種曠世不安的世代當中
[00:01:45.000 --> 00:01:52.000]  但是請您聽清楚兩位神的僕人對以蔡阿姝給我們今天的信息是什麼呢?
[00:01:52.000 --> 00:01:59.000]  但請看清楚兩位神的僕人怎樣描述以賽亞今天給我們的信息是怎樣?
[00:01:59.000 --> 00:02:04.000]  一位教育學者他叫賴索博士William Lasso
[00:02:04.000 --> 00:02:10.000]  他說了一句話,他說在國際動蕩不安的關鍵日子
[00:02:10.000 --> 00:02:15.000]  以及在完全失控的時代裡面
[00:02:15.000 --> 00:02:20.000]  以蔡阿被神感動寫下了一卷令人鼓舞的書卷
[00:02:20.000 --> 00:02:25.000]  就業學者賴索他說在國際動蕩不安的日子當中
[00:02:25.000 --> 00:02:30.000]  以賽亞寫下了堅定不移信心的信息
[00:02:30.000 --> 00:02:35.000]  在這個福音的信息的傳遞裡面給我們無窮的盼望
[00:02:35.000 --> 00:02:39.000]  在這個福音信息傳遞當中給了我們無窮的盼望
[00:02:39.000 --> 00:02:44.000]  一位紐西蘭的牧師他叫布萊克
[00:02:44.000 --> 00:02:47.000]  另一位新西蘭的牧者布萊洛科
[00:02:47.000 --> 00:02:55.000]  他說我們看見以賽亞無畏而莊嚴的走過當時的一個混亂的時局
[00:02:55.000 --> 00:03:00.000]  他說我們看到以賽亞無畏莊嚴的走過當日混亂的時局
[00:03:00.000 --> 00:03:03.000]  但以平靜的信心堅定不移的
[00:03:03.000 --> 00:03:07.000]  對神是滿有把握的繼續的往前行
[00:03:07.000 --> 00:03:09.000]  但以平靜的信心堅定不移的
[00:03:09.000 --> 00:03:12.000]  對神是滿有把握的繼續的往前行
[00:03:12.000 --> 00:03:18.000]  這個應該就是我們要聆聽先知的信息的原因
[00:03:18.000 --> 00:03:21.000]  這就是我們聆聽先知信息的原因
[00:03:21.000 --> 00:03:26.000]  先知所活在的年代裡面其實就是一個動蕩的年代
[00:03:26.000 --> 00:03:29.000]  先知所活的年代就是一個動蕩的年代
