
[00:00:00.000 --> 00:00:09.000]  從今天開始,我們要查考《聖經》裏面星月最後的一卷,就是七十路的信息。
[00:00:09.000 --> 00:00:14.000]  第一個信息是七十路里面的七個呼聲。
[00:00:14.000 --> 00:00:19.000]  這七個呼聲都用"看了"兩個字來表示。
[00:00:19.000 --> 00:00:25.000]  "看了"這個呼聲明顯有兩種重要的意義。
[00:00:25.000 --> 00:00:29.000]  第一個意義就是叫人特別的注意。
[00:00:29.000 --> 00:00:35.000]  第二個意義就是要我們用靈眼來看,用信心的眼睛來看,
[00:00:35.000 --> 00:00:40.000]  看出屬靈的意義,得着屬靈的意象。
[00:00:40.000 --> 00:00:46.000]  在《箴言書》二十九章十八節有這樣的話說:
[00:00:46.000 --> 00:00:49.000]  "沒有意象,民就放肆。"
[00:00:49.000 --> 00:00:56.000]  "放肆"就是我行我素,隨意放縱,自己想怎麼樣就怎麼樣。
[00:00:56.000 --> 00:01:02.000]  但是如果有了意象,心中有所領受,就放棄了自己的道路,
[00:01:02.000 --> 00:01:06.000]  就按着神的道路來行走。
[00:01:06.000 --> 00:01:09.000]  所以意象非常重要。
[00:01:09.000 --> 00:01:18.000]  我們懇求主藉着七十路里面的七個呼聲,將屬靈的意象給我們看見。
[00:01:18.000 --> 00:01:22.000]  在七十路里面十次用"看了"這個呼聲,
[00:01:22.000 --> 00:01:28.000]  但是其中有三次意義相同,所以歸結起來,
[00:01:28.000 --> 00:01:35.000]  可以說有七種的呼聲,都是與末世的基督徒有密切關係的。
[00:01:35.000 --> 00:01:39.000]  這是神向我們表達祂的心意的呼聲,
[00:01:39.000 --> 00:01:46.000]  要我們在末世的時代,按照祂的心意行事爲人、侍奉、見證,
[00:01:46.000 --> 00:01:50.000]  這樣我們才能夠滿足祂的心。
[00:01:50.000 --> 00:01:55.000]  好,現在我們看第一個呼聲,就是主再來的呼聲。
[00:01:55.000 --> 00:02:01.000]  在第一章第七節、二十二章七節和二十二章十二節,
[00:02:01.000 --> 00:02:06.000]  這三處的經文,都有關於主再來的呼聲,
[00:02:06.000 --> 00:02:09.000]  所以我們把它當作一種呼聲來看。
[00:02:09.000 --> 00:02:13.000]  我現在把一章七節的話讀出來。
[00:02:13.000 --> 00:02:21.000]  "看啊,他駕雲降臨,衆目要看見他,地上萬族都要因他哀哭,
[00:02:21.000 --> 00:02:24.000]  這話是真實的。阿們。"
[00:02:24.000 --> 00:02:28.000]  當主耶穌昇天的時候,有天使對門徒說,
[00:02:28.000 --> 00:02:31.000]  "加利利人啊,你們爲什麼站着望天呢?
[00:02:31.000 --> 00:02:34.000]  這裏看你們被解昇天的耶穌,
[00:02:34.000 --> 00:02:38.000]  你們見他怎樣往天上去,他還要怎樣來。"
[00:02:38.000 --> 00:02:42.000]  這十度形狀一章是一節的話。
[00:02:42.000 --> 00:02:45.000]  門徒將這個話藏在他們的心裏。
[00:02:45.000 --> 00:02:49.000]  在新約二十七卷的聖經裏面,
[00:02:49.000 --> 00:02:53.000]  只有四卷沒有提到主再來的事,
[00:02:53.000 --> 00:02:57.000]  就是約翰二書、約翰三書、菲利門書。
[00:02:57.000 --> 00:03:02.000]  因爲篇幅太少,所以沒有提及主的再來。
[00:03:02.000 --> 00:03:06.000]  另外還有加勒太書,因爲專講稱義的真理,
[00:03:06.000 --> 00:03:08.000]  所以也沒有提到主的再來。
[00:03:08.000 --> 00:03:12.000]  另外有兩卷書是間接地提到主再來,
[00:03:12.000 --> 00:03:15.000]  就是伊夫所書和羅馬書。
[00:03:15.000 --> 00:03:18.000]  這兩卷書都說到身體得俗,
[00:03:18.000 --> 00:03:22.000]  而身體得俗就是主再來的時候所成全的事,
[00:03:22.000 --> 00:03:25.000]  所以說是間接地提到主再來。
[00:03:25.000 --> 00:03:28.000]  因此我們看見,在新約裏面,
[00:03:28.000 --> 00:03:34.000]  絕對大多數的書卷都是清楚地、確定地提到主再來,
[00:03:34.000 --> 00:03:37.000]  因此我們確信主必再來。
[00:03:37.000 --> 00:03:40.000]  神的話永不改變,天地可能廢棄,
[00:03:40.000 --> 00:03:44.000]  神的話一點一滑也不能夠廢棄。
[00:03:44.000 --> 00:03:48.000]  在這節聖經裏面提到說,衆目要看見他,
[00:03:48.000 --> 00:03:52.000]  就是所有的人都要看見他。
[00:03:52.000 --> 00:03:54.000]  我們馬上想到,在新約裏面,
[00:03:54.000 --> 00:03:57.000]  有的地方說主再來的時候像賊一樣,
[00:03:57.000 --> 00:04:01.000]  那麼像賊一樣就表示不是衆人都看見他了,
