
[00:00:00.000 --> 00:00:06.560]  這首詩是著名美國失明女詩人Fanny Crosby所寫的優美詩歌之一
[00:00:06.560 --> 00:00:09.600]  芬妮出生之後六個月
[00:00:09.600 --> 00:00:14.000]  就因為一位庸醫的誤診而令她傷目失明
[00:00:14.000 --> 00:00:19.200]  從此她就進入了她九十多年的黑暗體驗
[00:00:19.200 --> 00:00:23.800]  慶幸她有一位敬虔而且痛愛她的外婆
[00:00:23.800 --> 00:00:26.600]  由芬妮幼年的時候開始
[00:00:26.600 --> 00:00:33.200]  就跟著外婆在山野林間透過嗅覺和觸覺去認識一草一木
[00:00:33.200 --> 00:00:37.400]  透過聽覺去質疑聆聽遍山的鳥鳴
[00:00:37.400 --> 00:00:39.400]  而更重要的就是
[00:00:39.400 --> 00:00:44.400]  芬妮在外婆口中聽聞有關耶穌的生平故事
[00:00:44.400 --> 00:00:48.200]  並且背了四福音的全部內容
[00:00:48.200 --> 00:00:49.400]  你沒有聽錯
[00:00:49.400 --> 00:00:52.400]  她是背了四福音的全部內容
[00:00:52.400 --> 00:00:55.800]  而且經常隨著外婆跪下祈禱
[00:00:56.200 --> 00:01:01.400]  這種經驗都在芬妮的心裡殺下了信仰的種子
[00:01:01.400 --> 00:01:05.200]  直到她決志將自己奉獻給主
[00:01:05.200 --> 00:01:09.800]  她進入了一間紐約的盲人學校仍然創作不絕
[00:01:09.800 --> 00:01:12.600]  在盲人學校三十多年
[00:01:12.600 --> 00:01:16.000]  跟一樣是侍將的音樂人結了婚
[00:01:16.000 --> 00:01:21.200]  沒多久他們很歡喜地迎接一個小小的新生命
[00:01:21.200 --> 00:01:22.800]  加入他們的人生
[00:01:24.000 --> 00:01:27.200]  但是想不到這個小生命
[00:01:27.200 --> 00:01:31.200]  卻因為一場突如其來的疾病而夭折了
[00:01:31.200 --> 00:01:36.600]  芬妮晴天霹靂痛苦得難以負荷
[00:01:36.600 --> 00:01:39.600]  在不堪承受的傷痛裡面
[00:01:39.600 --> 00:01:42.000]  神的安慰淋到她身上
[00:01:42.000 --> 00:01:45.200]  生命的撕裂讓活水拼出
[00:01:45.200 --> 00:01:48.400]  讓光從裂縫當中穿越
[00:01:48.400 --> 00:01:52.200]  芬妮靠近主靠近十字架
[00:01:52.800 --> 00:01:56.800]  她的作品從此就有了傷痕的印記
[00:01:56.800 --> 00:02:03.600]  但也同時伴隨主觸摸的溫度使天心心連於地
[00:02:03.600 --> 00:02:06.600]  她在後來的傳記裡面說
[00:02:06.600 --> 00:02:08.600]  她對失明這麼說
[00:02:08.600 --> 00:02:12.600]  她說我巴不得我一生下來就已經是失明
[00:02:12.600 --> 00:02:16.400]  因為這樣當我有一天去到主那裡的時候
[00:02:16.400 --> 00:02:18.800]  我第一位眼睛能夠看到的
[00:02:18.800 --> 00:02:20.800]  就是我的主耶穌基督
[00:02:22.200 --> 00:02:26.200]  這首詩歌的副歌是發自內心深處的一種呼聲
[00:02:26.200 --> 00:02:30.000]  唱的聽的都深深受到感動
[00:02:30.000 --> 00:02:35.600]  十字架 十字架 永是我的榮耀
[00:02:35.600 --> 00:02:41.800]  我眾罪都洗清潔 唯靠耶穌保全
[00:02:53.200 --> 00:03:00.400]  我眾罪都洗清潔 唯靠耶穌保全
[00:03:00.400 --> 00:03:11.800]  我眾罪都洗清潔 唯靠耶穌保全
[00:03:12.200 --> 00:03:27.200]  祢有無愧全誰 又加了三點九啊
[00:03:28.200 --> 00:03:52.200]  讓祢千萬萬罪 十字架 十字架 永是我的榮耀
[00:03:53.200 --> 00:04:09.200]  祢有無愧全誰 又加了三點九啊
[00:04:10.200 --> 00:04:25.200]  我聽祢教人生啊 主子愛贊同啊
[00:04:26.200 --> 00:04:41.200]  讓祢有無愧全誰 又加了三點九啊
[00:04:42.200 --> 00:04:58.200]  十字架 十字架 永是我的榮耀
[00:04:59.200 --> 00:05:15.200]  祢有無愧全誰 又加了三點九啊
[00:05:29.200 --> 00:05:47.200]  (音樂)
[00:05:48.200 --> 00:06:03.200]  萬聖誕到聖公園 聖母聖祭聖典
[00:06:04.200 --> 00:06:20.200]  喜怒哀樂掃帚落 掃帚高升高飛
[00:06:21.200 --> 00:06:36.200]  掃帚高 掃帚高 永是我的榮耀
[00:06:37.200 --> 00:06:55.200]  喜怒哀樂掃帚落 掃帚高 永是我的榮耀
[00:06:56.200 --> 00:07:14.200]  掃帚高 掃帚高 永是我的榮耀
[00:07:15.200 --> 00:07:35.200]  喜怒哀樂掃帚落 掃帚高 永是我的榮耀
