
[00:00:00.000 --> 00:00:02.720]  宣內迦有十個核心價值
[00:00:02.720 --> 00:00:09.200]  這十個核心價值代表著宣內迦在世界裏
[00:00:09.200 --> 00:00:13.400]  我們應該如何彰顯上帝自己的榮耀
[00:00:13.400 --> 00:00:17.280]  如何建立上帝自己的教會
[00:00:17.280 --> 00:00:19.880]  在十個核心價值裏
[00:00:19.880 --> 00:00:23.960]  第一個就是教會的目標是彰顯上帝的榮耀
[00:00:23.960 --> 00:00:27.080]  在這裏希望藉著詩篇十九篇
[00:00:27.080 --> 00:00:31.280]  去和大家思考究竟我們作為跟從上帝的人
[00:00:31.280 --> 00:00:36.040]  如何在地上能夠去彰顯上帝自己的榮耀
[00:00:36.040 --> 00:00:39.400]  在第十九篇的第一及第二節裏說
[00:00:39.400 --> 00:00:41.760]  「諸天述說神的榮耀
[00:00:41.760 --> 00:00:44.200]  窮蒼傳揚他的手段
[00:00:44.200 --> 00:00:46.640]  這日到那日發出言語
[00:00:46.640 --> 00:00:49.640]  這夜到那夜傳出知識」
[00:00:49.640 --> 00:00:53.760]  「諸天」和「窮蒼」是一個可以說是同義的名詞
[00:00:53.760 --> 00:00:56.920]  是指覆蓋大地的天空
[00:00:57.080 --> 00:01:02.240]  猶太人認為天上的地方就是上帝的居所
[00:01:02.240 --> 00:01:07.880]  某程度上詩人用了「以人法」去描述
[00:01:07.880 --> 00:01:12.840]  大自然界如何述說上帝自己的榮耀
[00:01:12.840 --> 00:01:15.920]  「天天」是指南天白雲
[00:01:15.920 --> 00:01:17.920]  高照的太陽
[00:01:17.920 --> 00:01:21.280]  相對於「夜夜」是黑暗的大地
[00:01:21.280 --> 00:01:24.280]  「明月」和「繁星」的晚上
[00:01:24.280 --> 00:01:26.520]  它們都是天上的景象
[00:01:26.520 --> 00:01:29.120]  是彰顯上帝自己的作為
[00:01:29.120 --> 00:01:34.920]  唯有神去創造天、地、海和其中的萬物
[00:01:34.920 --> 00:01:38.320]  上帝是獨行其事的上帝
[00:01:38.320 --> 00:01:43.760]  他用創造去彰顯祂的慈愛和榮耀
[00:01:43.760 --> 00:01:47.360]  第一節說到天際之間
[00:01:47.360 --> 00:01:50.280]  陳列了日月星辰
[00:01:50.280 --> 00:01:54.760]  這些日月星辰都是上帝創造的奇妙見證
[00:01:54.760 --> 00:01:57.840]  第二節說到這些星體
[00:01:57.840 --> 00:02:01.360]  它們不斷發出聲音
[00:02:01.360 --> 00:02:05.720]  高聲呼喊上帝創造的奇妙和偉大
[00:02:05.720 --> 00:02:13.040]  「天天」和「夜夜」包含了基本意義
[00:02:13.040 --> 00:02:15.560]  可以指時間上的更替
[00:02:15.560 --> 00:02:18.720]  日和夜時間上的更替
[00:02:18.720 --> 00:02:24.800]  亦指連續循環不息的動作和舉動
[00:02:24.800 --> 00:02:30.120]  要傳遞上帝創造的知識和公義
[00:02:30.120 --> 00:02:33.040]  日日夜夜、夜夜日日
[00:02:33.040 --> 00:02:39.000]  可以以繼夜的循環不息去見證上帝的作為
[00:02:39.000 --> 00:02:41.840]  和祂自己的慈愛
[00:02:41.840 --> 00:02:43.600]  神創造萬物
[00:02:43.600 --> 00:02:45.680]  創造天地的一切
[00:02:45.680 --> 00:02:50.280]  就是要彰顯上帝自己是一位創造的主
[00:02:50.280 --> 00:02:52.400]  第三、第四節說
[00:02:52.400 --> 00:02:55.200]  無言無語,有無聲音可聽
[00:02:55.200 --> 00:02:57.440]  祂的亮太通遍天下
[00:02:57.440 --> 00:02:59.560]  祂的言語傳到地極
[00:02:59.560 --> 00:03:02.800]  神在其間為太陽安設障目
[00:03:02.800 --> 00:03:05.000]  這些星體做完之後
[00:03:05.000 --> 00:03:08.680]  大自然一切好像甚麼都沒有發聲過
[00:03:08.680 --> 00:03:09.680]  好像很靜默
[00:03:09.680 --> 00:03:13.640]  無言無語,有無聲音可聽
[00:03:13.640 --> 00:03:15.760]  這裡好像一點聲音都沒有
[00:03:15.760 --> 00:03:16.760]  好像很靜寂
[00:03:16.760 --> 00:03:19.920]  但卻好像在靜寂裡
[00:03:19.920 --> 00:03:21.160]  詩人在說
[00:03:21.160 --> 00:03:25.160]  其實上帝創造的萬物
[00:03:25.160 --> 00:03:27.600]  其實祂們有發出聲音
[00:03:27.600 --> 00:03:30.200]  祂們的亮大喊聲
[00:03:30.200 --> 00:03:36.240]  延展到地球上每一個地方
[00:03:36.240 --> 00:03:43.320]  雖然這些星體不是大鑼大鼓地發出聲音
[00:03:43.320 --> 00:03:46.680]  他們的見證可以說是默默無聲
[00:03:46.680 --> 00:03:48.760]  但祂們晝夜不息
[00:03:48.760 --> 00:03:52.800]  四季不停地向全世界傳揚
[00:03:52.800 --> 00:03:55.160]  我們看看花,看看草
[00:03:55.160 --> 00:03:57.760]  我們聽聽蟲聲、水聲
[00:03:57.760 --> 00:04:02.280]  我們就不能不讚嘆造物主這個偉大
[00:04:02.280 --> 00:04:04.800]  創造萬物這個世界
[00:04:04.800 --> 00:04:10.080]  每一樣東西都是這麼奇妙地放在我們身邊的每一個地方
[00:04:10.080 --> 00:04:12.400]  萬物好像是靜默當中
[00:04:12.400 --> 00:04:16.880]  但是祂每時每刻都發出一些人
[00:04:16.880 --> 00:04:19.800]  不是經常留意的聲音
[00:04:19.800 --> 00:04:23.720]  去見證、述說上帝的奇妙
[00:04:23.720 --> 00:04:27.880]  其實萬物自然界的一切聲響
[00:04:27.880 --> 00:04:30.760]  好像一首很悅耳的交響曲
[00:04:30.760 --> 00:04:34.240]  去重讚上帝自己創造的奇妙
[00:04:34.240 --> 00:04:35.960]  從這個角度去說
[00:04:35.960 --> 00:04:41.000]  諸天萬物好像沒有任何的言語、聲響
[00:04:41.000 --> 00:04:43.600]  但是其實從另一個角度去說
[00:04:43.600 --> 00:04:45.920]  祂們好像活水江河
[00:04:45.920 --> 00:04:51.080]  湧流不息地發出那種交響樂團的聲音
[00:04:51.080 --> 00:04:52.400]  不絕於耳
[00:04:52.400 --> 00:04:55.840]  成為一首讚美上帝的樂章
[00:04:55.840 --> 00:05:00.480]  在第四、第五節說
[00:05:00.480 --> 00:05:04.600]  太陽如新郎出洞房
[00:05:04.600 --> 00:05:07.080]  猶如勇士歡言奔怒
[00:05:07.080 --> 00:05:08.920]  怕從天者邊出來
[00:05:08.920 --> 00:05:10.240]  繞到天那邊
[00:05:10.240 --> 00:05:11.680]  沒有一物被隱藏
[00:05:11.680 --> 00:05:13.200]  不得他的熱氣
[00:05:13.200 --> 00:05:15.080]  在太陽底下
[00:05:15.080 --> 00:05:22.960]  可以說每一個人都可以承受到太陽給我們的溫暖
[00:05:22.960 --> 00:05:24.040]  一種熱力
[00:05:24.040 --> 00:05:28.600]  斯人特別用太陽作為整個天體的代表
[00:05:28.600 --> 00:05:29.720]  在這裡說出
[00:05:29.720 --> 00:05:34.560]  太陽不單止是上帝創造的其中一個物件
[00:05:34.560 --> 00:05:38.520]  也是見證上帝自己創造的大能
[00:05:38.520 --> 00:05:42.080]  可以說從消極的角度去說
[00:05:42.080 --> 00:05:47.360]  也是針對當時古時拜太陽的風俗
[00:05:47.360 --> 00:05:50.040]  視太陽是一個神明
[00:05:50.040 --> 00:05:52.200]  要敬拜一個太陽
[00:05:52.200 --> 00:05:57.680]  斯人在這裡用一個擬人法去說出
[00:05:57.680 --> 00:05:59.840]  太陽是怎樣的呢?
[00:05:59.840 --> 00:06:01.240]  它好像一個新郎
[00:06:01.240 --> 00:06:03.680]  出來用光換法一樣
