
[00:00:00.000 --> 00:00:02.500]  昨天我們講到人間有真愛
[00:00:02.500 --> 00:00:05.600]  今天我們講講思想另外一個題目
[00:00:05.600 --> 00:00:08.500]  是講盼望,不滅的盼望
[00:00:08.500 --> 00:00:12.000]  在基督教的信仰裡面
[00:00:12.000 --> 00:00:15.100]  有三個最重要的
[00:00:15.100 --> 00:00:17.700]  是生命裡面的體會
[00:00:17.700 --> 00:00:19.400]  就算你不是基督教徒
[00:00:19.400 --> 00:00:21.000]  你都可能聽過的
[00:00:21.000 --> 00:00:24.700]  就是信、望和愛
[00:00:24.700 --> 00:00:29.500]  信心、盼望和真愛
[00:00:29.500 --> 00:00:31.500]  昨天我們講了真愛
[00:00:31.500 --> 00:00:34.000]  我們今天一起來思想其餘的兩個
[00:00:34.000 --> 00:00:36.500]  就是我們的信仰、信心
[00:00:36.500 --> 00:00:38.500]  和我們的盼望
[00:00:38.500 --> 00:00:40.500]  怎樣幫助我們在這個
[00:00:40.500 --> 00:00:42.500]  不是很容易度過的日子
[00:00:42.500 --> 00:00:45.500]  可以笑著迎戰
[00:00:45.500 --> 00:00:50.000]  1987年11月
[00:00:50.000 --> 00:00:52.500]  對於我來說是很難忘的一個月
[00:00:52.500 --> 00:00:55.000]  因為那個月頭的時候
[00:00:55.000 --> 00:00:57.500]  我太太岩正離開世界
[00:00:58.000 --> 00:01:01.000]  在我太太離開世界兩個星期左右
[00:01:01.000 --> 00:01:03.000]  我有兩個女兒
[00:01:03.000 --> 00:01:05.000]  我特意留下一個大女兒
[00:01:05.000 --> 00:01:07.500]  給朋友幫我照顧
[00:01:07.500 --> 00:01:09.000]  我自己告了一天假
[00:01:09.000 --> 00:01:10.500]  帶著一個小女兒
[00:01:10.500 --> 00:01:12.000]  我小女兒是一個
[00:01:12.000 --> 00:01:15.500]  嚴重自閉症加情緒失調的一個
[00:01:15.500 --> 00:01:17.500]  很嚴重的小朋友
[00:01:17.500 --> 00:01:19.500]  我就牽著她
[00:01:19.500 --> 00:01:22.000]  去到西貢
[00:01:22.000 --> 00:01:25.500]  不是很多人去的海邊
[00:01:25.500 --> 00:01:27.000]  那些石灘那裡
[00:01:27.000 --> 00:01:28.500]  即是鄰近三杯酒
[00:01:28.500 --> 00:01:29.500]  對面那裡
