
[00:00:00.000 --> 00:00:03.000]  大家知道我們從今個季度開始
[00:00:03.000 --> 00:00:05.000]  我們會談到一個題目
[00:00:05.000 --> 00:00:09.000]  就是信徒間的肢體生活
[00:00:09.000 --> 00:00:12.000]  這幾次我們都會談到很多關於宣教的事情
[00:00:12.000 --> 00:00:14.000]  而今天我們特別開始提及
[00:00:14.000 --> 00:00:17.000]  就是主題裡面所提及的肢體的關係
[00:00:17.000 --> 00:00:20.000]  其中大家互相提醒就是
[00:00:20.000 --> 00:00:25.000]  留心不讓我們的說話去論斷別人
[00:00:25.000 --> 00:00:29.000]  大家一定會很清楚記得在聖經詩篇133篇提及
[00:00:29.000 --> 00:00:32.000]  當弟兄和母相處的時候
[00:00:32.000 --> 00:00:39.000]  是何等的善 何等的美
[00:00:39.000 --> 00:00:41.000]  弟兄姊妹能夠和諧同心相處
[00:00:41.000 --> 00:00:45.000]  聖經描寫是一個很美善的情景
[00:00:45.000 --> 00:00:47.000]  聖經同時提及在這個情景裡面
[00:00:47.000 --> 00:00:51.000]  是有耶和華所定的福
[00:00:51.000 --> 00:00:57.000]  神所定的福就在弟兄姊妹和諧相愛的關係當中
[00:00:57.000 --> 00:00:59.000]  不是在某一些的地區
[00:00:59.000 --> 00:01:01.000]  不是在某一些的建築物
[00:01:01.000 --> 00:01:05.000]  而是在相愛的肢體的關係當中
[00:01:05.000 --> 00:01:07.000]  是耶和華所命定的福
[00:01:07.000 --> 00:01:12.000]  就是永遠的生命存在這種關係裡面
[00:01:12.000 --> 00:01:15.000]  也是我們很渴望神這樣去恩待我們的
[00:01:15.000 --> 00:01:17.000]  當然在關係當中
[00:01:17.000 --> 00:01:21.000]  當人有一些惡意的批評
[00:01:21.000 --> 00:01:23.000]  有論斷
[00:01:23.000 --> 00:01:27.000]  帶來的對關係是一個很大的破壞和傷害
[00:01:27.000 --> 00:01:30.000]  我聽過有一些弟兄姊妹
[00:01:30.000 --> 00:01:35.000]  他們離開教會是因為曾經被別人的說話中傷
[00:01:35.000 --> 00:01:39.000]  而我們今天談論到不可論斷的時候
[00:01:39.000 --> 00:01:42.000]  我們都求神幫我們謹慎自己的言語
[00:01:42.000 --> 00:01:45.000]  讓我們人生裡面不會因為我們的說話
[00:01:45.000 --> 00:01:47.000]  而叫別人跌倒
[00:01:47.000 --> 00:01:49.000]  我們就帶著這樣的心
[00:01:49.000 --> 00:01:51.000]  來思想聖經的說話
[00:01:51.000 --> 00:01:53.000]  首先我想和大家分享的就是
[00:01:53.000 --> 00:01:55.000]  有些弟兄姊妹說不要論斷
[00:01:55.000 --> 00:01:59.000]  是不是就不可以有一些判斷呢?
[00:01:59.000 --> 00:02:01.000]  當然聖經常常提醒我們
[00:02:01.000 --> 00:02:04.000]  弟兄姊妹不要做糊塗人
[00:02:04.000 --> 00:02:07.000]  要明白主的旨意如何
[00:02:07.000 --> 00:02:09.000]  因此今天的社會
[00:02:09.000 --> 00:02:12.000]  很需要我們很小心地作出各樣的判斷
[00:02:12.000 --> 00:02:15.000]  對人、對事
[00:02:15.000 --> 00:02:19.000]  要小心地按聖經作出判斷
[00:02:19.000 --> 00:02:21.000]  我們可以作判斷
[00:02:21.000 --> 00:02:24.000]  甚至我們要留心地作判斷
[00:02:24.000 --> 00:02:29.000]  因為這個時代太多人不能夠作判斷
[00:02:29.000 --> 00:02:33.000]  只是跟隨著潮流來回應
[00:02:33.000 --> 00:02:35.000]  但是我們知道在判斷的其中
[00:02:35.000 --> 00:02:38.000]  要分別出論斷
[00:02:38.000 --> 00:02:41.000]  論斷和判斷有所不同
[00:02:41.000 --> 00:02:43.000]  在《約翰福音》第七章
[00:02:43.000 --> 00:02:46.000]  當主耶穌說到判斷的時候
[00:02:46.000 --> 00:02:47.000]  祂就提醒我們
