
[00:00:00.000 --> 00:00:03.040]  在上兩次講讓方的講道裏面
[00:00:03.040 --> 00:00:05.880]  我們講了讓方第一章一至十八節
[00:00:05.880 --> 00:00:11.440]  基本上將他整個寫讓方的內容或大綱
[00:00:11.440 --> 00:00:13.200]  講了在這十八節的經文
[00:00:13.200 --> 00:00:17.760]  接著在十九至三十四節的經文裏面
[00:00:17.760 --> 00:00:20.000]  就講到約翰 施濟約翰
[00:00:20.000 --> 00:00:24.560]  施濟約翰是要來為耶穌做一個見證
[00:00:24.560 --> 00:00:25.640]  見證甚麼呢
[00:00:25.640 --> 00:00:27.920]  就是見證他就是那個真光
[00:00:27.920 --> 00:00:31.440]  他來到地上要照亮在黑暗當中的人
[00:00:31.440 --> 00:00:33.120]  亦都在罪惡當中的人
[00:00:33.120 --> 00:00:36.240]  讓他們能夠得著上帝的拯救
[00:00:36.240 --> 00:00:38.560]  接著來到這一段經文
[00:00:38.560 --> 00:00:44.400]  就記載耶穌可以說第一批跟隨耶穌的一些門徒
[00:00:44.400 --> 00:00:48.520]  在那個階段可以說耶穌根本沒有主動去呼召一些人
[00:00:48.520 --> 00:00:51.600]  去跟從去做他的門徒
[00:00:51.600 --> 00:00:52.680]  在這裏他講
[00:00:52.680 --> 00:00:55.720]  就是因為施濟約翰的門徒
[00:00:55.720 --> 00:00:58.120]  聽見施濟約翰的見證
[00:00:58.120 --> 00:01:00.920]  亦都跟隨施濟約翰的見證
[00:01:00.920 --> 00:01:03.640]  即是說施濟約翰來到了
[00:01:03.640 --> 00:01:07.720]  我就是要見證耶穌就是神的羔羊
[00:01:07.720 --> 00:01:10.600]  除去世人罪孽的那個
[00:01:10.600 --> 00:01:15.840]  所以開始有些跟著施濟約翰的一些門徒
[00:01:15.840 --> 00:01:18.280]  就聽見施濟約翰的見證
[00:01:18.280 --> 00:01:21.200]  所以他就去跟隨了這一班人
[00:01:21.200 --> 00:01:23.680]  就跟隨了耶穌
[00:01:23.680 --> 00:01:26.520]  在這裏可以說他們開始跟隨耶穌的時候
[00:01:26.520 --> 00:01:28.200]  那種態度
[00:01:28.200 --> 00:01:30.120]  那種對耶穌的認識
[00:01:30.120 --> 00:01:32.600]  都是很模糊的
[00:01:32.600 --> 00:01:34.560]  可以說這個階段就是耶穌講
[00:01:34.560 --> 00:01:35.680]  你們來看看
[00:01:35.680 --> 00:01:37.400]  你們來看這個詞
[00:01:37.400 --> 00:01:38.560]  你們來看
[00:01:38.560 --> 00:01:41.000]  你們要看更大的事
[00:01:41.000 --> 00:01:44.560]  就好像他跟拿達葉所講
[00:01:44.560 --> 00:01:46.240]  就是你要看更大的事
[00:01:46.240 --> 00:01:49.120]  他們對耶穌的認識可以說都是一個過程
[00:01:49.120 --> 00:01:52.400]  是一步一步對耶穌的認識
[00:01:52.400 --> 00:01:55.320]  是更加的深入和更加的清楚
[00:01:55.320 --> 00:01:58.200]  在第35至37節那裏一開始就說
[00:01:58.200 --> 00:02:00.960]  再次耶穌和兩個門徒站在那裏
[00:02:00.960 --> 00:02:04.920]  他見耶穌行走就說
[00:02:04.920 --> 00:02:06.320]  這個是神的羔羊
[00:02:06.320 --> 00:02:09.920]  兩個門徒聽見他說就跟從了耶穌
[00:02:09.920 --> 00:02:11.160]  在這兩個門徒當中
[00:02:11.160 --> 00:02:14.760]  有一個是西門彼得的兄弟叫做安德烈
[00:02:14.760 --> 00:02:16.640]  另一個沒有講過名
[00:02:16.640 --> 00:02:18.960]  不過大部分人都估計
[00:02:18.960 --> 00:02:23.640]  這個可能是寫約翰福音的作者約翰
[00:02:23.640 --> 00:02:26.400]  在這裏可以說
[00:02:26.400 --> 00:02:28.520]  正如我剛才所講
[00:02:28.520 --> 00:02:31.280]  跟隨耶穌的這些人
[00:02:31.280 --> 00:02:34.720]  是聽見施洗約翰的見證
[00:02:34.720 --> 00:02:38.360]  他們不是去見到另一個更有名望的人
[00:02:38.360 --> 00:02:40.200]  或者比約翰更有名望的人
[00:02:40.200 --> 00:02:43.480]  我們更尊貴的人
[00:02:43.480 --> 00:02:45.840]  或者更有地位的人
[00:02:45.840 --> 00:02:47.280]  他們的心態不是這樣
[00:02:47.280 --> 00:02:51.600]  他們的心態是聽見跟隨施洗約翰
[00:02:51.600 --> 00:02:54.480]  施洗約翰就說我就是為那個做見證
[00:02:54.480 --> 00:02:58.640]  所以他們就很自然地跟隨耶穌
[00:02:58.640 --> 00:03:00.520]  在這裏耶穌就問他一個問題
[00:03:00.520 --> 00:03:04.000]  你們要什麼
[00:03:04.000 --> 00:03:09.400]  跟著這兩個門徒就跟隨了耶穌
[00:03:09.400 --> 00:03:10.920]  在這一個形式裏
[00:03:10.920 --> 00:03:13.120]  大家去看的時候會發覺一件事
[00:03:13.120 --> 00:03:16.240]  施洗約翰去用字
[00:03:16.240 --> 00:03:17.960]  其實用得很小心
[00:03:17.960 --> 00:03:20.200]  還有用得很深入
[00:03:20.200 --> 00:03:22.920]  有很多時候都是語帶相關
[00:03:22.920 --> 00:03:25.360]  就是說他講的字
[00:03:25.360 --> 00:03:27.760]  形容的時候好像是第一個很表面的層面
[00:03:27.760 --> 00:03:29.760]  但其實他用的過程裏面
[00:03:29.760 --> 00:03:33.880]  是講一個更深入的層面在當中
[00:03:33.880 --> 00:03:36.520]  所以在這裏就去講
[00:03:36.520 --> 00:03:44.280]  這兩個門徒來到耶穌那裏的時候
[00:03:44.280 --> 00:03:49.200]  耶穌就問他們
[00:03:49.200 --> 00:03:53.280]  就說兩個門徒聽見耶穌的跟隨了耶穌
[00:03:53.280 --> 00:03:57.040]  耶穌在這裏跟著了耶穌
[00:03:57.040 --> 00:04:01.560]  跟著施洗約翰就再去講
[00:04:01.560 --> 00:04:02.800]  跟隨的意思是什麼呢
[00:04:02.800 --> 00:04:04.640]  38至39節那裏
[00:04:04.640 --> 00:04:07.040]  耶穌轉身來看見他們跟著
[00:04:07.040 --> 00:04:08.800]  就問他們你們要什麼
[00:04:08.800 --> 00:04:10.560]  他們說拉比
[00:04:10.560 --> 00:04:12.480]  拉比翻出來就是父子的意思
[00:04:12.480 --> 00:04:14.000]  你在哪裏住
[00:04:14.000 --> 00:04:16.480]  耶穌說你們來看
[00:04:16.480 --> 00:04:18.360]  他們就去看耶穌在哪裏住
[00:04:18.360 --> 00:04:20.120]  這一天就和他同住
[00:04:20.120 --> 00:04:22.120]  那時若有新證
[00:04:22.120 --> 00:04:25.560]  在這裏耶穌在問你們要些什麼
[00:04:25.560 --> 00:04:28.200]  你們要什麼你們做什麼
[00:04:28.200 --> 00:04:31.280]  但其實約翰寫的意思
[00:04:31.280 --> 00:04:33.760]  是表達耶穌有一個更深入的意思在裏面
[00:04:33.760 --> 00:04:35.800]  你們要什麼
[00:04:35.800 --> 00:04:38.440]  當你們說跟著我的時候
[00:04:38.440 --> 00:04:41.040]  你們知不知道你們要些什麼
[00:04:41.040 --> 00:04:43.320]  你們不知道你們要些什麼的時候
[00:04:43.320 --> 00:04:45.680]  你們也不是真的跟到我
[00:04:45.680 --> 00:04:48.160]  所以表面上就好像問一個問題
[00:04:48.160 --> 00:04:50.160]  你們要什麼
[00:04:50.160 --> 00:04:52.480]  接著耶穌就說
[00:04:52.480 --> 00:04:54.640]  他們說我知道你在哪裏住
[00:04:54.640 --> 00:04:56.760]  接著他們就來到
[00:04:56.760 --> 00:04:59.960]  耶穌就說你們一起看看我在哪裏住
[00:04:59.960 --> 00:05:01.560]  去到耶穌那裏住
[00:05:01.560 --> 00:05:03.560]  接著他們就跟隨了耶穌
[00:05:03.560 --> 00:05:06.280]  這個事件
[00:05:06.280 --> 00:05:08.120]  有幾個字很重要
[00:05:08.120 --> 00:05:09.840]  耶穌問你們要些什麼
[00:05:09.840 --> 00:05:13.280]  接著這兩個門就跟著了耶穌
[00:05:13.280 --> 00:05:17.480]  在這裏約翰想表達一個很深入的意思
[00:05:17.480 --> 00:05:19.840]  就是
[00:05:19.840 --> 00:05:21.680]  耶穌亦表達
[00:05:21.680 --> 00:05:25.320]  你們要很清楚知道你們要些什麼
[00:05:25.320 --> 00:05:28.200]  當你們要很清楚知道你們要些什麼的時候
[00:05:28.200 --> 00:05:32.360]  你們才能夠很清楚地跟從我
[00:05:32.360 --> 00:05:38.120]  這是約翰說的一個心意在裏面
[00:05:38.120 --> 00:05:40.640]  所以當約翰寫的時候
[00:05:40.640 --> 00:05:42.760]  會形容你們來看看
[00:05:42.760 --> 00:05:44.440]  其實你們來看
[00:05:44.440 --> 00:05:48.400]  這些字眼不單止是對這兩個門徒的邀請
[00:05:48.400 --> 00:05:50.240]  其實約翰寫的時候
[00:05:50.240 --> 00:05:52.120]  是鼓勵讀者
[00:05:52.120 --> 00:05:53.560]  即是我們讀的人
[00:05:53.560 --> 00:05:54.920]  你們來看看
[00:05:54.920 --> 00:05:56.120]  看看耶穌在哪裏
[00:05:56.120 --> 00:05:57.560]  看看耶穌是哪一個
[00:05:57.560 --> 00:06:03.000]  這是作者用這些字眼的一個很重要的心意
[00:06:03.000 --> 00:06:05.400]  接著在40-42節裏說
[00:06:05.400 --> 00:06:08.280]  聽見約翰的話跟從耶穌的那兩個人
