
[00:00:00.000 --> 00:00:04.600]  今天我們所看的第八章的經文
[00:00:04.600 --> 00:00:09.660]  其實是世事記的裡面已經走了三分之一的部分
[00:00:09.660 --> 00:00:11.920]  第六章的時間是說明了
[00:00:11.920 --> 00:00:15.860]  基顛是怎樣蒙造成為了神的僕人
[00:00:15.860 --> 00:00:17.560]  而今天我們所看
[00:00:17.560 --> 00:00:23.000]  基顛的生命是一步步怎樣走進罪的網羅之中
[00:00:23.000 --> 00:00:26.760]  世事記是一卷很特別的書卷
[00:00:26.760 --> 00:00:31.680]  裡面每一個的世事和上帝的經歷都是特別的
[00:00:31.680 --> 00:00:36.800]  而每一位世事的興起和沒落都是很相似的
[00:00:36.800 --> 00:00:40.120]  他們在走一個的循環
[00:00:40.120 --> 00:00:45.200]  通常都是以色戀人行業和眼中行為惡的事
[00:00:45.200 --> 00:00:48.800]  然後去敬拜巴黎和有別的神
[00:00:48.800 --> 00:00:51.120]  然後神的怒氣發作
[00:00:51.120 --> 00:00:56.240]  他們就會經歷被外族周圍四國的人的攻擊
[00:00:56.240 --> 00:01:00.360]  然後以色戀人就虎虎的哀求葉赫華
[00:01:00.360 --> 00:01:06.400]  葉赫華就為他們每一個人興起世事來作為拯救者
[00:01:06.400 --> 00:01:09.840]  然後最後每一個世事的興起和沒落
[00:01:09.840 --> 00:01:14.240]  最後就是國尊會經歷太平什麼什麼年
[00:01:14.240 --> 00:01:19.920]  然後每一位的世事都重復發生同樣的故事
[00:01:19.920 --> 00:01:26.040]  雖然世事記的結構的循環大致差不多是這樣的樣子
[00:01:26.040 --> 00:01:28.680]  不過這除了是一個循環以外
[00:01:28.680 --> 00:01:31.520]  也是一個上下的螺旋
[00:01:31.520 --> 00:01:36.160]  代表著每一位的世事與神的關係都走下坡
[00:01:36.160 --> 00:01:39.880]  包括神護照的人也是一樣
[00:01:39.880 --> 00:01:43.040]  一個比一個更敗壞
[00:01:43.040 --> 00:01:49.840]  而今天的生命真正就是被視為有一個好的世事的時代
[00:01:49.840 --> 00:01:54.200]  轉變為衰落的世事時代的開始
[00:01:54.200 --> 00:01:57.960]  在第六章我們看見了紀顛有很多疑惑
[00:01:57.960 --> 00:02:01.360]  在他蒙造成為神的僕人的時候
[00:02:01.360 --> 00:02:06.480]  因為他不能去分辨對他說話的上帝的使者是誰
[00:02:06.480 --> 00:02:12.480]  所以他要求上帝給他要一個可見的同在還有印證
[00:02:12.480 --> 00:02:14.960]  在六章十七節這樣說
[00:02:14.960 --> 00:02:17.480]  紀顛就對那個使者說
[00:02:17.480 --> 00:02:19.600]  我若在你的眼前蒙恩
[00:02:19.600 --> 00:02:25.320]  求你給我一個證據證明是你在跟我說話
[00:02:25.320 --> 00:02:29.880]  他就預備了肉還有胡椒餅放在一個盆石上面
[00:02:29.880 --> 00:02:33.840]  然後葉和華的使者就把那個杖一伸
[00:02:33.840 --> 00:02:37.640]  火就吞滅了所有的肉還有胡椒餅
[00:02:37.640 --> 00:02:40.440]  甚至當準備打米顛人的時候
[00:02:40.440 --> 00:02:44.080]  今天再一次去求葉和華同在的闕句
[00:02:44.080 --> 00:02:46.200]  就是透過很熟悉的故事
[00:02:46.200 --> 00:02:48.440]  就是乾屍羊毛的故事
[00:02:48.440 --> 00:02:52.400]  去確立自己真正會成為拯救以色列人
[00:02:52.400 --> 00:02:55.080]  就是脫離仇敵的時候的那個人
[00:02:55.080 --> 00:02:57.560]  這個是紀顛生命的寫照
[00:02:57.560 --> 00:03:00.840]  就是不斷的去求葉和華彰顯他自己
