
[00:00:00.000 --> 00:00:07.000]  今天我們繼續領受《聖經》《新約》七十路里面寶貴的信息
[00:00:07.000 --> 00:00:12.000]  今天我們要領受的信息的題目就是
[00:00:12.000 --> 00:00:15.000]  七種從天上來的聲音
[00:00:15.000 --> 00:00:18.000]  當我們讀七十路的時候
[00:00:18.000 --> 00:00:21.000]  我們發現有兩個特點
[00:00:21.000 --> 00:00:28.000]  第一個特點就是地上的情況和天上的情況交互出現
[00:00:28.000 --> 00:00:31.000]  一會兒是地上的情況
[00:00:31.000 --> 00:00:33.000]  跟着就是天上的情況
[00:00:33.000 --> 00:00:41.000]  意思就是說我們要用天上的亮光來看地上發生的一切的事
[00:00:41.000 --> 00:00:43.000]  這是七十路的第一個特點
[00:00:43.000 --> 00:00:48.000]  第二個特點就是在七十路預言的部分
[00:00:48.000 --> 00:00:51.000]  一開始就是從第四章開始
[00:00:51.000 --> 00:00:54.000]  我們就看見神的寶座
[00:00:54.000 --> 00:00:58.000]  這個寶座是宇宙的寶座
[00:00:58.000 --> 00:01:00.000]  神坐在寶座上
[00:01:00.000 --> 00:01:07.000]  意思就是說我們要用寶座的眼光來看世界上一切的事物
[00:01:07.000 --> 00:01:13.000]  這兩個特點幫助我們瞭解七十路的信息
[00:01:13.000 --> 00:01:17.000]  我們從七十路里面七次看見這樣說
[00:01:17.000 --> 00:01:19.000]  天上有聲音說
[00:01:19.000 --> 00:01:21.000]  這是何等的寶貴
[00:01:21.000 --> 00:01:26.000]  我們正是想聽一聽天上有什麼聲音向我們發出來
[00:01:26.000 --> 00:01:29.000]  天上有什麼信息傳達給我們
[00:01:29.000 --> 00:01:34.000]  我們平常所解出的都是世界上的事
[00:01:34.000 --> 00:01:36.000]  我們聽見的都是人的聲音
[00:01:36.000 --> 00:01:38.000]  環境的聲音
[00:01:38.000 --> 00:01:42.000]  我們多麼需要局目往天
[00:01:42.000 --> 00:01:45.000]  讓我們聽見天上的聲音
[00:01:45.000 --> 00:01:49.000]  這樣使我們的靈性得到甦醒
[00:01:49.000 --> 00:01:51.000]  讓我們心裏重新有力量
[00:01:51.000 --> 00:01:55.000]  讓我們和天有密切的關係
[00:01:55.000 --> 00:01:59.000]  現在我們看七十路里面第一處
[00:01:59.000 --> 00:02:02.000]  講到天上來的聲音是什麼呢
[00:02:02.000 --> 00:02:05.000]  在第十八章第四節
[00:02:05.000 --> 00:02:07.000]  十八章第四節
[00:02:07.000 --> 00:02:09.000]  我讀給大家聽
[00:02:09.000 --> 00:02:13.000]  我又聽見從天上有聲音說
[00:02:13.000 --> 00:02:19.000]  我的名啊,你要從那城就是大巴比倫城出來
[00:02:19.000 --> 00:02:21.000]  免得與他一同有罪
