
[00:00:00.000 --> 00:00:03.200]  大家會記得我們上星期是猜拳主日
[00:00:03.200 --> 00:00:08.000]  而上星期我們提到士大輪轉遞十六章的經文
[00:00:08.000 --> 00:00:12.560]  十六章裡告訴我們當時保羅在菲律賓教會
[00:00:12.560 --> 00:00:16.080]  他面對監牢的苦害
[00:00:16.080 --> 00:00:19.760]  後來他們離開菲律賓去到一個城市
[00:00:19.760 --> 00:00:21.640]  叫做帖薩羅尼加
[00:00:21.640 --> 00:00:25.960]  這個城市裡他們也面對著新的衝擊
[00:00:25.960 --> 00:00:28.120]  很多猶太人攻擊他們
[00:00:28.400 --> 00:00:31.080]  因此他們被迫要離開這個城市
[00:00:31.080 --> 00:00:34.080]  再下去到比利亞的地方
[00:00:34.080 --> 00:00:37.840]  比利亞的人比較賢德
[00:00:37.840 --> 00:00:40.520]  他們樂意去領受神的真道
[00:00:40.520 --> 00:00:43.600]  但帖薩羅尼加城的人士
[00:00:43.600 --> 00:00:44.720]  特別猶太人
[00:00:44.720 --> 00:00:48.520]  他們不甘於保羅被人接納
[00:00:48.520 --> 00:00:52.080]  因此他們再去到下層的比利亞地方
[00:00:52.080 --> 00:00:55.720]  去聳動人群來逼迫保羅
[00:00:56.520 --> 00:00:59.560]  在這個情況下保羅不能再留在這裡
[00:00:59.560 --> 00:01:02.360]  因此弟兄們把他送到
[00:01:02.360 --> 00:01:03.760]  下面一個城市
[00:01:03.760 --> 00:01:05.640]  是雅典的地方
[00:01:05.640 --> 00:01:07.080]  所以大家知道
[00:01:07.080 --> 00:01:10.160]  從帖薩羅尼加到比利亞
[00:01:10.160 --> 00:01:12.240]  然後到雅典
[00:01:12.240 --> 00:01:14.200]  到雅典的時候
[00:01:14.200 --> 00:01:17.360]  保羅心裡應該會很擔憂
[00:01:17.360 --> 00:01:19.120]  因為不知道會不會有其他人
[00:01:19.120 --> 00:01:21.320]  再來追蹤他、追迫他
[00:01:21.320 --> 00:01:25.880]  但似乎他心裡不介意自己的狀況
[00:01:26.160 --> 00:01:28.000]  知道神有他的保守
[00:01:28.000 --> 00:01:30.360]  反而他內心很關切
[00:01:30.360 --> 00:01:33.480]  當時他見到很多雅典人
[00:01:33.480 --> 00:01:35.280]  他們不認識神
[00:01:35.280 --> 00:01:37.520]  而他在其中
[00:01:37.520 --> 00:01:39.080]  他將自己交給神
[00:01:39.080 --> 00:01:41.440]  神就很奇妙地使用他
[00:01:41.440 --> 00:01:43.880]  成為了雅典的祝福
[00:01:43.880 --> 00:01:45.560]  而我們今天思想的
[00:01:45.560 --> 00:01:49.040]  就是保羅他如何能夠在這種困難的處境
[00:01:49.040 --> 00:01:52.400]  他仍然可以去關切別人
[00:01:52.400 --> 00:01:54.280]  特別是福音的需要
[00:01:54.440 --> 00:01:59.000]  我們再看看剛才讀過的十七章第十六節
[00:01:59.000 --> 00:02:04.280]  保羅在雅典等候他們的時候
[00:02:04.280 --> 00:02:06.800]  看見滿城都是偶像
[00:02:06.800 --> 00:02:09.200]  心靈十分憤激
[00:02:09.200 --> 00:02:12.360]  和本所說心裡著急
[00:02:12.360 --> 00:02:16.080]  保羅等候著西拉和提摩泰
[00:02:16.080 --> 00:02:17.560]  到達雅典
[00:02:17.560 --> 00:02:18.760]  和他們一起會合
[00:02:18.760 --> 00:02:20.240]  然後再上路
[00:02:20.240 --> 00:02:22.040]  在一段等候的時間
[00:02:22.040 --> 00:02:23.320]  保羅周圍留意
[00:02:23.320 --> 00:02:25.680]  發現滿城都是偶像
[00:02:25.680 --> 00:02:27.680]  這裡聖經所說的滿城
[00:02:27.680 --> 00:02:31.200]  是意味著佈滿著整個城市
[00:02:31.200 --> 00:02:33.960]  有些歷史的研究
[00:02:33.960 --> 00:02:36.080]  發現當時的雅典城
[00:02:36.080 --> 00:02:38.000]  是全羅馬帝國
[00:02:38.000 --> 00:02:40.120]  最多偶像的城市
[00:02:40.120 --> 00:02:44.120]  是佈滿著各式各樣的神靈偶像
[00:02:44.120 --> 00:02:47.040]  當保羅見到這樣的現象的時候
[00:02:47.040 --> 00:02:48.720]  他有一種反應
[00:02:48.720 --> 00:02:52.680]  聖經說他心裡十分憤激
[00:02:52.960 --> 00:02:54.360]  或者說著急
[00:02:54.360 --> 00:02:55.840]  他很緊張
[00:02:55.840 --> 00:02:56.760]  他很著急
[00:02:56.760 --> 00:02:59.160]  為何他們會拜那麼多偶像
[00:02:59.160 --> 00:03:01.800]  不認識那位獨一的真神
[00:03:01.800 --> 00:03:05.040]  所以保羅當時內心很大的憤激
[00:03:05.040 --> 00:03:08.160]  大家大概會認識雅典
[00:03:08.160 --> 00:03:10.600]  今天雅典仍然存在
[00:03:10.600 --> 00:03:12.120]  雅典在歷史當中
[00:03:12.120 --> 00:03:13.960]  是一個很著名的城市
[00:03:13.960 --> 00:03:15.720]  大家會知道
[00:03:15.720 --> 00:03:17.320]  這個城市他們很著名
[00:03:17.320 --> 00:03:18.800]  是那些挑掃
[00:03:18.800 --> 00:03:20.960]  你有去過博物館
[00:03:21.120 --> 00:03:24.400]  你一定會看過很多希臘的神像
[00:03:24.400 --> 00:03:25.880]  或者一些挑掃
[00:03:25.880 --> 00:03:29.000]  他們不單有很多精巧的挑掃
[00:03:29.000 --> 00:03:31.680]  還有很多很宏偉的建築物
[00:03:31.680 --> 00:03:35.800]  有很多很重要的藝術發展
[00:03:35.800 --> 00:03:40.200]  再加上他們哲學的發展也很強
[00:03:40.200 --> 00:03:42.320]  大家一定聽過柏拉圖
[00:03:42.320 --> 00:03:46.520]  亞歷斯多德這些早期的哲人
[00:03:46.520 --> 00:03:48.760]  而他們都是源於雅典城
