
[00:00:00.000 --> 00:00:04.500]  每一个侍奉主的人必须了解
[00:00:04.500 --> 00:00:07.500]  什么是顺正的信仰
[00:00:07.500 --> 00:00:10.500]  什么是错误的信仰
[00:00:10.500 --> 00:00:12.500]  偏差的信仰
[00:00:12.500 --> 00:00:17.000]  这样我们可以站在正路上
[00:00:17.000 --> 00:00:19.000]  带到侍奉主
[00:00:19.000 --> 00:00:22.500]  这样可以引导其他的人
[00:00:22.500 --> 00:00:25.500]  离开偏差的路线
[00:00:25.500 --> 00:00:29.500]  归回主的道路上
[00:00:29.500 --> 00:00:35.500]  第十二项就是
[00:00:35.500 --> 00:00:37.500]  假的师父
[00:00:37.500 --> 00:00:41.500]  他们冒充真理的教导
[00:00:41.500 --> 00:00:43.500]  提后
[00:00:43.500 --> 00:00:45.500]  新疆法治
[00:00:45.500 --> 00:00:47.500]  在这次提及两个人
[00:00:47.500 --> 00:00:49.500]  这两个人的名字
[00:00:49.500 --> 00:00:53.500]  在旧约圣经里没有记载
[00:00:53.500 --> 00:00:57.500]  但是在《持经》里有记载
[00:00:57.500 --> 00:01:01.500]  在这次就将两个人的名字
[00:01:01.500 --> 00:01:02.500]  提出来
[00:01:02.500 --> 00:01:05.500]  他们在当时法老王宫里面
[00:01:05.500 --> 00:01:07.500]  的两个术士
[00:01:07.500 --> 00:01:10.500]  就是行施术的
[00:01:10.500 --> 00:01:17.500]  他们用法术来模仿
[00:01:17.500 --> 00:01:21.500]  摩西所行的神迹
[00:01:21.500 --> 00:01:23.500]  以假论真
[00:01:23.500 --> 00:01:31.500]  这个是实人所用的惯技
[00:01:31.500 --> 00:01:34.500]  魔鬼试试用这个方法
[00:01:34.500 --> 00:01:37.500]  来冒充真理
[00:01:37.500 --> 00:01:39.500]  普罗话
[00:01:39.500 --> 00:01:44.500]  魔鬼有时装作光明的天使
[00:01:44.500 --> 00:01:48.500]  来埋怀人
[00:01:48.500 --> 00:01:52.500]  来引有人跟从他
[00:01:52.500 --> 00:01:55.500]  很多时候在社会里面
[00:01:55.500 --> 00:02:04.500]  实人用很光明正大的招牌
[00:02:04.500 --> 00:02:09.500]  来引有人跟从他
[00:02:09.500 --> 00:02:14.500]  他用的字句是很漂亮的
[00:02:14.500 --> 00:02:16.500]  很吸引人的
[00:02:16.500 --> 00:02:19.500]  但是当人跟从他的时候
[00:02:19.500 --> 00:02:25.500]  就相当落入他的陷阱里面
[00:02:25.500 --> 00:02:29.500]  譬如说魔鬼将假的自由
[00:02:29.500 --> 00:02:32.500]  来当作招牌
[00:02:32.500 --> 00:02:35.500]  吸引很多人跟从他
[00:02:35.500 --> 00:02:38.500]  他应该跟从他的
[00:02:38.500 --> 00:02:39.500]  可以得到自由
[00:02:39.500 --> 00:02:42.500]  但是他所讲的自由
