
[00:00:00.000 --> 00:00:03.420]  各位頂音姊妹一起參加今天的崇拜
[00:00:03.420 --> 00:00:05.620]  也歡迎網上的頂音姊妹
[00:00:05.620 --> 00:00:07.620]  讓我們一起敬拜
[00:00:07.620 --> 00:00:09.620]  我想問問大家你們預備好了沒有
[00:00:09.620 --> 00:00:11.620]  預備好了是吧
[00:00:11.620 --> 00:00:13.620]  好 那讓我們一起起立
[00:00:13.620 --> 00:00:24.620]  神啊 你是我們的神
[00:00:26.620 --> 00:00:30.620]  我們要切切地尋求你
[00:00:30.620 --> 00:00:34.620]  在乾旱疲乏無水之地
[00:00:34.620 --> 00:00:40.620]  我們的心來學想你
[00:00:40.620 --> 00:00:45.620]  我要在聖所中曾如此瞻仰你
[00:00:45.620 --> 00:00:49.620]  為要見你的能力和你的榮耀
[00:00:49.620 --> 00:00:54.620]  因你的慈愛比生命更好
[00:00:54.620 --> 00:00:57.620]  我的嘴唇要重讚你
[00:00:57.620 --> 00:01:00.620]  我還活著的時候
[00:01:00.620 --> 00:01:03.620]  要這樣稱頌你
[00:01:03.620 --> 00:01:06.620]  我要奉你的名舉手
[00:01:06.620 --> 00:01:21.620]  願因為因為關於這點
[00:01:21.620 --> 00:01:27.620]  在你安息之處大有榮耀
[00:01:27.620 --> 00:01:34.620]  認識你的知識充滿偏頂
[00:01:34.620 --> 00:01:38.620]  像水遮蓋大海掀起我心
[00:01:38.620 --> 00:01:41.620]  更要學想你
[00:01:41.620 --> 00:01:48.620]  願因為因為關於這點
[00:01:48.620 --> 00:01:55.620]  在你安息之處大有榮耀
[00:01:55.620 --> 00:02:02.620]  認識你的知識充滿偏頂
[00:02:02.620 --> 00:02:06.620]  像水遮蓋大海掀起我心
[00:02:06.620 --> 00:02:08.620]  更要學想你
[00:02:08.620 --> 00:02:13.620]  我還活著的時候
[00:02:13.620 --> 00:02:16.620]  要這樣稱頌你
[00:02:16.620 --> 00:02:23.620]  因你令我出外及地
[00:02:23.620 --> 00:02:29.620]  我要紀念主的恩
[00:02:29.620 --> 00:02:31.620]  因你是信實
[00:02:31.620 --> 00:02:35.620]  你是惹禍我已得
[00:02:35.620 --> 00:02:39.620]  不依靠勢力
[00:02:39.620 --> 00:02:42.620]  不依靠才能
[00:02:42.620 --> 00:02:49.620]  唯靠我主聖靈放任盛事
[00:02:49.620 --> 00:02:54.620]  惹禍或孤城就滿下的事
[00:02:54.620 --> 00:02:59.620]  但彼路的人歸陪醒安息
[00:02:59.620 --> 00:03:04.620]  聖所中如此佔有你榮耀
[00:03:04.620 --> 00:03:08.620]  到那天我們
[00:03:08.620 --> 00:03:13.620]  就像做夢的人聚集驚喜
[00:03:13.620 --> 00:03:18.620]  神為我們行了大事
[00:03:18.620 --> 00:03:25.620]  你的救恩不願似你在我們中間
[00:03:25.620 --> 00:03:31.620]  我們中間作奇妙測試
[00:03:31.620 --> 00:03:38.620]  全能的神永在的乎
[00:03:38.620 --> 00:03:45.620]  和平的關你是奇妙測試
[00:03:45.620 --> 00:03:52.620]  全能的神永在的乎
[00:03:52.620 --> 00:04:00.620]  和平的關熱吻愛你
[00:04:00.620 --> 00:04:18.620]  原因為 因為 歸於這地
[00:04:18.620 --> 00:04:25.620]  在你安息之處帶有榮耀
[00:04:25.620 --> 00:04:32.620]  認識你的知識充滿堅定
[00:04:32.620 --> 00:04:40.620]  就算這概大海連你內心更要開心你
[00:04:40.620 --> 00:04:46.620]  我們故事要精進地
[00:04:46.620 --> 00:04:53.620]  因你令我出海得地
[00:04:53.620 --> 00:05:00.620]  我要紀念全地人
[00:05:00.620 --> 00:05:04.620]  因你是純實你是野火
[00:05:04.620 --> 00:05:07.620]  往往故事我們精進地
[00:05:07.620 --> 00:05:14.620]  往往故事要精進地
[00:05:14.620 --> 00:05:20.620]  因你令我出海得地
[00:05:20.620 --> 00:05:26.620]  我要紀念全地人
[00:05:26.620 --> 00:05:30.620]  因你是純實你是野火
[00:05:30.620 --> 00:05:35.620]  往往依然不依靠勢力
[00:05:35.620 --> 00:05:43.620]  不依靠才能為靠我主成名
[00:05:43.620 --> 00:05:50.620]  我們故事要精進地
[00:05:50.620 --> 00:05:56.620]  因你令我出海得地
[00:05:56.620 --> 00:06:03.620]  我要紀念全地人
[00:06:03.620 --> 00:06:08.620]  因你是純實你是野火
