
[00:00:00.000 --> 00:00:06.000]  好,頂姐妹,很久沒有在這個地方了
[00:00:06.000 --> 00:00:10.000]  我差不多已經到八樓了
[00:00:10.000 --> 00:00:14.000]  在這個地方很開心和頂姐妹一起
[00:00:14.000 --> 00:00:19.000]  今天有機會和你們分享一個訊息
[00:00:19.000 --> 00:00:23.000]  這個訊息叫做我們一起要合一敬拜
[00:00:23.000 --> 00:00:26.000]  不過我相信如果說到合一敬拜
[00:00:26.000 --> 00:00:30.000]  很重要的事情就是我們的生命是否時常
[00:00:30.000 --> 00:00:36.000]  是一個我自己和教會有連繫的關係呢
[00:00:36.000 --> 00:00:39.000]  我很想給大家看看這個星期
[00:00:39.000 --> 00:00:45.000]  這個星期我如常地參加了一個童工的祈禱會
[00:00:45.000 --> 00:00:49.000]  在這個祈禱會裏面有一個很深的經歷
[00:00:49.000 --> 00:00:54.000]  不知道你們有沒有知道我們教會的區域
[00:00:54.000 --> 00:00:56.000]  包括連主任牧師也是
[00:00:56.000 --> 00:01:00.000]  我們每個星期二的上午都預留了一個小時
[00:01:00.000 --> 00:01:05.000]  讓童工我們都可以自由地去參加一個祈禱會
[00:01:05.000 --> 00:01:13.000]  由很多年前,珠山的年代我們已經一起這樣祈禱了
[00:01:13.000 --> 00:01:16.000]  祈禱做什麼呢?其實童工自己也常常問
[00:01:16.000 --> 00:01:22.000]  祈禱會的目的是敬拜為主,祈禱為主
[00:01:22.000 --> 00:01:28.000]  還是分享呢?其實我們沒有一個定案
[00:01:28.000 --> 00:01:32.000]  因為如果定義了一定會有一起靈修
[00:01:32.000 --> 00:01:36.000]  一起會祈禱或者唱詩歌
[00:01:36.000 --> 00:01:38.000]  其實我們是很自由的
[00:01:38.000 --> 00:01:42.000]  就好像你們走在一起,一起團契
[00:01:42.000 --> 00:01:44.000]  我比較喜歡用這個字
[00:01:44.000 --> 00:01:47.000]  我們一班童工能夠去到的時候走在一起團契
[00:01:47.000 --> 00:01:50.000]  所以有時候會有驚喜的
[00:01:50.000 --> 00:01:52.000]  有時候又會覺得完了
[00:01:52.000 --> 00:01:56.000]  你又會不滿足地覺得完了
[00:01:56.000 --> 00:01:59.000]  我相信在教會的生活裡面
[00:01:59.000 --> 00:02:06.000]  合一敬拜不會每一次都那麼上天
[00:02:06.000 --> 00:02:10.000]  有時候是很平淡和很實際的
[00:02:10.000 --> 00:02:14.000]  不過有時候當你在一個聚會裡面
[00:02:14.000 --> 00:02:19.000]  神可能用十個人、二十個人、一百個人
[00:02:19.000 --> 00:02:22.000]  去祝福一個人能夠遇見神
[00:02:22.000 --> 00:02:27.000]  可能這已經是做了最大的事了
[00:02:27.000 --> 00:02:30.000]  剛剛這個星期我們在童工祈禱會的時候
[00:02:30.000 --> 00:02:33.000]  都是隨意的
