
[00:00:00.000 --> 00:00:02.960]  我們現在去到六月尾
[00:00:02.960 --> 00:00:06.720]  阿摩斯書用了半年的時間
[00:00:06.720 --> 00:00:08.960]  我們今天應該在這裡收錄
[00:00:08.960 --> 00:00:12.520]  這個收錄就是我們去到第八講
[00:00:12.520 --> 00:00:16.400]  就會集中在第九章
[00:00:16.400 --> 00:00:18.400]  送一幅圖給你
[00:00:18.400 --> 00:00:23.520]  這幅圖是從一個拍照視覺的角度
[00:00:23.520 --> 00:00:25.040]  我沒有查證過
[00:00:25.040 --> 00:00:28.040]  一邊是一隻舞獅
[00:00:28.040 --> 00:00:32.440]  如何好像想吞掉自己的小獅子一樣
[00:00:32.440 --> 00:00:34.440]  很殘忍吧
[00:00:34.440 --> 00:00:36.440]  不過如果在物種來說
[00:00:36.440 --> 00:00:39.440]  應該牠的天性
[00:00:39.440 --> 00:00:41.640]  牠的哺乳類動物
[00:00:41.640 --> 00:00:44.440]  在獅子的領域
[00:00:44.440 --> 00:00:46.040]  牠應該不是想吃牠的
[00:00:46.040 --> 00:00:48.440]  用另一個角度
[00:00:48.440 --> 00:00:49.840]  不要看得太複雜
[00:00:49.840 --> 00:00:52.440]  其實牠只不過是擔起牠
[00:00:52.440 --> 00:00:55.440]  這隻舞獅有牠自己的目的
[00:00:55.440 --> 00:00:59.840]  當我們從這幅圖裡面想引入
[00:00:59.840 --> 00:01:04.440]  阿摩斯書從第一章走到第九章
[00:01:04.440 --> 00:01:07.840]  聽了好幾次的訊息
[00:01:07.840 --> 00:01:10.840]  似乎我們都停留在一個位置
[00:01:10.840 --> 00:01:15.040]  神要派先知進入群體
[00:01:15.040 --> 00:01:18.240]  在群體裡面要一擊即中
[00:01:18.240 --> 00:01:22.440]  將人的問題完全展示出來
[00:01:22.440 --> 00:01:25.040]  要聽、要看
[00:01:25.040 --> 00:01:26.640]  要改變
[00:01:26.640 --> 00:01:29.040]  所以每一次聽這些訊息的時候
[00:01:29.040 --> 00:01:30.040]  有時候都覺得
[00:01:30.040 --> 00:01:34.440]  好像夏天起來都不想吃早餐
[00:01:34.440 --> 00:01:36.640]  就因為要上班和上學
[00:01:36.640 --> 00:01:38.040]  要去靠近一些東西
[00:01:38.040 --> 00:01:41.240]  有時候是不容易消化的
[00:01:41.240 --> 00:01:43.640]  不過你要想一件事
[00:01:43.640 --> 00:01:45.640]  如果阿摩斯書
[00:01:45.640 --> 00:01:48.240]  神都藉著這位先知
[00:01:48.240 --> 00:01:51.840]  他究竟是要進入群體裡面
[00:01:51.840 --> 00:01:54.640]  純粹只是做一個審判者
[00:01:54.640 --> 00:01:57.840]  還是神不是人的敵人
[00:01:57.840 --> 00:02:01.040]  神都很想在群體裡面
[00:02:01.040 --> 00:02:02.440]  去建立他們
[00:02:02.440 --> 00:02:04.240]  去讓他們有成長
[00:02:04.240 --> 00:02:06.040]  當我們這樣看的時候
[00:02:06.040 --> 00:02:07.640]  就很不一樣了
[00:02:07.640 --> 00:02:12.040]  今天我們再一次做一個整理的時候
[00:02:12.040 --> 00:02:14.440]  當時整個群體
[00:02:14.440 --> 00:02:17.440]  他們都不是第一次聽神說話
[00:02:17.440 --> 00:02:19.840]  從第一章一直說的時候
[00:02:19.840 --> 00:02:22.840]  總共用了五個語言
[00:02:22.840 --> 00:02:25.040]  包括了用蝗蟲
[00:02:25.040 --> 00:02:26.840]  用火
[00:02:26.840 --> 00:02:29.040]  然後用準繩
[00:02:29.040 --> 00:02:31.440]  第八章的時候說到夏果
[00:02:31.440 --> 00:02:32.840]  夏天的果子
[00:02:32.840 --> 00:02:35.440]  然後到我們一會兒說的第九章
[00:02:35.440 --> 00:02:37.440]  是一個審判的結局
[00:02:37.440 --> 00:02:39.440]  是關於大地震的
[00:02:39.440 --> 00:02:41.240]  在這五個語言
[00:02:41.240 --> 00:02:43.440]  是逐一的
[00:02:43.440 --> 00:02:46.840]  一直要告訴這群北國的以色列人
[00:02:46.840 --> 00:02:50.440]  你知不知道發生了什麼問題
[00:02:50.440 --> 00:02:52.840]  人們就在這個過程裡面
[00:02:52.840 --> 00:02:54.440]  一邊聽一邊聽
[00:02:54.440 --> 00:02:56.240]  不是在說外面的人嗎
[00:02:56.240 --> 00:02:58.240]  原來最後是在說我
[00:02:58.240 --> 00:02:59.640]  當說到這個時候
[00:02:59.640 --> 00:03:00.840]  是怎樣回應神的話
[00:03:00.840 --> 00:03:03.640]  是想踢開了才知道的
[00:03:03.640 --> 00:03:05.840]  現在在這個處境
[00:03:05.840 --> 00:03:10.040]  不是一些異教的人
[00:03:10.040 --> 00:03:13.840]  是在整個北國的以色列
[00:03:13.840 --> 00:03:16.440]  一個生活的圈子裡面
[00:03:16.440 --> 00:03:19.640]  他們是很熱心
[00:03:19.640 --> 00:03:21.640]  他們會守節旗
[00:03:21.640 --> 00:03:25.240]  他們會獻祭的以色列民
[00:03:25.240 --> 00:03:27.640]  在第八章裡面
[00:03:27.640 --> 00:03:30.640]  他展開了第四個意象
[00:03:30.640 --> 00:03:32.840]  說到夏果
[00:03:32.840 --> 00:03:34.240]  那個譯音
[00:03:34.240 --> 00:03:38.240]  其實也是在說一個結局
[00:03:38.240 --> 00:03:41.640]  如果我用廣東話去理解
[00:03:41.640 --> 00:03:43.640]  這些夏音是什麼意思
[00:03:43.640 --> 00:03:44.440]  我告訴你
[00:03:44.440 --> 00:03:46.440]  如果我是做生意的
[00:03:46.440 --> 00:03:48.240]  我想到一條計謀
[00:03:48.240 --> 00:03:50.040]  我想到一條計謀
[00:03:50.040 --> 00:03:52.640]  就是每次你想起我的貨品
[00:03:52.640 --> 00:03:55.040]  我就獎賞你有個折扣
[00:03:55.040 --> 00:03:56.240]  這個相
[00:03:56.240 --> 00:03:59.040]  去了相似給你有個折扣
[00:03:59.040 --> 00:04:00.640]  這個夏音
[00:04:00.640 --> 00:04:04.240]  在第八章第四個預言裡面
[00:04:04.240 --> 00:04:05.640]  就是說
[00:04:05.640 --> 00:04:09.040]  讓阿摩斯他見到夏果
[00:04:09.040 --> 00:04:12.040]  這個其實在希伯來文
[00:04:12.040 --> 00:04:13.640]  他們的語句裡面
[00:04:13.640 --> 00:04:16.040]  也是在說一個結局
[00:04:16.040 --> 00:04:19.440]  所以八章二節耶和華親自說
[00:04:19.440 --> 00:04:21.040]  我指紋以色列的結局
[00:04:21.040 --> 00:04:24.440]  到了是我必不再寬恕他們
[00:04:24.440 --> 00:04:29.640]  在這個好像很重很重的一個語句裡面
[00:04:29.640 --> 00:04:33.240]  其實神是很清楚整個底蘊
[00:04:33.240 --> 00:04:34.840]  一方面指紋
[00:04:34.840 --> 00:04:36.240]  他們表現出來
[00:04:36.240 --> 00:04:38.240]  就是都很恭恭敬敬的
[00:04:38.240 --> 00:04:40.640]  他們在聖殿裡面的時候
[00:04:40.640 --> 00:04:43.240]  他們都是一群很熱心的人
[00:04:43.240 --> 00:04:46.440]  不過他們真實的行為是出賣了他們
[00:04:46.440 --> 00:04:49.040]  因為當他們走出聖殿的時候
[00:04:49.040 --> 00:04:50.640]  甚至在聖殿裡面
[00:04:50.640 --> 00:04:53.440]  聽著這一位先知
[00:04:53.440 --> 00:04:54.840]  在告訴他們
[00:04:54.840 --> 00:04:56.640]  神很在意這些事情
[00:04:56.640 --> 00:05:01.240]  而他們仍然是表露無遺地做出來
[00:05:01.240 --> 00:05:03.640]  這種等不及去賺錢
[00:05:03.640 --> 00:05:08.240]  等不及去欺壓自肥的例子
[00:05:08.240 --> 00:05:10.240]  一次一次一次地
[00:05:10.440 --> 00:05:13.240]  亞摩斯他已經說出來了
[00:05:13.240 --> 00:05:15.040]  而在這裡我們問一件事
[00:05:15.040 --> 00:05:16.840]  究竟亞摩斯書
[00:05:16.840 --> 00:05:20.240]  其實最重要是否在說公義呢?
[00:05:20.240 --> 00:05:25.640]  其實再說得可以再深思熟慮一點的就是
[00:05:25.640 --> 00:05:29.040]  公義固然是神很在意的
[00:05:29.040 --> 00:05:30.840]  因為他也是很公義
[00:05:30.840 --> 00:05:34.040]  他不想他的指紋在見證的上面
[00:05:34.040 --> 00:05:36.840]  在欺壓其他的人
[00:05:36.840 --> 00:05:38.840]  但我覺得最重要的是
[00:05:38.840 --> 00:05:40.240]  生命的功課
[00:05:40.240 --> 00:05:42.040]  有沒有打開那道門
[00:05:42.040 --> 00:05:45.640]  讓神去參與
[00:05:45.640 --> 00:05:47.840]  因此當你看到
[00:05:47.840 --> 00:05:50.040]  當時的群體聽了神的話
[00:05:50.040 --> 00:05:52.640]  反應不多
[00:05:52.640 --> 00:05:54.040]  那神呢?
[00:05:54.040 --> 00:05:57.640]  神就是見人沒有什麼反應的時候
