
[00:00:00.000 --> 00:00:04.540]  各位大英姐妹、各位街坊、各位朋友,平安!
[00:00:04.540 --> 00:00:15.260]  新年快將到來,本來是聖誕節,之後就做冬,之後就倒數,之後就迎接新春了!
[00:00:15.260 --> 00:00:18.220]  先預祝大家新春夢福!
[00:00:18.220 --> 00:00:26.680]  結婚的時候就是年生貴子,未結婚的時候就能夠活得精彩,不同的人生!
[00:00:26.680 --> 00:00:31.960]  如果是學業的,就希望大家學業無壓或劣壓變良壓,
[00:00:31.960 --> 00:00:39.480]  如果是在職的,就希望你的工資、福利和環境都漸漸變好。
[00:00:39.480 --> 00:00:44.400]  關於新春的時候,我還以為今天有Jazz Cook,但今天竟然未到。
[00:00:44.400 --> 00:00:47.760]  不知道是否私科目區還在計劃,還有七天的時候,
[00:00:47.760 --> 00:00:54.480]  下次可能全個區都是Jazz Cook,全部都是紅噹噹,紅色、金色、黃色。
[00:00:54.480 --> 00:01:00.280]  說起新春的時候,先跟大家玩一個遊戲,叫做Where's Wally?
[00:01:00.280 --> 00:01:04.740]  不知道大家有沒有玩過或聽過,是來自英國的插畫師,
[00:01:04.740 --> 00:01:09.360]  在兒童圖書館接觸的時候,他在擺放一本圖書,
[00:01:09.360 --> 00:01:15.200]  當他揭起圖書的時候,他就說要找出Wally的威力在哪裡,
[00:01:15.200 --> 00:01:21.560]  他就會有些特徵,這個人會是紅色的毛衣,紅白間條橫衣服,
[00:01:21.560 --> 00:01:27.720]  大家有沒有穿過?間條橫衣服比較少,藍色的長褲,戴眼鏡穿一支穿搭的,
[00:01:27.720 --> 00:01:34.360]  在茫茫人海之中,插畫就要找出,但當時沒有那麼多電腦技術,
[00:01:34.360 --> 00:01:40.440]  要完成這幅畫至少要三個月,長達九個月才能畫出來。
[00:01:40.440 --> 00:01:46.200]  當時有些人就有些破解的攻略,就說如何找出Wally呢?
[00:01:46.200 --> 00:01:52.360]  會不會是由畫家從右下角開始畫起,他就從右下角一直數,
[00:01:52.360 --> 00:01:57.720]  又或者說不是,可能是由畫家左上角數,但結果通常都是不成功的,
[00:01:57.720 --> 00:02:02.120]  都是很難找到的,要花很多時間,現在網上版有些都是有的,
[00:02:02.120 --> 00:02:06.040]  當然實體版比較好玩,這是最初階版,中間這裡,
[00:02:06.040 --> 00:02:11.800]  下次可能要現場其中一個造美穿這件衣服,看看能不能找到,
[00:02:11.800 --> 00:02:16.120]  可能最後發現原來是Gui Zhong穿著這套衣服,或者是Hidy穿著這套衣服,
[00:02:16.120 --> 00:02:21.080]  但我們不知道的。在這個版本的時候,另一個就是遊戲,
[00:02:21.080 --> 00:02:27.480]  大家合上眼睛十秒鐘,你覺得十秒鐘夠了就起來,
[00:02:27.480 --> 00:02:32.440]  但不是一個耐力的測試,在十秒鐘的Mima,你就去想一想,
[00:02:32.440 --> 00:02:38.200]  你每天離開了家,到回家的路上,你會遇到什麼人呢?
[00:02:38.200 --> 00:02:43.000]  好,時間到了,十秒很快,可能大家很少十秒合眼,
[00:02:43.000 --> 00:02:47.960]  數碼的住民應該長期離不開手機,所以對你的眼睛有幫助。
[00:02:47.960 --> 00:02:55.800]  剛才十秒的時候,你遇到多少位人物呢?有超過五位的,舉手。
[00:02:55.800 --> 00:03:03.160]  沒有超過五位,全部都是由離開家,到好像疫情的時候,到回家,
[00:03:03.160 --> 00:03:08.680]  都是沒有超過五位,我再舉手,由你離開家,家人不計算,
[00:03:08.680 --> 00:03:14.840]  離開家到回家的一天之內,遇到超過五位以上的,舉手。
[00:03:14.840 --> 00:03:19.320]  嚇死我,以為大家還活在疫情的年代,數碼年代。
[00:03:19.320 --> 00:03:24.440]  當時疫情的時候,我記得有一個組長,是七天嗎?
[00:03:24.440 --> 00:03:29.480]  我忘記了,超過七天都沒有上街,甚至可能再超過一天,
[00:03:29.480 --> 00:03:36.600]  超過十位,都有,開始少了一點,超過十五位,二十位都有。
[00:03:36.600 --> 00:03:47.320]  下一條問題,有哪幾位的人物呢?剛才問數量,究竟他們是哪幾位?
[00:03:47.320 --> 00:03:52.920]  你再拼一下,五位以下,五位以上,再深一點。
[00:03:52.920 --> 00:04:02.920]  下一條問題是,他們的樣貌是怎樣?還是沒有表情的,好像做夢一樣,沒有樣貌的人。
