
[00:00:00.000 --> 00:00:05.520]  今天我們的講題是《做在主身上》的系列
[00:00:05.520 --> 00:00:10.440]  這次的題目是《拒絕被世界同化》
[00:00:10.440 --> 00:00:14.480]  大家是否記得第一講是誰講的呢?
[00:00:14.480 --> 00:00:16.280]  有沒有人記得?
[00:00:16.280 --> 00:00:17.880]  沒有人記得
[00:00:17.880 --> 00:00:19.880]  第一講是甄雨說的
[00:00:19.880 --> 00:00:22.560]  她當時一開始問了大家一個問題
[00:00:22.560 --> 00:00:25.720]  就是你如何理解基督徒的身份呢?
[00:00:25.720 --> 00:00:28.280]  這次我想問大家另一個問題
[00:00:28.280 --> 00:00:31.080]  不知道大家在信了這麼久
[00:00:31.080 --> 00:00:35.400]  有沒有想過神為何當我們信了主之後
[00:00:35.400 --> 00:00:39.480]  祂不是立即接我們上天堂和基督同在
[00:00:39.480 --> 00:00:42.680]  而是要留我們在這個敗壞的世界裡
[00:00:42.680 --> 00:00:45.280]  究竟我們留在這個世界裡
[00:00:45.280 --> 00:00:46.280]  神有沒有什麼心意
[00:00:46.280 --> 00:00:49.680]  有沒有什麼目的想我們去做呢?
[00:00:49.680 --> 00:00:52.680]  今天我們看的經文很短的
[00:00:52.680 --> 00:00:55.880]  兩節就是《羅馬書》十二章一至二節
[00:00:55.880 --> 00:00:57.880]  相信大家都很熟悉
[00:00:57.880 --> 00:01:01.880]  不如大家陪我一起讀出吧
[00:01:01.880 --> 00:01:04.480]  準備 1 2 3
[00:01:04.480 --> 00:01:06.480]  所以弟兄們
[00:01:06.480 --> 00:01:09.280]  我以上帝的慈悲勸你們
[00:01:09.280 --> 00:01:12.280]  將身體獻上當作活祭
[00:01:12.280 --> 00:01:15.480]  是聖潔的 是上帝所喜悅的
[00:01:15.480 --> 00:01:19.080]  你們如此侍奉乃是理所當然的
[00:01:19.080 --> 00:01:21.480]  不要效法這個世界
[00:01:21.480 --> 00:01:24.080]  只要心意跟生而變化
[00:01:24.080 --> 00:01:27.480]  叫你們測驗何謂上帝的善良
[00:01:27.480 --> 00:01:30.080]  純傳可喜悅的旨意
[00:01:30.080 --> 00:01:35.080]  相信大家常常都聽過這兩節經文
[00:01:35.080 --> 00:01:36.480]  首先說一下
[00:01:36.480 --> 00:01:40.080]  保羅寫每一個書信都有一個共通點
[00:01:40.080 --> 00:01:42.080]  就是他會先說教義
[00:01:42.080 --> 00:01:44.480]  然後他會根據教義
[00:01:44.480 --> 00:01:47.680]  去說實際生活裡的倫理責任
[00:01:47.680 --> 00:01:49.680]  關係 應該怎麼做
[00:01:49.680 --> 00:01:51.880]  而在一至十一章
[00:01:51.880 --> 00:01:53.880]  講述關於罪的影響
[00:01:53.880 --> 00:01:56.480]  神的救恩和律法的意義
[00:01:56.480 --> 00:02:00.280]  保羅指出救恩是神的恩典和愛心
[00:02:00.280 --> 00:02:02.080]  是出於神的憐憫
[00:02:02.080 --> 00:02:04.680]  而我們今天看的十二章一節
[00:02:04.680 --> 00:02:08.480]  一開始他用所以去做一個連接詞
[00:02:08.480 --> 00:02:12.680]  表示保羅是在回應前面所說的
[00:02:12.680 --> 00:02:14.280]  他接續前面所說的
[00:02:14.280 --> 00:02:15.680]  而繼續說下去
[00:02:15.680 --> 00:02:17.080]  接下來告訴大家
[00:02:17.080 --> 00:02:19.080]  應該要怎麼做呢
[00:02:19.080 --> 00:02:21.280]  既然我們已經明白了
[00:02:21.280 --> 00:02:25.680]  我們本來是罪人
[00:02:25.680 --> 00:02:27.880]  但我們能夠蒙神請救
[00:02:27.880 --> 00:02:29.480]  是因為神的救恩
[00:02:29.480 --> 00:02:30.880]  是出於祂的憐憫
[00:02:30.880 --> 00:02:32.480]  以致我們才能得救
[00:02:32.480 --> 00:02:33.680]  既然我們明白
[00:02:33.680 --> 00:02:35.680]  耶穌基督來到這個世界
[00:02:35.680 --> 00:02:38.080]  祂為我們承受的苦楚
[00:02:38.080 --> 00:02:40.280]  成就了這一切
[00:02:40.280 --> 00:02:41.880]  作為信徒的我們
[00:02:41.880 --> 00:02:43.480]  應該要怎麼生活呢
[00:02:43.480 --> 00:02:47.480]  他一開始用了一個勸字
[00:02:47.480 --> 00:02:51.080]  在原文裡第一個字的動詞
[00:02:51.080 --> 00:02:52.080]  就是勸字
[00:02:52.080 --> 00:02:53.480]  保羅用勸字的方式
[00:02:53.480 --> 00:02:54.680]  是因為他知道
[00:02:54.680 --> 00:02:57.280]  他不能強迫別人做這些事
[00:02:57.280 --> 00:02:58.880]  不是因為律法
[00:02:58.880 --> 00:03:00.280]  不是因為告訴你
[00:03:00.280 --> 00:03:01.280]  你應該要這樣做
[00:03:01.280 --> 00:03:02.080]  別人就會跟著
[00:03:02.080 --> 00:03:04.280]  我們正常不是因為有規矩
[00:03:04.280 --> 00:03:05.480]  我們就會跟著
[00:03:05.480 --> 00:03:06.880]  有時候我們會故意不跟
[00:03:06.880 --> 00:03:07.880]  我覺得不認同
[00:03:07.880 --> 00:03:08.880]  我就不會跟
[00:03:08.880 --> 00:03:10.680]  所以他知道是這樣
[00:03:10.680 --> 00:03:13.480]  所以他用愛心去感化
[00:03:13.480 --> 00:03:15.880]  神愛世人是出於恩典
[00:03:15.880 --> 00:03:17.280]  也是神的主權
[00:03:17.280 --> 00:03:19.080]  和祂最崇高的自由
[00:03:19.080 --> 00:03:22.880]  所以保羅用了慈悲去形容上帝
[00:03:22.880 --> 00:03:24.680]  慈悲這個字就是
[00:03:24.680 --> 00:03:27.880]  看見別人的不幸而產生的惻隱之心
[00:03:27.880 --> 00:03:31.080]  在新譯本裡翻譯這個字是仁慈
[00:03:31.080 --> 00:03:34.080]  這也是保羅去勸導的原因
[00:03:34.080 --> 00:03:35.880]  要勸人家將身體
[00:03:35.880 --> 00:03:36.680]  不是人家
[00:03:36.680 --> 00:03:37.880]  去勸基督徒
[00:03:37.880 --> 00:03:41.480]  將身體獻上當作活祭
[00:03:41.480 --> 00:03:43.280]  保羅指的你們
[00:03:43.280 --> 00:03:45.280]  是指所有的基督徒
[00:03:45.280 --> 00:03:47.280]  是指每一個
[00:03:47.280 --> 00:03:49.280]  不只是傳道人
[00:03:49.280 --> 00:03:52.280]  不只是全職侍奉的童宮
[00:03:52.280 --> 00:03:54.280]  也不是那些屬靈領袖
[00:03:54.280 --> 00:03:56.680]  而是每一個基督徒
[00:03:56.680 --> 00:03:59.680]  每一個願意相信跟隨神的人
[00:03:59.680 --> 00:04:02.080]  基督徒在神面前
[00:04:02.080 --> 00:04:04.080]  究竟應該獻上什麼祭物呢?
[00:04:04.080 --> 00:04:07.280]  在舊約時期獻祭
[00:04:07.280 --> 00:04:08.680]  他們有三大特點
[00:04:08.680 --> 00:04:10.680]  第一就是要活的
[00:04:10.680 --> 00:04:12.080]  要聖潔的
[00:04:12.080 --> 00:04:13.480]  要土神喜悅的
[00:04:13.480 --> 00:04:14.480]  活的就是
[00:04:14.480 --> 00:04:17.480]  你不可以拿死的羊去獻
[00:04:17.480 --> 00:04:19.480]  一定要活生生的
[00:04:19.480 --> 00:04:22.080]  而它不可以是有病的
[00:04:22.080 --> 00:04:23.080]  殘疾的
[00:04:23.080 --> 00:04:25.480]  而怎樣才能夠土神喜悅呢?
[00:04:25.480 --> 00:04:27.480]  就是要按照上帝的指示
[00:04:27.480 --> 00:04:29.480]  獻的祭才能夠蒙神喜悅
[00:04:29.480 --> 00:04:33.480]  但現在我們不需要
[00:04:33.480 --> 00:04:36.480]  像以前那樣去獻身畜
[00:04:36.480 --> 00:04:38.480]  去犧牲另一個生命
[00:04:38.480 --> 00:04:40.480]  而是要獻上我們自己的生命
[00:04:40.480 --> 00:04:42.480]  這個生命不是叫你
[00:04:42.480 --> 00:04:44.480]  像獻羊一樣
[00:04:44.480 --> 00:04:45.480]  殺了羊殺了自己
[00:04:45.480 --> 00:04:46.480]  不是這樣的
[00:04:46.480 --> 00:04:47.480]  基督徒要將自己
[00:04:47.480 --> 00:04:49.480]  當作祭物一樣
[00:04:49.480 --> 00:04:50.480]  完全獻給神
[00:04:50.480 --> 00:04:52.480]  就好像當時獻梵祭
[00:04:52.480 --> 00:04:55.480]  將全部的東西都獻上
[00:04:55.480 --> 00:04:57.480]  包括整個的生命
[00:04:57.480 --> 00:04:58.480]  將自己獻上
[00:04:58.480 --> 00:05:00.480]  是被神所去用
[00:05:00.480 --> 00:05:02.480]  在舊約時代
[00:05:02.480 --> 00:05:05.480]  獻的身畜必須是活的
[00:05:05.480 --> 00:05:06.480]  所以今天
[00:05:06.480 --> 00:05:08.480]  作為新約的基督徒
[00:05:08.480 --> 00:05:09.480]  我們都不可能
[00:05:09.480 --> 00:05:11.480]  等到我們自己快要死的時候
[00:05:11.480 --> 00:05:14.480]  我們才去將自己獻給神
[00:05:14.480 --> 00:05:17.480]  有些人就算他相信了
[00:05:17.480 --> 00:05:20.480]  他也不太願意承認自己是基督徒
[00:05:20.480 --> 00:05:22.480]  你問他是不是基督徒
[00:05:22.480 --> 00:05:23.480]  他會說我不是
[00:05:23.480 --> 00:05:24.480]  為什麼呢
[00:05:24.480 --> 00:05:28.480]  因為他覺得基督徒有很多規條要守
[00:05:28.480 --> 00:05:29.480]  很多事情要做
[00:05:29.480 --> 00:05:31.480]  他很想去做一些
[00:05:31.480 --> 00:05:34.480]  他明知道神喜悅不正確的事情
[00:05:34.480 --> 00:05:37.480]  所以他覺得只要我不承認我是基督徒
[00:05:37.480 --> 00:05:39.480]  我就可以繼續去做那些事情
[00:05:39.480 --> 00:05:41.480]  等到有一天
[00:05:41.480 --> 00:05:43.480]  他覺得自己已經玩夠了
[00:05:43.480 --> 00:05:44.480]  享受夠了
[00:05:44.480 --> 00:05:47.480]  做夠他認為應該做的事情
[00:05:47.480 --> 00:05:49.480]  他就會想
[00:05:49.480 --> 00:05:50.480]  臨老的時候
[00:05:50.480 --> 00:05:51.480]  或者快要死的時候
[00:05:51.480 --> 00:05:53.480]  我才將自己獻給神
[00:05:53.480 --> 00:05:54.480]  神你用我吧
[00:05:54.480 --> 00:05:56.480]  但是
[00:05:56.480 --> 00:05:59.480]  這裡說的不是這樣
