
[00:00:00.000 --> 00:00:06.000]  歡迎大家回到UVAS的時間
[00:00:06.000 --> 00:00:11.000]  今天會是我分享一個
[00:00:11.000 --> 00:00:18.000]  也不是新的,上星期也有說過一個不同的系列
[00:00:18.000 --> 00:00:23.000]  叫做「真XX」,上次是「真信心」
[00:00:23.000 --> 00:00:27.000]  這次是「真信靠」,約出孤獨
[00:00:27.000 --> 00:00:33.000]  這個系列是來自什麼原因或背景呢?
[00:00:33.000 --> 00:00:35.000]  可能字太小了
[00:00:35.000 --> 00:00:39.000]  其實是來自一本書,叫做「與情緒共舞」
[00:00:39.000 --> 00:00:47.000]  所以我們往後兩個月都會探討一些情緒的狀態
[00:00:47.000 --> 00:00:51.000]  這本書中我抽了一個簡介
[00:00:51.000 --> 00:00:57.000]  它說到人生總會遇見不同的挑戰和衝擊
[00:00:57.000 --> 00:01:00.000]  可能是一場金融風暴,或是一個小小的誤會
[00:01:00.000 --> 00:01:05.000]  一個衝動的決定,或是一份不想看到的艷心報告
[00:01:05.000 --> 00:01:10.000]  令到我們本來平靜的人生帶來一種意想不到的改變
[00:01:10.000 --> 00:01:14.000]  好像瞬間進入了一個情緒的低谷
[00:01:14.000 --> 00:01:19.000]  那種情緒可能有焦慮、憤怒、抑鬱等等不同的反應
[00:01:19.000 --> 00:01:23.000]  即使我們信了耶穌、是基督徒、是神的僕人
[00:01:23.000 --> 00:01:26.000]  都不能夠免疫或消失
[00:01:26.000 --> 00:01:29.000]  情緒很可能是上天給我們的禮物
[00:01:29.000 --> 00:01:33.000]  若果適當地處理,可以讓我們的生命更加精彩
[00:01:33.000 --> 00:01:39.000]  但若果不適當地處理,的確會影響我們身心靈或人際的關係
[00:01:39.000 --> 00:01:43.000]  在這個系列中,我們會有聖經的經文、研究
[00:01:43.000 --> 00:01:47.000]  一些靈修的神學,或是一些心靈的關懷
[00:01:47.000 --> 00:01:52.000]  希望幫助我們每一個人能夠正確地認識情緒的運作
[00:01:52.000 --> 00:01:55.000]  並且去接納和管理我們的情緒
[00:01:55.000 --> 00:01:59.000]  亦都讓我們在當中能夠蛻變成長
[00:01:59.000 --> 00:02:07.000]  所以往後的日子,我們會有不同的情緒去探討
[00:02:07.000 --> 00:02:14.000]  可能是處理壓力、焦慮、罪疚、怒氣、好勁或是仇苦等等
[00:02:14.000 --> 00:02:17.000]  今天就談談孤獨
[00:02:17.000 --> 00:02:23.000]  我不知何故,我經常都會編這些題目
[00:02:23.000 --> 00:02:29.000]  上次去呂明才中學,亦選了一個這樣的題目去分享
[00:02:29.000 --> 00:02:31.000]  就是關於孤獨
[00:02:31.000 --> 00:02:36.000]  可能在座的很多人都有這樣的感受
[00:02:36.000 --> 00:02:38.000]  首先,先談談孤獨是甚麼
[00:02:38.000 --> 00:02:42.000]  原來孤獨和寂寞是兩回事
[00:02:42.000 --> 00:02:45.000]  孤獨可以說是客觀存在的狀態
[00:02:45.000 --> 00:02:49.000]  只要你是自己一個,就是孤獨
[00:02:49.000 --> 00:02:54.000]  客觀的狀態就是孤獨
[00:02:54.000 --> 00:03:00.000]  但寂寞才是情緒反應,是主觀心理的狀況
[00:03:00.000 --> 00:03:05.000]  所以即使你在一個派對中,大家玩得很開心
[00:03:05.000 --> 00:03:09.000]  可能你被包圍,但你仍然可以感到很寂寞
[00:03:09.000 --> 00:03:15.000]  可能在座的很多人一起崇拜,但仍然會感到很寂寞
[00:03:15.000 --> 00:03:22.000]  當然,自己一個的時候也可以很開心
[00:03:22.000 --> 00:03:25.000]  不覺得自己很寂寞
[00:03:25.000 --> 00:03:30.000]  所以分清楚孤獨和寂寞兩種不同的說法
[00:03:30.000 --> 00:03:35.000]  或者寂寞的原因可能是一個
[00:03:35.000 --> 00:03:38.000]  究竟有沒有跟人真正的連結
[00:03:38.000 --> 00:03:41.000]  即使在一個很多人的場合中
[00:03:41.000 --> 00:03:45.000]  究竟有沒有跟身邊的人有一個真正的連結
[00:03:45.000 --> 00:03:48.000]  在2018年,英國做了一個調查
[00:03:48.000 --> 00:03:51.000]  五年前左右
[00:03:51.000 --> 00:03:55.000]  在全英國6500萬人中
[00:03:55.000 --> 00:03:59.000]  有900萬人經常都感到寂寞
[00:03:59.000 --> 00:04:03.000]  佔人口總共比例14%
[00:04:03.000 --> 00:04:10.000]  如果以這裡計算,可能有兩三四個
[00:04:10.000 --> 00:04:13.000]  我們經常都會覺得
[00:04:13.000 --> 00:04:17.000]  孤獨或寂寞通常形容甚麼人
[00:04:17.000 --> 00:04:20.000]  就是一些獨居長者,通常都是老人家
[00:04:20.000 --> 00:04:22.000]  覺得他們很孤獨
[00:04:22.000 --> 00:04:27.000]  但原來在調查中,14至25歲
[00:04:27.000 --> 00:04:31.000]  比一些退休人士感覺更加寂寞
[00:04:31.000 --> 00:04:35.000]  15至25歲就是在座的那些
[00:04:35.000 --> 00:04:39.000]  過了25歲的就算了
[00:04:39.000 --> 00:04:43.000]  可能是跟人生階段有關
[00:04:43.000 --> 00:04:47.000]  在14至25歲,我們通常是怎樣的
[00:04:47.000 --> 00:04:51.000]  我們中學就升大學
[00:04:51.000 --> 00:04:54.000]  大學就出來工作
[00:04:54.000 --> 00:04:57.000]  很可能這段階段,我們都會離開家
[00:04:57.000 --> 00:05:00.000]  升到大學,或者開始一個新的工作
[00:05:00.000 --> 00:05:05.000]  那些平常我們覺得很深刻的關係
[00:05:05.000 --> 00:05:08.000]  可能在一兩年,兩三年裏
[00:05:08.000 --> 00:05:10.000]  可能突然間會結束
[00:05:10.000 --> 00:05:13.000]  可能大學的朋友,到你出來工作
[00:05:13.000 --> 00:05:17.000]  可能已經很少會再聯絡
[00:05:17.000 --> 00:05:22.000]  或者以往可能在中學跟你過了六年
[00:05:22.000 --> 00:05:24.000]  很開心的日子,去到大學
[00:05:24.000 --> 00:05:27.000]  可能也會有一些變化等等
[00:05:27.000 --> 00:05:31.000]  所以在這個階段的青少年
[00:05:31.000 --> 00:05:37.000]  很可能會比一些退休人士更加寂寞
[00:05:37.000 --> 00:05:39.000]  當然調查中研究
[00:05:39.000 --> 00:05:43.000]  寂寞這個狀態,原來對我們的身體
[00:05:43.000 --> 00:05:48.000]  不只是心靈上,而是對我們的身體的影響
[00:05:48.000 --> 00:05:52.000]  猶如一個人每天吃15支煙
[00:05:52.000 --> 00:05:55.000]  當然大家都不知道15支煙是什麼感覺
[00:05:55.000 --> 00:05:57.000]  我們都不吃煙
[00:05:57.000 --> 00:05:59.000]  但對我們的身體的傷害
[00:05:59.000 --> 00:06:02.000]  就像每天吃15支煙
[00:06:02.000 --> 00:06:04.000]  因此做完這個調查後
[00:06:04.000 --> 00:06:06.000]  英國就任命了一個部門
